         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
57441.518643 17.995680      NaN      69.0     52 o    0     1.01 210.91067 54.31166  8126.24  1783.38 3.98 3.40  15.0 -0.534    18.23 18.89 02a57441o0557o   0x0000          -5     53.128668
57441.526896 18.043943      NaN      35.0     60 o    0     0.77 210.91067 54.31166  8411.23  2358.11 3.78 3.38  24.7 -0.522    18.25 18.92 02a57441o0573o   0x0000          -5     60.980778
57441.531928 18.598565      NaN     -22.0     44 o    0     1.10 210.91067 54.31166  7286.85  2977.34 3.57 3.38  12.7 -0.491    18.26 18.93 02a57441o0583o   0x0000          -5     45.328306
57441.552276 18.550302      NaN     -14.0     46 o    0     1.11 210.91067 54.31166  7288.67  2868.24 3.65 3.40  15.7 -0.483    18.27 18.94 02a57441o0622o   0x0000          -5     47.272141
57466.479054 18.232071      NaN      69.0     37 o    0     1.19 210.91067 54.31166  8199.92  1468.81 4.59 3.60  16.4 -0.539    18.73 19.97 02a57466o0545o  0x80000          -5     38.570135
57466.500550 18.816441      NaN     -31.0     36 o    0     1.04 210.91067 54.31166  8498.70  2042.99 4.14 3.61  26.0 -0.544    18.77 20.03 02a57466o0585o  0x80000          -5     37.611904
57466.521973 18.978793      NaN     -12.0     31 o    0     1.03 210.91067 54.31166  7383.96  2669.23 3.84 3.39  11.7 -0.514    18.81 20.05 02a57466o0625o   0x0000          -5     32.858109
57466.532670 18.702047      NaN      31.0     28 o    0     1.23 210.91067 54.31166  7289.59  2867.09 3.85 3.43   9.9 -0.514    18.82 20.07 02a57466o0647o  0x80000          -5     30.044223
57470.480982 15.967034      NaN     543.0    314 o    0     1.00 210.91067 54.31166  7279.14  2861.04 3.95 3.64  10.7 -0.488    16.46 16.46 02a57470o0553o 0x400802          -5    314.188885
57474.485989 18.169360      NaN      71.0     40 o    0     1.01 210.91067 54.31166  8154.36  1695.37 4.25 3.41  13.4 -0.525    18.71 19.95 02a57474o0492o  0x80000          -5     41.456668
57474.506959 18.878500      NaN     -13.0     34 o    0     1.26 210.91067 54.31166  2193.25  8421.28 4.02 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o   0x0000          -5     35.702315
57474.528572 19.051202      NaN     -38.0     29 o    0     1.25 210.91067 54.31166  3307.95  7800.61 3.70 3.23 -71.2 -0.491    18.72 19.91 02a57474o0566o  0x80000          -5     30.978304
57474.543901 18.767304      NaN      21.0     29 o    0     1.47 210.91067 54.31166  3332.21  7825.41 3.81 3.26 -70.0 -0.508    18.69 19.92 02a57474o0592o   0x0000          -5     30.978304
57492.402356 18.921935      NaN       9.0     28 o    0     1.17 210.91067 54.31166  8214.75  1755.97 4.08 3.65  24.4 -0.505    19.02 20.45 02a57492o0382o   0x0000          -5     30.044223
57492.415099 19.169763      NaN     -14.0     26 o    0     0.96 210.91067 54.31166  8499.89  2324.62 3.81 3.54  35.7 -0.502    19.10 20.55 02a57492o0405o  0x80000          -5     28.189632
57492.430506 19.351140      NaN     -12.0     22 o    0     1.26 210.91067 54.31166  7361.83  2952.91 3.67 3.53  30.9 -0.475    19.11 20.59 02a57492o0433o   0x0000          -5     24.549039
57492.449596 18.900000      NaN      29.0     22 o    0     1.34 210.91067 54.31166  7283.89  2857.85 3.74 3.58  19.6 -0.458    19.13 20.66 02a57492o0472o  0x80000          -5     24.549039
57523.355574 18.910912      NaN     -51.0     33 o    0     0.96 210.91067 54.31166  6168.33  1386.36 4.31 3.45   1.7 -0.534    18.86 20.17 02a57523o0219o  0x80000          -5     34.751336
57523.364398 18.255804      NaN      80.0     32 o    0     0.91 210.91067 54.31166  4311.88  9112.47 3.88 3.60 -78.5 -0.470    18.84 20.22 02a57523o0237o  0x80000          -5     33.803185
