         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
58220.483679 19.609992      NaN      11.0     12 o    0     1.30 210.91067 54.31166  5504.30  1997.71 2.10 1.95 -62.3 -0.445    19.74 21.00 02a58220o0561o   0x0000          -5     16.206645
58220.497720 19.766969      NaN       7.0     11 o    0     1.08 210.91067 54.31166  5492.98  1959.18 2.10 2.04  54.6 -0.450    19.68 21.01 02a58220o0591o  0x80000          -5     15.480805
58220.503659 19.841877      NaN       7.0     10 o    0     1.51 210.91067 54.31166  5547.72  2035.56 2.08 2.05  85.9 -0.443    19.70 21.03 02a58220o0604o   0x0000          -5     14.786999
58220.514877 19.922338      NaN       7.0      9 o    0     1.51 210.91067 54.31166  5571.13  1919.36 2.13 2.00  49.7 -0.449    19.67 20.97 02a58220o0628o  0x80000          -5     14.129944
58222.575880 19.631075      NaN      -5.0     17 o    0     0.94 210.91067 54.31166  3489.40  8568.25 3.45 3.08 -88.2 -0.415    19.16 20.77 01a58222o0351o   0x0000          -5     20.190476
58222.593629 19.169763      NaN      16.0     19 o    0     1.20 210.91067 54.31166  3547.54  8667.57 3.71 3.36  89.6 -0.404    19.05 20.71 01a58222o0389o  0x80000          -5     21.901035
58222.599734 19.510313      NaN     -29.0     19 o    0     0.96 210.91067 54.31166  3503.83  8608.07 3.57 3.17  86.5 -0.413    19.07 20.66 01a58222o0402o  0x80000          -5     21.901035
58222.607241 19.569016      NaN     -20.0     18 o    0     1.07 210.91067 54.31166  3499.13  8748.70 3.69 3.30 -83.9 -0.406    19.04 20.59 01a58222o0417o  0x80000          -5     21.039376
58232.464131 19.529530      NaN       9.0     14 o    0     1.66 210.91067 54.31166  5649.84  4074.82 2.22 1.99 -43.1 -0.448    19.38 20.23 02a58232o0428o  0x80000          -5     17.738527
58232.477507 19.549093      NaN       2.0     16 o    0     1.01 210.91067 54.31166  5627.24  4018.38 2.13 2.09 -37.7 -0.482    19.30 20.21 02a58232o0457o   0x0000          -5     19.356015
58232.483938 19.841877      NaN     -24.0     14 o    0     1.14 210.91067 54.31166  5682.41  4112.35 2.21 2.08 -39.5 -0.449    19.29 20.21 02a58232o0471o  0x80000          -5     17.738527
58232.495200 19.491430      NaN       8.0     15 o    0     0.95 210.91067 54.31166  5706.50  3997.08 2.05 1.95 -34.0 -0.471    19.39 20.20 02a58232o0495o  0x80000          -5     18.537943
58234.447060 11.246963      NaN   -5245.0  38379 o    0     0.89 210.91067 54.31166  6131.84  6802.56 5.66 3.77 -90.0 -0.275    13.03 13.39 01a58234o0373o 0x400802          -5  38379.001546
58234.460098 16.218456      NaN     343.0    278 o    0     1.15 210.91067 54.31166  6074.36  6774.68 3.79 3.05 -89.2 -0.427    17.05 17.56 01a58234o0401o 0x400802          -5    278.213327
58234.467963 18.767304      NaN      18.0     30 o    0     1.15 210.91067 54.31166  6056.39  6924.26 3.71 3.06 -85.8 -0.406    18.64 19.69 01a58234o0418o  0x80000          -5     31.916380
58244.441984 16.433071      NaN     350.0    205 o    0     1.68 210.91067 54.31166  3716.46  3002.93 2.35 2.28  66.4 -0.321    16.18 16.67 02a58244o0466o 0x400802          -5    205.289199
58244.445266 17.967720      NaN      54.0     59 o    0     1.45 210.91067 54.31166  3696.28  2966.52 2.10 1.95 -46.4 -0.451    16.89 17.71 02a58244o0473o   0x0000          -5     59.997128
58244.458540 16.471810      NaN    -345.0    312 o    0     1.01 210.91067 54.31166  3764.70  3043.90 2.02 1.93 -38.2 -0.407    15.93 16.33 02a58244o0501o 0x400802          -5    312.190095
58244.466402 18.649074      NaN     -66.0     42 o    0     1.17 210.91067 54.31166  3774.97  2923.75 2.13 2.02 -38.6 -0.432    17.89 18.51 02a58244o0518o   0x0000          -5     43.389576
58246.460962 19.351140      NaN      13.0     16 o    0     1.33 210.91067 54.31166  4148.71  5838.81 3.36 3.18  88.1 -0.430    19.22 21.03 01a58246o0099o   0x0000          -5     19.356015
58246.466007 19.696897      NaN     -21.0     16 o    0     1.05 210.91067 54.31166  4177.88  5899.02 3.19 3.06  87.1 -0.432    19.21 20.97 01a58246o0110o   0x0000          -5     19.356015
58246.478099 19.510313      NaN     -16.0     19 o    0     0.92 210.91067 54.31166  4132.38  5864.48 3.44 3.12 -89.9 -0.427    19.00 20.67 01a58246o0136o   0x0000          -5     21.901035
58246.484990 18.944322      NaN     -17.0     32 o    0     0.87 210.91067 54.31166  4119.58  6007.12 3.36 3.08  88.8 -0.433    18.52 20.00 01a58246o0151o   0x0000          -5     33.803185
58248.450597 19.922338      NaN     -13.0     13 o    0     0.94 210.91067 54.31166  5356.12  2640.96 2.19 1.99 -47.4 -0.456    19.52 20.67 02a58248o0482o   0x0000          -5     16.960405
58248.454702 19.894850      NaN       2.0     11 o    0     1.43 210.91067 54.31166  5332.30  2601.49 2.26 2.00 -50.4 -0.453    19.46 20.63 02a58248o0491o   0x0000          -5     15.480805
58248.456075 19.696897      NaN      -7.0     16 o    0     0.79 210.91067 54.31166  5400.49  2679.22 2.26 1.99 -46.2 -0.458    19.31 20.50 02a58248o0494o   0x0000          -5     19.356015
58248.466926 19.674510      NaN       5.0     13 o    0     1.20 210.91067 54.31166  5424.22  2564.51 2.11 1.98 -52.5 -0.468    19.56 20.76 02a58248o0517o  0x80000          -5     16.960405
58250.425871 17.245468      NaN      58.0    132 o    0     1.10 210.91067 54.31166  3691.19  6791.45 3.13 2.98  81.0 -0.428    16.78 18.33 01a58250o0409o  0x80000          -5    132.448689
58250.439823 19.169763      NaN     -47.0     26 o    0     0.88 210.91067 54.31166  3720.77  6882.37 3.35 3.01  80.9 -0.438    18.67 20.23 01a58250o0439o  0x80000          -5     28.189632
58250.445784 19.076453      NaN       8.0     24 o    0     1.11 210.91067 54.31166  3669.97  6830.84 3.27 3.00  81.7 -0.432    18.62 20.15 01a58250o0452o  0x80000          -5     26.356315
58250.457009 18.058851      NaN      -1.0     71 o    0     1.13 210.91067 54.31166  3654.78  6987.51 3.21 2.86  84.7 -0.442    17.38 18.85 01a58250o0476o  0x80000          -5     71.830741
58254.471115 19.510313      NaN     -18.0     19 o    0     0.96 210.91067 54.31166  7255.77  8623.16 3.79 3.04 -84.6 -0.412    19.11 20.68 01a58254o0461o  0x80000          -5     21.901035
58254.475240 19.510313      NaN     -30.0     19 o    0     1.03 210.91067 54.31166  7287.94  8678.36 3.67 2.92 -82.9 -0.414    19.15 20.65 01a58254o0470o  0x80000          -5     21.901035
58254.490314 19.155932      NaN      17.0     19 o    0     1.09 210.91067 54.31166  7257.03  8650.78 3.95 3.15 -84.4 -0.406    19.08 20.58 01a58254o0501o  0x80000          -5     21.901035
58254.503232 18.657725      NaN      45.0     25 o    0     1.07 210.91067 54.31166  7263.38  8813.17 3.74 3.01 -86.6 -0.412    18.77 20.20 01a58254o0528o  0x80000          -5     27.270044
58258.472507 19.510313      NaN     -17.0     19 o    0     1.01 210.91067 54.31166  4830.12  7649.81 3.48 3.15  88.6 -0.424    19.10 20.63 01a58258o0468o  0x80000          -5     21.901035
58258.492683 19.038793      NaN      29.0     18 o    0     0.95 210.91067 54.31166  4880.69  7756.00 3.23 2.92 -89.2 -0.435    19.14 20.56 01a58258o0509o  0x80000          -5     21.039376
58258.496811 19.454622      NaN     -21.0     20 o    0     0.99 210.91067 54.31166  4834.63  7695.30 3.32 3.10  89.5 -0.417    19.12 20.52 01a58258o0518o  0x80000          -5     22.774006
58258.511639 18.921935      NaN      33.0     20 o    0     0.88 210.91067 54.31166  4845.62  7856.03 3.32 3.07  89.7 -0.424    19.09 20.54 01a58258o0549o  0x80000          -5     22.774006
58260.483430 19.743105      NaN       5.0     12 o    0     1.15 210.91067 54.31166  5281.71  5390.30 2.54 2.00 -45.4 -0.433    19.58 20.82 02a58260o0520o   0x0000          -5     16.206645
58260.491813 19.529530      NaN      12.0     13 o    0     1.14 210.91067 54.31166  5257.26  5346.10 2.36 1.95 -48.4 -0.434    19.59 20.81 02a58260o0537o  0x80000          -5     16.960405
58260.509307 18.214605      NaN      57.0     42 o    0     0.91 210.91067 54.31166  5313.14  5430.01 2.52 2.04 -46.9 -0.424    18.62 19.73 02a58260o0574o  0x80000          -5     43.389576
58262.407645 18.323878      NaN      21.0     48 o    0     0.95 210.91067 54.31166  4140.89  6715.79 3.00 2.94  39.8 -0.440    18.20 19.10 01a58262o0358o   0x0000          -5     49.220477
58262.411319 18.675237      NaN      16.0     34 o    0     1.02 210.91067 54.31166  4167.85  6769.96 2.94 2.93  25.4 -0.436    18.53 19.53 01a58262o0366o   0x0000          -5     35.702315
58262.431827 19.256669      NaN      -9.0     24 o    0     1.12 210.91067 54.31166  4118.90  6771.00 2.91 2.89  40.6 -0.442    18.76 19.89 01a58262o0410o   0x0000          -5     26.356315
58262.441689 19.212347      NaN     -12.0     25 o    0     0.85 210.91067 54.31166  4119.32  6920.70 3.11 2.91  86.1 -0.433    18.82 20.00 01a58262o0431o   0x0000          -5     27.270044
58264.413543 16.236051      NaN     264.0    298 o    0     1.16 210.91067 54.31166  4290.29  4502.98 2.47 2.35 -54.8 -0.424    15.74 16.00 02a58264o0385o 0x400802          -5    298.199020
58264.418104 17.269384      NaN      66.0    126 o    0     0.78 210.91067 54.31166  4266.93  4463.74 2.18 2.07 -51.2 -0.460    16.67 17.01 02a58264o0395o   0x0000          -5    126.469978
58264.429886 18.776955      NaN      23.0     28 o    0     0.81 210.91067 54.31166  4323.34  4542.95 2.10 2.02 -57.4 -0.459    18.55 19.01 02a58264o0420o   0x0000          -5     30.044223
58264.437776 18.489118      NaN      15.0     42 o    0     1.49 210.91067 54.31166  4345.03  4423.69 1.96 1.93   0.9 -0.434    17.83 18.10 02a58264o0437o   0x0000          -5     43.389576
58266.382701 18.836735      NaN      11.0     30 o    0     1.09 210.91067 54.31166  5808.21  5545.28 3.15 3.07  12.8 -0.419    18.56 19.57 01a58266o0301o  0x80000          -5     31.916380
58266.398092 18.343209      NaN      30.0     44 o    0     1.19 210.91067 54.31166  5840.10  5641.49 3.15 3.03  59.4 -0.414    18.07 19.17 01a58266o0334o   0x0000          -5     45.328306
58266.402674 18.526952      NaN      25.0     37 o    0     0.90 210.91067 54.31166  5788.21  5585.54 3.37 3.24  62.2 -0.403    18.43 19.51 01a58266o0344o   0x0000          -5     38.570135
58266.414418 18.631975      NaN      27.0     32 o    0     1.18 210.91067 54.31166  5777.27  5743.95 3.15 2.98 -88.8 -0.425    18.56 19.50 01a58266o0369o   0x0000          -5     33.803185
58270.386485 18.816441      NaN      25.0     26 o    0     0.98 210.91067 54.31166  6591.13  7614.49 3.45 2.99 -89.0 -0.418    18.80 19.94 01a58270o0327o   0x0000          -5     28.189632
58270.401956 18.496580      NaN      56.0     28 o    0     0.89 210.91067 54.31166  6629.79  7712.20 3.24 2.92  89.8 -0.422    18.72 19.82 01a58270o0360o   0x0000          -5     30.044223
58270.407023 18.431198      NaN       5.0     48 o    0     0.90 210.91067 54.31166  6568.09  7655.53 3.42 2.96 -86.3 -0.425    18.32 19.33 01a58270o0371o  0x80000          -5     49.220477
58270.417809 18.606822      NaN       9.0     39 o    0     1.01 210.91067 54.31166  6571.85  7809.47 3.19 2.96 -89.0 -0.423    18.31 19.38 01a58270o0394o  0x80000          -5     40.492658
58272.394256 14.369556      NaN    -687.0   2163 o    0     0.96 210.91067 54.31166  3181.42  3803.95 2.47 2.24 -33.8 -0.445    15.75 16.52 02a58272o0342o 0x400802          -5   2163.027428
58272.419076 19.510313      NaN     -15.0     19 o    0     1.16 210.91067 54.31166  3227.43  3838.77 2.33 2.06 -47.0 -0.419    18.98 19.88 02a58272o0395o   0x0000          -5     21.901035
58272.428531 19.631075      NaN     -10.0     17 o    0     1.17 210.91067 54.31166  3238.15  3723.79 2.09 2.01 -31.8 -0.459    19.23 20.09 02a58272o0415o  0x80000          -5     20.190476
58274.389925 19.367717      NaN       9.0     17 o    0     1.10 210.91067 54.31166  3785.04  5769.83 3.50 3.39  28.7 -0.414    19.05 20.87 01a58274o0334o  0x80000          -5     20.190476
58274.393149 18.967180 0.242558      89.0     21 o    0     7.44 210.91067 54.31166  3811.85  5840.22 3.36 3.20  80.0 -0.423    19.10 20.88 01a58274o0341o 0x400400          -5     23.657035
58274.407194 19.241693      NaN      26.0     14 o    0     1.11 210.91067 54.31166  3770.36  5793.57 3.08 2.87  85.6 -0.441    19.32 21.02 01a58274o0371o   0x0000          -5     17.738527
58274.413671 19.351140      NaN       4.0     19 o    0     0.87 210.91067 54.31166  3758.36  5934.31 3.25 3.15  69.2 -0.429    19.09 20.80 01a58274o0385o   0x0000          -5     21.901035
58278.400265 19.334813      NaN      14.0     16 o    0     1.14 210.91067 54.31166  6069.77  6580.16 3.33 2.88 -87.8 -0.418    19.34 21.06 01a58278o0301o  0x80000          -5     19.356015
58278.411091 19.510313      NaN      -2.0     18 o    0     0.87 210.91067 54.31166  6077.91  6733.78 3.46 2.97  88.7 -0.413    19.29 20.98 01a58278o0324o   0x0000          -5     21.039376
58282.378181 19.212347      NaN      25.0     15 o    0     0.97 210.91067 54.31166  4870.69  6020.92 3.04 2.94 -77.4 -0.438    19.32 21.01 01a58282o0238o   0x0000          -5     18.537943
58282.391302 19.510313      NaN       4.0     16 o    0     0.91 210.91067 54.31166  4892.39  6055.79 2.95 2.83 -75.3 -0.446    19.34 20.98 01a58282o0266o   0x0000          -5     19.356015
58282.398685 19.631075      NaN       4.0     14 o    0     1.21 210.91067 54.31166  4834.10  5980.18 2.93 2.81 -74.5 -0.453    19.32 21.01 01a58282o0282o  0x80000          -5     17.738527
58282.409048 19.384550      NaN       5.0     18 o    0     0.60 210.91067 54.31166  4814.02  6093.97 3.04 2.79 -81.8 -0.444    19.36 20.99 01a58282o0304o  0x80000          -5     21.039376
58282.413981 19.743105      NaN       5.0     12 o    0     1.19 210.91067 54.31166  4143.90  3764.46 2.33 2.09 -46.2 -0.451    19.58 20.92 02a58282o0332o   0x0000          -5     16.206645
58282.424731 20.009244      NaN      -9.0     12 o    0     0.83 210.91067 54.31166  4167.40  3751.50 2.15 2.10  -1.9 -0.455    19.52 20.84 02a58282o0355o   0x0000          -5     16.206645
58282.427505 20.171596      NaN      -4.0     10 o    0     1.81 210.91067 54.31166  4097.37  3725.32 2.40 2.21 -35.2 -0.445    19.48 20.81 02a58282o0361o   0x0000          -5     14.786999
58282.441406 20.009244      NaN     -20.0     12 o    0     1.22 210.91067 54.31166  4186.31  3806.41 2.19 2.04 -39.8 -0.445    19.53 20.78 02a58282o0386o  0x80000          -5     16.206645
58286.373298 19.631075      NaN     -17.0     17 o    0     0.82 210.91067 54.31166  7781.57  8245.69 3.03 2.93 -74.4 -0.437    19.17 20.78 01a58286o0241o  0x80000          -5     20.190476
58286.378430 19.631075      NaN      -7.0     17 o    0     1.14 210.91067 54.31166  7805.96  8284.03 3.17 2.88 -82.5 -0.433    19.17 20.74 01a58286o0252o   0x0000          -5     20.190476
58286.389684 19.631075      NaN      -2.0     16 o    0     1.40 210.91067 54.31166  7732.00  8207.54 3.91 3.35 -76.4 -0.404    19.09 20.81 01a58286o0276o  0x80000          -5     19.356015
58286.398002 19.318728      NaN       3.0     20 o    0     0.78 210.91067 54.31166  7723.50  8326.53 3.77 3.19 -74.3 -0.407    19.15 20.81 01a58286o0294o  0x80000          -5     22.774006
58290.355299 19.569016      NaN       1.0     16 o    0     1.02 210.91067 54.31166  7425.18  8146.35 2.93 2.81 -63.1 -0.438    19.16 20.47 01a58290o0253o   0x0000          -5     19.356015
58290.360000 19.169763      NaN      22.0     17 o    0     1.05 210.91067 54.31166  7449.22  8184.70 2.99 2.87 -66.3 -0.431    19.13 20.47 01a58290o0263o  0x80000          -5     20.190476
58290.371231 19.256669      NaN      16.0     17 o    0     1.06 210.91067 54.31166  7388.15  8106.99 3.08 2.74 -78.1 -0.443    19.16 20.45 01a58290o0287o   0x0000          -5     20.190476
58290.380074 19.334813      NaN       2.0     20 o    0     0.85 210.91067 54.31166  7368.24  8226.36 3.30 2.70 -79.4 -0.432    19.17 20.41 01a58290o0306o   0x0000          -5     22.774006
58292.365045 19.271854      NaN       6.0     20 o    0     0.87 210.91067 54.31166  4772.46  4182.18 2.29 2.04 -46.7 -0.459    19.13 19.88 02a58292o0272o   0x0000          -5     22.774006
58292.369659 19.271854      NaN       9.0     19 o    0     0.89 210.91067 54.31166  4759.42  4140.87 2.19 2.02 -46.2 -0.472    19.16 19.92 02a58292o0282o   0x0000          -5     21.901035
58292.380506 19.766969      NaN     -11.0     15 o    0     1.06 210.91067 54.31166  4818.95  4220.33 2.06 1.99  29.7 -0.469    19.16 19.88 02a58292o0305o  0x80000          -5     18.537943
58292.389740 19.155932      NaN      20.0     18 o    0     0.75 210.91067 54.31166  4838.13  4101.39 2.11 1.99  33.4 -0.489    19.08 19.86 02a58292o0325o   0x0000          -5     21.039376
58294.343791 19.169763      NaN       1.0     24 o    0     0.89 210.91067 54.31166  6669.17  7542.35 3.05 2.80 -80.5 -0.452    18.85 19.93 01a58294o0226o  0x80000          -5     26.356315
58294.357801 19.212347      NaN     -10.0     25 o    0     0.88 210.91067 54.31166  6693.80  7578.01 2.87 2.72 -67.4 -0.447    18.85 19.90 01a58294o0256o   0x0000          -5     27.270044
58294.373248 19.169763      NaN     -18.0     26 o    0     1.32 210.91067 54.31166  6634.17  7501.94 3.20 2.70 -80.9 -0.452    18.80 19.81 01a58294o0289o   0x0000          -5     28.189632
58294.383024 19.014394      NaN     -11.0     30 o    0     0.92 210.91067 54.31166  6614.14  7620.32 3.41 2.80 -81.9 -0.438    18.71 19.73 01a58294o0310o   0x0000          -5     31.916380
58296.358649 19.510313      NaN     -12.0     19 o    0     1.17 210.91067 54.31166  4773.77  4319.11 2.17 1.97 -46.6 -0.445    18.84 19.37 02a58296o0257o  0x80000          -5     21.901035
58296.374666 19.351140      NaN      -7.0     22 o    0     0.93 210.91067 54.31166  4761.08  4278.04 2.40 2.11 -45.5 -0.423    18.75 19.29 02a58296o0291o   0x0000          -5     24.549039
58296.381107 19.212347      NaN     -24.0     25 o    0     0.97 210.91067 54.31166  4815.08  4355.00 2.33 2.16 -42.4 -0.433    18.69 19.26 02a58296o0305o  0x80000          -5     27.270044
58296.391144 19.212347      NaN     -22.0     25 o    0     0.99 210.91067 54.31166  4838.59  4242.60 2.32 2.21 -45.6 -0.436    18.62 19.21 02a58296o0326o  0x80000          -5     27.270044
58298.314737 18.542463      NaN      29.0     35 o    0     1.12 210.91067 54.31166  8071.73  8448.22 4.24 3.41 -80.7 -0.383    18.55 19.73 01a58298o0159o   0x0000          -5     36.655904
58298.316574 19.014394      NaN     -24.0     30 o    0     1.39 210.91067 54.31166  8095.75  8485.71 4.30 3.44 -84.0 -0.380    18.54 19.72 01a58298o0163o   0x0000          -5     31.916380
58298.330477 18.816441      NaN     -33.0     36 o    0     1.18 210.91067 54.31166  8024.07  8408.74 4.37 3.35 -82.4 -0.372    18.51 19.67 01a58298o0193o   0x0000          -5     37.611904
58298.337386 18.816441      NaN     -17.0     36 o    0     1.04 210.91067 54.31166  8016.23  8527.12 4.30 3.23 -82.6 -0.369    18.53 19.63 01a58298o0208o   0x0000          -5     37.611904
58300.348331 19.510313      NaN      -6.0     19 o    0     1.33 210.91067 54.31166  6098.47  3383.06 2.40 2.03 -54.8 -0.448    18.98 19.63 02a58300o0232o   0x0000          -5     21.901035
58300.351582 19.401649      NaN     -17.0     21 o    0     1.02 210.91067 54.31166  6085.37  3343.20 2.33 2.01 -56.6 -0.443    18.99 19.66 02a58300o0239o   0x0000          -5     23.657035
58300.363816 18.526952      NaN     -30.0     47 o    0     1.25 210.91067 54.31166  6140.46  3423.74 2.36 1.99 -53.3 -0.465    18.03 18.63 02a58300o0265o   0x0000          -5     48.245780
58300.374408 16.961884      NaN     168.0    141 o    0     1.23 210.91067 54.31166  6164.71  3301.42 2.06 1.92 -54.6 -0.489    16.63 16.81 02a58300o0288o   0x0000          -5    141.420138
58302.338319 19.766969      NaN     -20.0     15 o    0     1.10 210.91067 54.31166  6127.86  7052.86 3.13 2.97  -8.9 -0.432    19.27 21.02 01a58302o0136o   0x0000          -5     18.537943
58302.345280 19.696897      NaN     -11.0     16 o    0     0.93 210.91067 54.31166  6140.29  7091.81 3.07 2.98 -55.1 -0.433    19.27 20.95 01a58302o0151o   0x0000          -5     19.356015
58302.354631 19.367717      NaN       6.0     18 o    0     0.95 210.91067 54.31166  6081.79  7016.12 3.34 3.11 -83.1 -0.429    19.16 20.80 01a58302o0171o  0x80000          -5     21.039376
58302.364820 18.900000      NaN      35.0     20 o    0     0.78 210.91067 54.31166  6060.72  7133.40 3.23 2.93 -81.4 -0.433    19.09 20.46 01a58302o0193o  0x80000          -5     22.774006
58304.337047 17.995680      NaN      -3.0     76 o    0     1.11 210.91067 54.31166  5796.95  3806.59 2.81 2.66 -59.2 -0.427    17.47 19.08 02a58304o0210o  0x80000          -5     76.776659
58304.345556 18.816441      NaN     -32.0     36 o    0     1.43 210.91067 54.31166  5784.17  3767.13 2.23 2.15 -57.6 -0.461    18.18 19.41 02a58304o0228o  0x80000          -5     37.611904
58304.353924 18.005163      NaN      79.0     48 o    0     0.94 210.91067 54.31166  5835.52  3846.32 3.66 3.41 -52.9 -0.379    17.85 19.59 02a58304o0246o  0x80000          -5     49.220477
58304.362376 19.089302      NaN     -15.0     28 o    0     1.18 210.91067 54.31166  5860.57  3726.38 2.38 2.34 -49.9 -0.426    18.65 20.05 02a58304o0264o  0x80000          -5     30.044223
58310.323487 18.878500      NaN      -9.0     34 o    0     0.96 210.91067 54.31166  7461.90  6022.47 3.09 3.00 -82.3 -0.436    18.31 19.96 01a58310o0114o  0x80000          -5     35.702315
58310.331012 19.169763      NaN      -2.0     25 o    0     0.79 210.91067 54.31166  7487.04  6061.49 3.07 3.02 -63.4 -0.436    18.67 20.33 01a58310o0130o  0x80000          -5     27.270044
58310.338481 18.304885      NaN      63.0     35 o    0     0.78 210.91067 54.31166  7429.03  5986.88 3.11 3.05 -50.1 -0.429    18.38 20.00 01a58310o0146o   0x0000          -5     36.655904
58310.350640 19.302877      NaN      10.0     18 o    0     0.86 210.91067 54.31166  7408.60  6106.22 3.14 2.93 -75.1 -0.430    19.11 20.81 01a58310o0172o   0x0000          -5     21.039376
58318.309671 18.978793      NaN      25.0     21 o    0     0.92 210.91067 54.31166  6003.40  7382.24 3.23 2.88 -82.2 -0.435    18.96 20.19 01a58318o0156o  0x80000          -5     23.657035
58318.316664 19.454622      NaN      -7.0     20 o    0     0.88 210.91067 54.31166  6026.67  7420.68 3.19 2.90 -79.6 -0.436    18.96 20.14 01a58318o0171o  0x80000          -5     22.774006
58318.323672 19.089302      NaN      13.0     22 o    0     1.06 210.91067 54.31166  5958.02  7346.98 3.05 2.91 -70.5 -0.433    18.87 20.06 01a58318o0186o   0x0000          -5     24.549039
58318.331605 19.401649      NaN     -20.0     21 o    0     1.17 210.91067 54.31166  5949.00  7465.22 2.96 2.76 -74.0 -0.447    18.95 20.11 01a58318o0203o   0x0000          -5     23.657035
58320.308865 16.310425      NaN    -689.0    362 o    0     0.90 210.91067 54.31166  3352.14  3262.93 2.83 2.25 -55.4 -0.444    16.04 16.20 02a58320o0162o 0x400802          -5    362.163851
58320.316845 16.793477      NaN     238.0    151 o    0     2.20 210.91067 54.31166  3328.46  3221.23 2.61 2.12 -50.5 -0.440    16.57 16.73 02a58320o0179o 0x400800          -5    151.392389
58320.324376 17.491297      NaN    -115.0    122 o    0     0.97 210.91067 54.31166  3395.01  3297.11 2.74 2.24 -56.2 -0.395    17.00 17.29 02a58320o0195o   0x0000          -5    122.485327
58320.332792 18.598565      NaN      22.0     35 o    0     1.60 210.91067 54.31166  3404.85  3178.64 2.69 2.31 -67.8 -0.302    18.00 18.37 02a58320o0213o  0x80000          -5     36.655904
58322.303952 18.657725      NaN      42.0     26 o    0     0.84 210.91067 54.31166  5036.65  8062.21 2.91 2.79 -12.1 -0.455    18.89 20.08 01a58322o0144o  0x80000          -5     28.189632
58322.311440 19.351140      NaN     -30.0     22 o    0     0.95 210.91067 54.31166  5049.13  8101.91 2.94 2.87 -43.1 -0.444    18.89 20.05 01a58322o0160o   0x0000          -5     24.549039
58322.318898 19.197966      NaN       2.0     23 o    0     1.17 210.91067 54.31166  4990.21  8026.54 3.20 2.99 -13.0 -0.425    18.82 20.02 01a58322o0176o   0x0000          -5     25.449073
58322.327308 19.014394      NaN      13.0     24 o    0     1.07 210.91067 54.31166  4969.94  8144.43 3.00 2.90 -26.5 -0.433    18.83 19.96 01a58322o0194o   0x0000          -5     26.356315
58324.306128 19.334813      NaN      -1.0     21 o    0     1.36 210.91067 54.31166  3290.05  3314.80 2.13 2.09 -29.8 -0.427    18.80 19.39 02a58324o0148o  0x80000          -5     23.657035
58324.313579 19.510313      NaN     -30.0     19 o    0     0.96 210.91067 54.31166  3267.02  3274.64 2.10 2.00 -36.8 -0.441    18.95 19.57 02a58324o0164o   0x0000          -5     21.901035
58324.321467 19.401649      NaN     -29.0     21 o    0     0.84 210.91067 54.31166  3333.08  3349.79 2.06 2.03  -6.9 -0.444    18.99 19.61 02a58324o0181o  0x80000          -5     23.657035
58324.330313 19.169763      NaN      19.0     18 o    0     1.34 210.91067 54.31166  3342.04  3232.84 2.36 2.07 -51.3 -0.407    18.96 19.58 02a58324o0200o  0x80000          -5     21.039376
58328.286382 18.878500      NaN      28.0     23 o    0     0.71 210.91067 54.31166  4329.42  4152.93 2.23 2.09 -53.8 -0.537    18.97 19.64 02a58328o0111o  0x80000          -5     25.449073
58328.292411 19.401649      NaN      -2.0     20 o    0     1.21 210.91067 54.31166  4318.84  4112.24 2.22 1.99 -45.9 -0.452    18.96 19.57 02a58328o0124o   0x0000          -5     22.774006
58328.301924 19.014394      NaN      25.0     20 o    0     1.41 210.91067 54.31166  4371.49  4188.63 2.38 1.93 -49.1 -0.424    18.98 19.50 02a58328o0144o   0x0000          -5     22.774006
58328.314753 19.256669      NaN     -28.0     24 o    0     1.08 210.91067 54.31166  4379.98  4069.27 2.50 2.06 -50.1 -0.437    18.89 19.43 02a58328o0172o  0x80000          -5     26.356315
58330.291423 19.454622 0.361912      55.0     20 o    0     1.02 210.91067 54.31166  8114.56  7386.46 3.42 3.12 -77.1 -0.419    18.97 20.58 01a58330o0125o  0x80000          -5     22.774006
58330.298911 18.955691      NaN      12.0     26 o    0     1.07 210.91067 54.31166  8138.96  7426.03 4.24 3.90  82.2 -0.386    18.63 20.36 01a58330o0141o  0x80000          -5     28.189632
58330.307259 19.051202      NaN     -25.0     29 o    0     0.83 210.91067 54.31166  8069.27  7354.78 3.93 3.77  86.5 -0.398    18.55 20.02 01a58330o0159o   0x0000          -5     30.978304
58330.314733 18.534680      NaN      42.0     31 o    0     1.38 210.91067 54.31166  8058.18  7473.57 4.50 3.93 -86.4 -0.365    18.42 19.83 01a58330o0175o   0x0000          -5     32.858109
58334.295271 17.262154      NaN     189.0     86 o    0     1.28 210.91067 54.31166  7716.16  5474.22 3.09 3.02 -61.7 -0.434    17.17 18.57 01a58334o0065o  0x80000          -5     86.687112
58334.303239 17.203704      NaN      55.0    139 o    0     1.01 210.91067 54.31166  7729.22  5514.61 3.13 2.94 -80.5 -0.427    16.31 17.65 01a58334o0082o  0x80000          -5    139.426164
58334.310230 16.936675      NaN      95.0    170 o    0     1.48 210.91067 54.31166  7670.38  5441.07 3.15 2.97 -80.6 -0.432    16.39 17.58 01a58334o0097o 0x400802          -5    170.348629
58334.317710 16.394585      NaN    -131.0    335 o    0     1.04 210.91067 54.31166  7661.10  5559.65 3.45 2.94 -85.4 -0.409    16.01 16.95 01a58334o0113o 0x400802          -5    335.177051
