         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57512.416849 19.197966      NaN     16.0    20 c    0    0.99 210.91067 54.31166  3618.04  8646.35 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c  0x80000           0   21.710429
57515.371866 19.089302      NaN     18.0    22 c    0    1.14 210.91067 54.31166  1960.17   498.58 5.36 3.74 -16.1 -0.483    19.58 21.68 02a57515o0321c  0x80000           0   23.565711
57515.372987 19.128787      NaN    -10.0    27 c    0    1.15 210.91067 54.31166  7384.51   268.44 5.29 3.91  10.3 -0.491    19.61 21.70 02a57515o0323c  0x80000           0   28.290329
57515.374441 19.226921      NaN     14.0    20 c    0    1.07 210.91067 54.31166  8554.74 10101.76 4.30 3.86  75.4 -0.415    19.60 21.66 02a57515o0326c  0x80000           0   21.710429
57515.383262 19.454622      NaN     -9.0    20 c    0    0.87 210.91067 54.31166  3106.43 10259.33 4.24 3.95 -48.5 -0.399    19.61 21.73 02a57515o0344c  0x80000           0   21.710429
57515.385734 19.271854      NaN      8.0    21 c    0    0.95 210.91067 54.31166  8483.15 10022.23 4.17 3.76  74.5 -0.422    19.61 21.65 02a57515o0348c  0x80000           0   22.634989
57515.386824 18.990530      NaN     32.0    20 c    0    0.89 210.91067 54.31166  3158.50 10343.80 4.28 3.97 -54.3 -0.402    19.61 21.70 02a57515o0350c  0x80000           0   21.710429
57515.400161 19.063754      NaN     20.0    22 c    0    0.90 210.91067 54.31166  3193.00 10223.58 4.17 3.91 -48.5 -0.390    19.61 21.69 02a57515o0376c  0x80000           0   23.565711
57515.402098 19.302877      NaN    -49.0    23 c    0    1.03 210.91067 54.31166  2041.88   424.36 5.17 3.65 -16.0 -0.485    19.58 21.64 02a57515o0380c  0x80000           0   24.501893
57515.409082 19.351140      NaN    -18.0    22 c    0    1.19 210.91067 54.31166  1993.14   487.02 5.24 3.65 -15.0 -0.478    19.58 21.61 02a57515o0393c   0x0000           0   23.565711
57515.410533 19.510313      NaN     -1.0    19 c    0    0.98 210.91067 54.31166  3152.06 10287.27 4.12 3.91 -42.6 -0.392    19.61 21.65 02a57515o0396c   0x0000           0   20.792853
57545.329395 19.569016      NaN    -20.0    18 c    0    1.24 210.91067 54.31166  1120.98  8151.27 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c  0x80000           0   19.883228
57545.338129 19.454622      NaN     -2.0    20 c    0    1.25 210.91067 54.31166  1108.09  8113.93 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c   0x0000           0   21.710429
57545.345896 19.510313      NaN     -8.0    19 c    0    0.95 210.91067 54.31166 10320.49  8233.26 4.55 3.63  80.2 -0.431    19.64 21.77 02a57545o0224c  0x80000           0   20.792853
57545.355107 19.631075      NaN    -30.0    17 c    0    1.02 210.91067 54.31166  1166.53  8189.73 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c   0x0000           0   18.982696
57545.356559 19.302877      NaN      9.0    20 c    0    0.74 210.91067 54.31166 10308.61  8195.58 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c   0x0000           0   21.710429
