         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.510313      NaN    3.0  18.0   c  0.0   1.01 210.89448 54.31166  7731.98  2257.26 3.99 3.60   7.7 -0.427    19.59 21.57 02a57396o0607c  0x80000  19.883228
57396.598947 19.631075      NaN  -48.0  17.0   c  0.0   1.41 210.89448 54.31166  7445.63  1684.22 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  0x80000  18.982696
57396.614233 18.847027      NaN  -45.0  35.0   c  0.0   1.23 210.89448 54.31166  8259.20  2828.39 3.80 3.60  20.0 -0.418    19.60 21.56 02a57396o0650c  0x80000  36.004760
57396.627717 18.598565      NaN -162.0  44.0   c  0.0   1.11 210.89448 54.31166  8521.57  1067.17 4.33 3.66  11.0 -0.431    19.59 21.57 02a57396o0672c  0x80000  44.803379
57424.598946 19.569016      NaN  -32.0  18.0   c  0.0   1.03 210.89448 54.31166  8230.47  1583.25 4.32 3.76  10.1 -0.440    19.70 21.79 02a57424o0633c  0x80000  19.883228
57424.604067 19.334813      NaN   10.0  19.0   c  0.0   0.99 210.89448 54.31166  8494.42  2153.37 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  0x80000  20.792853
57424.621336 19.696897      NaN  -15.0  16.0   c  0.0   1.12 210.89448 54.31166  7339.22  2770.66 4.01 3.71   9.6 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.092616
57424.633626 19.549093      NaN    4.0  17.0   c  0.0   1.02 210.89448 54.31166  7262.17  2864.48 3.96 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.982696
57448.521048 18.967180      NaN   22.0  24.0   c  0.0   1.03 210.89448 54.31166  7897.12  1774.07 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c  0x80000  25.442931
57448.543577 19.212347      NaN  -13.0  25.0   c  0.0   0.97 210.89448 54.31166  8189.07  2354.43 3.94 3.73  22.7 -0.440    19.21 20.77 02a57448o0497c   0x0000  26.388307
57448.565924 19.014394      NaN   21.0  23.0   c  0.0   1.07 210.89448 54.31166  7048.40  2976.32 4.38 3.91  -1.3 -0.388    19.09 20.75 02a57448o0536c  0x80000  24.501893
57448.596475 19.454622      NaN  -34.0  20.0   c  0.0   1.47 210.89448 54.31166  3379.76  7821.70 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  0x80000  21.710429
57449.515332 19.302877      NaN    6.0  21.0   c  0.0   1.06 210.89448 54.31166  8133.83  1724.77 4.04 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c  0x80000  22.634989
57449.538360 19.510313      NaN  -24.0  19.0   c  0.0   0.99 210.89448 54.31166  8432.19  2302.66 3.82 3.59  30.1 -0.456    19.42 21.11 02a57449o0650c  0x80000  20.792853
57449.558557 19.569016      NaN  -11.0  18.0   c  0.0   1.14 210.89448 54.31166  7291.78  2929.96 3.78 3.62  14.4 -0.427    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.569016      NaN  -33.0  18.0   c  0.0   1.22 210.89448 54.31166  7273.65  2869.30 3.76 3.57  17.7 -0.439    19.39 21.06 02a57449o0709c   0x0000  19.883228
57458.509881 19.569016      NaN   -9.0  18.0   c  0.0   1.07 210.89448 54.31166  8216.35  1577.33 4.32 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c  0x80000  19.883228
57458.513259 19.510313      NaN  -10.0  19.0   c  0.0   1.17 210.89448 54.31166  8502.18  2146.13 4.20 3.90  23.4 -0.426    19.61 21.68 02a57458o0613c  0x80000  20.792853
57458.536888 19.631075      NaN   -6.0  17.0   c  0.0   0.96 210.89448 54.31166  7375.28  2771.44 4.12 3.83   1.8 -0.402    19.60 21.68 02a57458o0653c  0x80000  18.982696
57458.567769 19.589310      NaN    2.0  17.0   c  0.0   1.36 210.89448 54.31166  3376.07  7819.61 3.85 3.61 -73.1 -0.421    19.64 21.68 02a57458o0708c   0x0000  18.982696
57488.426551 19.454622      NaN  -23.0  20.0   c  0.0   1.00 210.89448 54.31166  8348.68  1649.66 4.32 3.81  19.8 -0.478    19.60 21.59 02a57488o0373c  0x80000  21.710429
57488.444090 19.569016      NaN  -36.0  18.0   c  0.0   1.25 210.89448 54.31166  8636.05  2206.14 4.17 3.80  29.3 -0.461    19.60 21.61 02a57488o0405c  0x80000  19.883228
57488.465855 19.569016      NaN   -5.0  18.0   c  0.0   1.12 210.89448 54.31166  7514.19  2852.75 4.05 3.72  15.3 -0.447    19.57 21.56 02a57488o0444c  0x80000  19.883228
57488.475297 19.609992      NaN    1.0  17.0   c  0.0   1.36 210.89448 54.31166  3362.10  7811.27 3.98 3.61 -65.1 -0.439    19.55 21.54 02a57488o0460c  0x80000  18.982696
57512.362600 19.454622      NaN  -40.0  20.0   c  0.0   1.03 210.89448 54.31166  9536.25  2716.67 4.66 4.15  38.2 -0.435    19.51 21.58 02a57512o0305c   0x0000  21.710429
57512.371077 19.128787      NaN   15.0  22.0   c  0.0   0.96 210.89448 54.31166  9559.14  2752.97 4.57 4.07  39.5 -0.440    19.53 21.60 02a57512o0322c   0x0000  23.565711
57512.373986 18.889197      NaN   41.0  20.0   c  0.0   1.03 210.89448 54.31166   351.44  2637.91 5.07 3.82 -34.3 -0.412    19.58 21.60 02a57512o0328c  0x80000  21.710429
57512.383392 19.454622      NaN   -7.0  20.0   c  0.0   0.95 210.89448 54.31166   371.29  2675.08 5.11 3.92 -34.1 -0.413    19.54 21.60 02a57512o0347c   0x0000  21.710429
57512.386899 19.510313      NaN  -34.0  19.0   c  0.0   0.95 210.89448 54.31166  1004.41  7891.69 4.45 3.81 -58.4 -0.429    19.55 21.63 02a57512o0354c   0x0000  20.792853
57512.388945 19.128787      NaN   27.0  18.0   c  0.0   1.17 210.89448 54.31166   305.42  2598.60 5.16 3.88 -31.6 -0.403    19.57 21.61 02a57512o0358c  0x80000  19.883228
57512.397027 19.510313      NaN  -19.0  19.0   c  0.0   1.05 210.89448 54.31166  1034.89  7772.47 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c  0x80000  20.792853
57512.407432 19.472870      NaN    2.0  19.0   c  0.0   0.81 210.89448 54.31166 10226.66  7840.51 4.61 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  20.792853
57512.416849 19.569016      NaN  -43.0  18.0   c  0.0   1.12 210.89448 54.31166  3636.37  8645.95 4.14 3.80 -62.0 -0.410    19.52 21.58 02a57512o0414c  0x80000  19.883228
57515.371866 19.401649      NaN  -31.0  21.0   c  0.0   1.22 210.89448 54.31166  1978.63   497.93 5.36 3.74 -16.0 -0.483    19.58 21.68 02a57515o0321c  0x80000  22.634989
57515.372987 19.169763      NaN  -35.0  26.0   c  0.0   1.01 210.89448 54.31166  7366.10   268.96 5.29 3.91  10.1 -0.491    19.61 21.70 02a57515o0323c  0x80000  27.337570
57515.374441 19.510313      NaN   -1.0  19.0   c  0.0   1.13 210.89448 54.31166  8536.27 10102.36 4.30 3.86  75.4 -0.415    19.60 21.66 02a57515o0326c  0x80000  20.792853
57515.383262 19.367717      NaN    8.0  19.0   c  0.0   0.93 210.89448 54.31166  3124.84 10258.76 4.24 3.95 -48.6 -0.399    19.61 21.73 02a57515o0344c  0x80000  20.792853
57515.385734 19.271854      NaN   11.0  20.0   c  0.0   0.90 210.89448 54.31166  8464.69 10022.82 4.16 3.76  74.4 -0.422    19.61 21.65 02a57515o0348c  0x80000  21.710429
57515.386824 19.334813      NaN    7.0  20.0   c  0.0   1.08 210.89448 54.31166  3176.92 10343.25 4.28 3.97 -54.4 -0.402    19.61 21.70 02a57515o0350c  0x80000  21.710429
57515.400161 19.491430      NaN    1.0  19.0   c  0.0   1.02 210.89448 54.31166  3211.41 10223.05 4.17 3.91 -48.5 -0.390    19.61 21.69 02a57515o0376c  0x80000  20.792853
57515.402098 19.351140      NaN  -37.0  22.0   c  0.0   1.03 210.89448 54.31166  2060.34   423.74 5.17 3.65 -15.9 -0.485    19.58 21.64 02a57515o0380c  0x80000  23.565711
57515.409082 19.351140      NaN  -10.0  22.0   c  0.0   1.04 210.89448 54.31166  2011.59   486.39 5.24 3.65 -14.9 -0.478    19.58 21.61 02a57515o0393c   0x0000  23.565711
57515.410533 19.510313      NaN  -17.0  19.0   c  0.0   0.98 210.89448 54.31166  3170.48 10286.72 4.12 3.91 -42.7 -0.392    19.61 21.65 02a57515o0396c   0x0000  20.792853
57545.329395 19.569016      NaN   -8.0  18.0   c  0.0   1.01 210.89448 54.31166  1139.45  8150.24 4.40 3.94 -56.1 -0.416    19.59 21.73 02a57545o0190c  0x80000  19.883228
57545.338129 19.334813      NaN   10.0  19.0   c  0.0   1.15 210.89448 54.31166  1126.56  8112.91 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c   0x0000  20.792853
57545.345896 19.510313      NaN    0.0  19.0   c  0.0   0.98 210.89448 54.31166 10339.07  8234.56 4.56 3.63  80.2 -0.430    19.64 21.77 02a57545o0224c  0x80000  20.792853
57545.355107 19.631075      NaN  -20.0  17.0   c  0.0   1.19 210.89448 54.31166  1185.01  8188.72 4.15 3.77 -57.1 -0.430    19.62 21.73 02a57545o0243c   0x0000  18.982696
57545.356559 19.454622      NaN   -6.0  20.0   c  0.0   0.90 210.89448 54.31166 10327.18  8196.87 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c   0x0000  21.710429
57545.358980 19.569016      NaN  -25.0  18.0   c  0.0   0.95 210.89448 54.31166 10384.25  8278.92 4.64 3.65  81.3 -0.435    19.64 21.79 02a57545o0251c  0x80000  19.883228
57545.361400 19.351140      NaN    6.0  20.0   c  0.0   1.03 210.89448 54.31166  1197.92  8071.44 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  0x80000  21.710429
57545.371093 19.102305      NaN   26.0  19.0   c  0.0   1.35 210.89448 54.31166  1165.27  8132.11 4.36 3.89 -56.9 -0.427    19.46 21.59 02a57545o0276c   0x0000  20.792853
57545.380784 19.063754      NaN   23.0  21.0   c  0.0   1.16 210.89448 54.31166 10396.91  8166.25 4.68 3.68  80.3 -0.420    19.41 21.51 02a57545o0296c  0x80000  22.634989
57545.390661 19.510313      NaN   -3.0  19.0   c  0.0   1.11 210.89448 54.31166 10359.35  8226.07 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c  0x80000  20.792853
57549.332077 19.367717      NaN    5.0  20.0   c  0.0   1.08 210.89448 54.31166  2427.50  9675.90 4.08 3.84 -55.2 -0.424    19.44 21.31 02a57549o0078c   0x0000  21.710429
57549.342782 19.351140      NaN   -9.0  22.0   c  0.0   0.95 210.89448 54.31166  2417.34  9636.12 4.16 3.87 -53.8 -0.416    19.44 21.33 02a57549o0100c   0x0000  23.565711
57549.359807 19.401649      NaN  -38.0  21.0   c  0.0   1.03 210.89448 54.31166  2473.69  9711.54 4.11 3.83 -48.5 -0.419    19.46 21.36 02a57549o0135c   0x0000  22.634989
57549.367069 19.510313      NaN  -99.0  19.0   c  0.0   1.40 210.89448 54.31166  2486.34  9594.75 4.12 3.84 -53.8 -0.423    19.47 21.39 02a57549o0150c 0x400200  20.792853
