         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 17.927085      NaN    77.0    56.0   o  0.0   2.08 210.92563 54.31527  2812.42  8525.40 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o   0x0000    57.049587
57233.282702 18.191747      NaN  -108.0    64.0   o  0.0   1.40 210.92563 54.31527  2798.16  8534.03 3.53 3.35 -63.3 -0.452    18.41 19.29 02a57233o0029o   0x0000    64.920377
57365.645360 18.675237      NaN    33.0    30.0   o  0.0   1.17 210.92563 54.31527  7609.07  2243.33 4.38 3.89   4.7 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.208845      NaN    30.0    53.0   o  0.0   1.23 210.92563 54.31527  7353.32  1673.61 4.14 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o   0x0000    54.107812
57386.594331 18.558199      NaN    29.0    36.0   o  0.0   1.15 210.92563 54.31527  7606.87  2239.62 3.86 3.33  10.9 -0.516    18.84 20.09 02a57386o0639o  0x80000    37.611904
57386.602983 19.051202      NaN   -10.0    29.0   o  0.0   1.58 210.92563 54.31527  7336.44  1664.87 4.12 3.41   6.3 -0.513    18.83 20.09 02a57386o0653o  0x80000    30.978304
57386.614803 18.796518      NaN    11.0    33.0   o  0.0   1.08 210.92563 54.31527  8169.17  2808.37 3.84 3.55  21.9 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.816441      NaN   -42.0    36.0   o  0.0   1.41 210.92563 54.31527  8451.99  1045.21 4.34 3.39  13.4 -0.526    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 19.089302      NaN   -83.0    28.0   o  0.0   1.47 210.92563 54.31527  7609.79  2237.56 3.69 3.44   7.0 -0.483    18.92 19.99 02a57387o0634o  0x80000    30.044223
57387.591656 19.128787      NaN   -62.0    27.0   o  0.0   1.27 210.92563 54.31527  7339.46  1661.39 3.91 3.43   2.4 -0.498    18.95 20.02 02a57387o0647o   0x0000    29.114521
57387.605357 18.816441      NaN   -15.0    36.0   o  0.0   1.06 210.92563 54.31527  8170.32  2804.02 3.58 3.45  29.0 -0.476    18.97 20.08 02a57387o0661o   0x0000    37.611904
57387.612122 18.757738      NaN   -32.0    38.0   o  0.0   0.98 210.92563 54.31527  8453.23  1039.61 4.02 3.42  10.0 -0.517    19.01 20.11 02a57387o0672o   0x0000    39.530435
57409.597826 18.376212      NaN  -111.0    54.0   o  0.0   1.14 210.92563 54.31527  8189.38  1657.74 3.88 3.50  12.5 -0.489    18.59 19.61 02a57409o0642o   0x0000    55.087706
57409.623123 18.574166      NaN   -16.0    45.0   o  0.0   1.25 210.92563 54.31527  8477.64  2241.83 3.53 3.41  32.8 -0.506    18.69 19.72 02a57409o0679o  0x80000    46.299626
57409.630689 18.298627      NaN    66.0    36.0   o  0.0   1.17 210.92563 54.31527  7645.36  1101.42 3.82 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   0x0000    37.611904
57409.635100 19.089302      NaN   -22.0    28.0   o  0.0   1.41 210.92563 54.31527  7337.01  2866.16 3.50 3.41  25.3 -0.459    18.75 19.82 02a57409o0697o   0x0000    30.044223
57414.610678 18.826541      NaN    11.0    32.0   o  0.0   1.22 210.92563 54.31527  8116.00  1925.16 3.87 3.44  11.9 -0.493    18.77 19.88 02a57414o0661o   0x0000    33.803185
57414.627553 18.944322      NaN   -44.0    32.0   o  0.0   1.11 210.92563 54.31527  8403.58  2504.41 3.68 3.48  24.0 -0.478    18.77 19.88 02a57414o0687o   0x0000    33.803185
57414.645156 18.767304      NaN    32.0    27.0   o  0.0   1.63 210.92563 54.31527  7270.50  3125.59 3.52 3.40  21.0 -0.458    18.78 19.88 02a57414o0714o   0x0000    29.114521
57414.661382 18.757738      NaN    33.0    27.0   o  0.0   1.65 210.92563 54.31527  7343.10  2877.19 3.55 3.35  18.7 -0.469    18.77 19.85 02a57414o0740o   0x0000    29.114521
57418.601312 19.155932      NaN    10.0    23.0   o  0.0   1.88 210.92563 54.31527  8285.10  1947.17 3.77 3.48  14.9 -0.480    19.19 20.72 02a57418o0642o   0x0000    25.449073
57418.622559 19.256669      NaN   -20.0    24.0   o  0.0   1.26 210.92563 54.31527  8565.39  2524.01 3.76 3.63  37.8 -0.450    19.14 20.72 02a57418o0674o  0x80000    26.356315
57418.640915 19.351140      NaN    -4.0    22.0   o  0.0   1.53 210.92563 54.31527  7450.02  3148.52 3.55 3.48  26.1 -0.437    19.18 20.73 02a57418o0701o  0x80000    24.549039
57418.657638 19.256669      NaN   -48.0    24.0   o  0.0   1.26 210.92563 54.31527  7353.22  2883.20 3.90 3.75  18.8 -0.420    19.06 20.63 02a57418o0727o  0x80000    26.356315
57419.602717 19.351140      NaN    -6.0    22.0   o  0.0   2.12 210.92563 54.31527  7980.32  1391.45 4.13 3.58   7.3 -0.479    19.30 21.02 02a57419o0615o  0x80000    24.549039
57419.622718 19.155932      NaN    10.0    23.0   o  0.0   1.39 210.92563 54.31527  8261.37  1974.56 3.84 3.51  15.9 -0.480    19.33 21.02 02a57419o0644o  0x80000    25.449073
57419.638318 19.318728      NaN     8.0    20.0   o  0.0   1.69 210.92563 54.31527  7137.66  2590.69 3.78 3.54  10.1 -0.446    19.30 21.20 02a57419o0668o   0x0000    22.774006
57419.655984 19.002397      NaN    28.0    21.0   o  0.0   1.69 210.92563 54.31527  7356.32  2879.65 3.78 3.61  14.3 -0.433    19.30 21.01 02a57419o0695o  0x80000    23.657035
57440.518111 18.073966      NaN    40.0    58.0   o  0.0   1.05 210.92563 54.31527  8361.28  1375.94 4.30 3.46  13.3 -0.540    18.27 18.98 02a57440o0547o  0x80000    59.014027
57440.529939 18.504094      NaN   -72.0    48.0   o  0.0   1.51 210.92563 54.31527  8647.27  1953.05 3.98 3.44  21.8 -0.545    18.27 18.97 02a57440o0569o   0x0000    49.220477
57440.551953 18.481707      NaN    -4.0    49.0   o  0.0   1.17 210.92563 54.31527  7516.23  2585.86 3.88 3.45  12.9 -0.499    18.29 19.00 02a57440o0611o   0x0000    50.196168
57440.562821 18.598565      NaN   -71.0    44.0   o  0.0   1.20 210.92563 54.31527  7304.64  2866.89 3.77 3.43  11.7 -0.496    18.30 19.02 02a57440o0632o  0x80000    45.328306
57441.518643 18.417189      NaN   -13.0    52.0   o  0.0   1.15 210.92563 54.31527  8143.03  1775.70 3.99 3.40  15.1 -0.534    18.23 18.89 02a57441o0557o   0x0000    53.128668
57441.526896 18.438271      NaN   -30.0    51.0   o  0.0   1.20 210.92563 54.31527  8427.99  2350.39 3.79 3.38  24.9 -0.523    18.25 18.92 02a57441o0573o   0x0000    52.150315
57441.531928 18.598565      NaN   -63.0    44.0   o  0.0   1.08 210.92563 54.31527  7303.62  2969.91 3.57 3.38  13.0 -0.491    18.26 18.93 02a57441o0583o   0x0000    45.328306
57441.552276 18.550302      NaN   -48.0    46.0   o  0.0   1.27 210.92563 54.31527  7305.45  2860.81 3.65 3.40  15.9 -0.483    18.27 18.94 02a57441o0622o   0x0000    47.272141
57466.479054 18.496580      NaN    19.0    42.0   o  0.0   1.41 210.92563 54.31527  8216.72  1461.10 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o  0x80000    43.389576
57466.500550 18.847027      NaN    -3.0    35.0   o  0.0   1.31 210.92563 54.31527  8515.48  2035.25 4.15 3.61  26.2 -0.544    18.77 20.03 02a57466o0585o  0x80000    36.655904
57466.521973 19.051202      NaN   -57.0    29.0   o  0.0   1.34 210.92563 54.31527  7400.74  2661.78 3.85 3.39  11.9 -0.514    18.81 20.05 02a57466o0625o   0x0000    30.978304
57466.532670 18.776955      NaN    22.0    30.0   o  0.0   1.51 210.92563 54.31527  7306.37  2859.67 3.85 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o  0x80000    31.916380
