         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57515.372987 19.051202      NaN    12    25 c    0   1.07 210.91067 54.3211  7384.16   249.89 5.30 3.91  10.3 -0.491    19.61 21.70 02a57515o0323c  0x80000  26.388307
57515.374441 19.287255      NaN    10    20 c    0   1.00 210.91067 54.3211  8553.88 10083.19 4.30 3.85  75.6 -0.415    19.60 21.66 02a57515o0326c  0x80000  21.710429
57515.383262 19.510313      NaN   -21    19 c    0   1.00 210.91067 54.3211  3106.82 10277.90 4.24 3.95 -48.2 -0.399    19.61 21.73 02a57515o0344c  0x80000  20.792853
57515.385734 19.384550      NaN     1    21 c    0   0.90 210.91067 54.3211  8482.32 10003.67 4.16 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c  0x80000  22.634989
57515.386824 19.454622      NaN   -11    20 c    0   0.92 210.91067 54.3211  3158.88 10362.38 4.28 3.97 -54.0 -0.401    19.61 21.70 02a57515o0350c  0x80000  21.710429
57515.400161 19.026525      NaN    29    20 c    0   0.99 210.91067 54.3211  3193.37 10242.15 4.17 3.92 -48.2 -0.389    19.61 21.69 02a57515o0376c  0x80000  21.710429
57515.402098 19.401649      NaN   -24    21 c    0   1.21 210.91067 54.3211  2042.75   442.92 5.16 3.65 -16.0 -0.485    19.58 21.64 02a57515o0380c  0x80000  22.634989
57515.409082 19.038793      NaN    16    24 c    0   0.77 210.91067 54.3211  1994.01   505.57 5.24 3.65 -15.0 -0.479    19.58 21.61 02a57515o0393c   0x0000  25.442931
57515.410533 19.454622      NaN    -5    20 c    0   0.89 210.91067 54.3211  3152.44 10305.84 4.12 3.91 -42.2 -0.391    19.61 21.65 02a57515o0396c   0x0000  21.710429
57545.329395 19.510313      NaN   -10    19 c    0   1.07 210.91067 54.3211  1121.81  8169.66 4.40 3.95 -56.1 -0.415    19.59 21.73 02a57545o0190c  0x80000  20.792853
57545.338129 19.226921      NaN    11    21 c    0   0.97 210.91067 54.3211  1108.92  8132.32 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c   0x0000  22.634989
57545.345896 19.419021      NaN     8    18 c    0   0.89 210.91067 54.3211 10319.44  8251.68 4.55 3.64  80.2 -0.430    19.64 21.77 02a57545o0224c  0x80000  19.883228
57545.355107 19.367717      NaN    14    17 c    0   1.27 210.91067 54.3211  1167.35  8208.12 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c   0x0000  18.982696
57545.356559 19.334813      NaN    10    19 c    0   1.02 210.91067 54.3211 10307.55  8214.00 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c   0x0000  20.792853
57545.358980 19.631075      NaN   -12    17 c    0   1.24 210.91067 54.3211 10364.60  8296.03 4.64 3.65  81.3 -0.434    19.64 21.79 02a57545o0251c  0x80000  18.982696
57545.361400 19.510313      NaN   -12    19 c    0   1.45 210.91067 54.3211  1180.27  8090.83 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  0x80000  20.792853
57545.371093 19.454622      NaN    -7    20 c    0   1.18 210.91067 54.3211  1147.62  8151.51 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c   0x0000  21.710429
57545.380784 18.990530      NaN    26    22 c    0   1.17 210.91067 54.3211 10377.25  8183.36 4.68 3.68  80.3 -0.420    19.41 21.51 02a57545o0296c  0x80000  23.565711
57545.390661 19.212347      NaN    15    20 c    0   1.01 210.91067 54.3211 10339.71  8243.19 4.89 3.82  79.3 -0.419    19.52 21.66 02a57545o0315c  0x80000  21.710429
57549.332077 19.351140      NaN    -1    22 c    0   0.94 210.91067 54.3211  2409.60  9695.14 4.08 3.84 -54.9 -0.424    19.44 21.31 02a57549o0078c   0x0000  23.565711
57549.342782 19.401649      NaN    -8    21 c    0   1.23 210.91067 54.3211  2399.44  9655.35 4.17 3.87 -53.6 -0.416    19.44 21.33 02a57549o0100c   0x0000  22.634989
57549.359807 19.401649      NaN   -19    21 c    0   0.94 210.91067 54.3211  2455.77  9730.76 4.12 3.83 -48.2 -0.419    19.46 21.36 02a57549o0135c   0x0000  22.634989
57549.367069 18.776955 0.358681   112    37 c    0   0.66 210.91067 54.3211  2468.43  9613.95 4.12 3.84 -53.5 -0.423    19.47 21.39 02a57549o0150c 0x400200  37.951848
