         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.510313      NaN  -27    19 c    0   0.82 210.92212 54.30498  7763.66  2269.25 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c  0x80000  20.792853
57396.598947 19.510313      NaN  -12    19 c    0   1.13 210.92212 54.30498  7477.26  1696.35 4.09 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.606822      NaN   17    38 c    0   0.97 210.92212 54.30498  8290.99  2840.17 3.80 3.60  20.7 -0.418    19.60 21.56 02a57396o0650c  0x80000  38.927403
57396.627717 18.255804      NaN   52    43 c    0   0.98 210.92212 54.30498  8553.49  1078.86 4.32 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0x80000  43.821715
57424.598946 19.510313      NaN   -3    19 c    0   0.95 210.92212 54.30498  8262.28  1595.07 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c  0x80000  20.792853
57424.604067 19.652575      NaN    2    16 c    0   1.18 210.92212 54.30498  8526.29  2165.07 4.25 3.83  15.4 -0.423    19.68 21.79 02a57424o0641c  0x80000  18.092616
57424.621336 19.631075      NaN  -14    17 c    0   0.87 210.92212 54.30498  7370.78  2782.84 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.631075      NaN  -26    17 c    0   0.89 210.92212 54.30498  7293.71  2876.69 3.96 3.67  11.6 -0.417    19.70 21.79 02a57424o0685c   0x0000  18.982696
57448.521048 18.590371      NaN   61    24 c    0   0.86 210.92212 54.30498  7928.85  1786.01 3.99 3.65  15.2 -0.449    19.26 20.81 02a57448o0458c  0x80000  25.442931
57448.543577 19.271854      NaN    2    23 c    0   0.87 210.92212 54.30498  8220.85  2366.25 3.94 3.73  23.6 -0.440    19.21 20.77 02a57448o0497c   0x0000  24.501893
57448.565924 19.241693      NaN    7    22 c    0   1.02 210.92212 54.30498  7079.90  2988.61 4.37 3.91  -1.1 -0.388    19.09 20.75 02a57448o0536c  0x80000  23.565711
57448.596475 19.256669      NaN    9    21 c    0   1.09 210.92212 54.30498  3348.21  7809.52 3.87 3.61 -70.3 -0.421    19.20 20.80 02a57448o0592c  0x80000  22.634989
57449.515332 19.226921      NaN   11    21 c    0   0.99 210.92212 54.30498  8165.62  1736.61 4.04 3.63  15.7 -0.462    19.45 21.19 02a57449o0610c  0x80000  22.634989
57449.538360 19.454622      NaN    3    19 c    0   0.83 210.92212 54.30498  8464.04  2314.38 3.82 3.59  31.0 -0.456    19.42 21.11 02a57449o0650c  0x80000  20.792853
57449.558557 19.529530      NaN    2    18 c    0   1.06 210.92212 54.30498  7323.34  2942.15 3.78 3.62  15.4 -0.427    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.169763      NaN   21    19 c    0   1.06 210.92212 54.30498  7305.20  2881.49 3.75 3.57  18.6 -0.439    19.39 21.06 02a57449o0709c   0x0000  20.792853
57458.509881 19.631075      NaN  -42    17 c    0   0.92 210.92212 54.30498  8248.16  1589.14 4.31 3.77  15.5 -0.446    19.65 21.70 02a57458o0606c  0x80000  18.982696
