         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57441.518643 18.376212      NaN    -35.0    54.0   o  0.0     1.08 210.92686 54.31166  8144.63  1782.69 3.98 3.40  15.2 -0.534    18.23 18.89 02a57441o0557o   0x0000    55.087706
57441.526896 18.459772      NaN    -28.0    50.0   o  0.0     1.06 210.92686 54.31166  8429.63  2357.36 3.79 3.38  25.0 -0.523    18.25 18.92 02a57441o0573o   0x0000    51.172799
57441.531928 18.152867      NaN     55.0    48.0   o  0.0     0.90 210.92686 54.31166  7305.17  2976.88 3.57 3.39  13.2 -0.491    18.26 18.93 02a57441o0583o   0x0000    49.220477
57441.552276 18.504094      NaN    -74.0    48.0   o  0.0     0.92 210.92686 54.31166  7306.99  2867.78 3.65 3.40  16.0 -0.483    18.27 18.94 02a57441o0622o   0x0000    49.220477
57466.479054 18.606822      NaN      8.0    41.0   o  0.0     1.00 210.92686 54.31166  8218.33  1468.09 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o  0x80000    42.422345
57466.500550 18.396507      NaN     39.0    40.0   o  0.0     0.80 210.92686 54.31166  8517.11  2042.22 4.14 3.61  26.3 -0.544    18.77 20.03 02a57466o0585o  0x80000    41.456668
57466.521973 19.014394      NaN    -37.0    30.0   o  0.0     1.20 210.92686 54.31166  7402.29  2668.75 3.84 3.39  11.9 -0.514    18.81 20.05 02a57466o0625o   0x0000    31.916380
57466.532670 19.051202      NaN    -37.0    29.0   o  0.0     1.26 210.92686 54.31166  7307.91  2866.64 3.85 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o  0x80000    30.978304
57470.480982 16.084671      NaN    392.0   315.0   o  0.0     1.31 210.92686 54.31166  7297.46  2860.59 3.95 3.64  11.0 -0.489    16.46 16.46 02a57470o0553o 0x400802   315.188286
57474.485989 18.816441      NaN    -35.0    36.0   o  0.0     1.29 210.92686 54.31166  8172.76  1694.68 4.25 3.41  13.6 -0.526    18.71 19.95 02a57474o0492o  0x80000    37.611904
57474.506959 18.878500      NaN      0.0    34.0   o  0.0     0.91 210.92686 54.31166  2174.85  8422.05 4.03 3.43 -65.4 -0.490    18.70 19.95 02a57474o0529o   0x0000    35.702315
57474.528572 18.826541      NaN     20.0    29.0   o  0.0     1.26 210.92686 54.31166  3289.62  7801.08 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o  0x80000    30.978304
57474.543901 18.944322      NaN    -16.0    32.0   o  0.0     1.03 210.92686 54.31166  3313.88  7825.88 3.82 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o   0x0000    33.803185
57492.402356 18.738855      NaN     26.0    30.0   o  0.0     0.98 210.92686 54.31166  8233.15  1755.26 4.08 3.65  24.7 -0.505    19.02 20.45 02a57492o0382o   0x0000    31.916380
57492.415099 19.212347      NaN     -3.0    25.0   o  0.0     0.98 210.92686 54.31166  8518.29  2323.85 3.81 3.54  36.0 -0.502    19.10 20.55 02a57492o0405o  0x80000    27.270044
57492.430506 19.351140      NaN    -38.0    22.0   o  0.0     1.23 210.92686 54.31166  7380.15  2952.44 3.67 3.53  31.4 -0.475    19.11 20.59 02a57492o0433o   0x0000    24.549039
57492.449596 19.351140      NaN    -14.0    22.0   o  0.0     0.99 210.92686 54.31166  7302.21  2857.39 3.74 3.58  20.1 -0.459    19.13 20.66 02a57492o0472o  0x80000    24.549039
57523.355574 18.910912      NaN    -61.0    33.0   o  0.0     0.84 210.92686 54.31166  6186.66  1386.16 4.31 3.45   1.8 -0.534    18.86 20.17 02a57523o0219o  0x80000    34.751336
57523.364398 19.014394      NaN    -16.0    30.0   o  0.0     1.06 210.92686 54.31166  4293.55  9112.71 3.89 3.60 -78.3 -0.470    18.84 20.22 02a57523o0237o  0x80000    31.916380
57523.381095 18.978793      NaN    -29.0    31.0   o  0.0     1.08 210.92686 54.31166  4356.72  9194.79 3.84 3.59 -75.5 -0.464    18.84 20.19 02a57523o0271o   0x0000    32.858109
57523.387699 18.767304      NaN     29.0    28.0   o  0.0     1.36 210.92686 54.31166  4381.22  9079.99 3.94 3.65 -75.2 -0.455    18.81 20.18 02a57523o0284o   0x0000    30.044223
57523.409491 18.978793      NaN    -16.0    31.0   o  0.0     1.06 210.92686 54.31166  4338.37  9140.24 3.83 3.53 -77.6 -0.473    18.80 20.13 02a57523o0325o   0x0000    32.858109
57527.358027 18.649074      NaN    -33.0    42.0   o  0.0     1.16 210.92686 54.31166  2644.76  9387.53 4.16 3.76 -55.1 -0.470    18.46 19.51 02a57527o0104o  0x80000    43.389576
57527.369297 18.574166      NaN    -15.0    45.0   o  0.0     1.19 210.92686 54.31166  2630.43  9351.92 4.32 3.88 -46.6 -0.458    18.41 19.50 02a57527o0126o   0x0000    46.299626
57527.371716 18.598565      NaN     -3.0    44.0   o  0.0     1.15 210.92686 54.31166  2689.12  9430.98 4.06 3.66 -56.8 -0.479    18.46 19.48 02a57527o0131o  0x80000    45.328306
57527.394983 18.526952      NaN    -40.0    47.0   o  0.0     0.89 210.92686 54.31166  2710.24  9315.90 4.33 3.86 -63.2 -0.461    18.38 19.45 02a57527o0177o  0x80000    48.245780
57527.405379 18.438271      NaN     12.0    47.0   o  0.0     0.84 210.92686 54.31166  2679.60  9375.34 4.34 3.86 -61.1 -0.456    18.37 19.43 02a57527o0198o  0x80000    48.245780
57535.336981 15.785602      NaN   -719.0   587.0   o  0.0     1.18 210.92686 54.31166  2434.23  8207.82 3.91 3.44 -66.2 -0.480    15.47 16.84 02a57535o0225o 0x400802   587.101061
57535.346198 17.394850      NaN     22.0   126.0   o  0.0     1.10 210.92686 54.31166  2422.55  8166.88 3.84 3.38 -66.0 -0.484    17.61 19.09 02a57535o0244o  0x80000   126.469978
57535.363162 17.283991      NaN    137.0   102.0   o  0.0     0.44 210.92686 54.31166  2482.02  8242.11 3.86 3.45 -67.1 -0.475    18.26 19.82 02a57535o0278o 0x400600   102.579995
57535.369944 18.711133      NaN     26.0    31.0   o  0.0     0.94 210.92686 54.31166  2496.06  8125.19 3.85 3.44 -65.9 -0.459    18.86 20.44 02a57535o0292o  0x80000    32.858109
57535.380630 19.256669      NaN    -38.0    24.0   o  0.0     1.18 210.92686 54.31166  2461.72  8192.02 3.85 3.47 -62.4 -0.454    19.07 20.70 02a57535o0313o  0x80000    26.356315
57568.311481 19.256669      NaN    -28.0    24.0   o  0.0     1.15 210.92686 54.31166  2659.41  7882.89 3.89 3.50 -65.8 -0.470    19.04 20.65 02a57568o0155o   0x0000    26.356315
57568.321807 18.776955      NaN     25.0    29.0   o  0.0     0.80 210.92686 54.31166  2647.66  7840.69 3.78 3.41 -65.6 -0.475    19.08 20.69 02a57568o0176o   0x0000    30.978304
57568.337986 18.623526 0.260913    129.0    31.0   o  0.0     1.01 210.92686 54.31166  2703.57  7915.05 3.85 3.46 -62.5 -0.469    19.09 20.74 02a57568o0209o  0x80000    32.858109
57568.343307 19.256669      NaN    -18.0    24.0   o  0.0     1.15 210.92686 54.31166  2715.18  7797.05 3.78 3.38 -66.8 -0.460    19.12 20.79 02a57568o0220o   0x0000    26.356315
57568.356106 19.169763      NaN    -27.0    26.0   o  0.0     0.87 210.92686 54.31166  2682.08  7856.84 3.76 3.40 -64.3 -0.463    19.13 20.81 02a57568o0246o   0x0000    28.189632
57589.280444 17.829663      NaN     73.0    65.0   o  0.0     1.15 210.92686 54.31166  2861.46  9838.63 3.78 3.57 -43.6 -0.495    18.28 19.15 02a57589o0116o   0x0000    65.906413
57589.288075 21.514394      NaN    -44.0     3.0   o  0.0 88709.17 210.92686 54.31166  1677.57    32.62 5.07 3.14  -8.5 -0.495    18.20 19.05 02a57589o0131o 0x400801    11.298466
57589.293601 17.430723      NaN    159.0    76.0   o  0.0     0.95 210.92686 54.31166  2837.34  9798.77 3.81 3.56 -47.8 -0.507    18.19 19.03 02a57589o0142o   0x0000    76.776659
57598.263361 19.256669      NaN    -35.0    24.0   o  0.0     1.18 210.92686 54.31166  3917.59  8875.17 4.11 3.89 -68.4 -0.436    19.08 20.79 02a57598o0056o  0x80000    26.356315
57598.273753 19.142275      NaN      2.0    26.0   o  0.0     0.92 210.92686 54.31166  3893.50  8835.49 4.32 3.97 -67.4 -0.422    19.06 20.87 02a57598o0077o  0x80000    28.189632
57598.286435 19.212347      NaN    -14.0    25.0   o  0.0     1.01 210.92686 54.31166  3948.26  8911.67 4.27 3.92 -68.9 -0.436    19.06 20.87 02a57598o0103o  0x80000    27.270044
57598.302465 19.014394      NaN     -2.0    30.0   o  0.0     1.06 210.92686 54.31166  3971.21  8789.78 4.60 4.18 -71.3 -0.416    18.98 20.86 02a57598o0136o  0x80000    31.916380
57598.311407 18.738855      NaN     35.0    27.0   o  0.0     1.25 210.92686 54.31166  3938.22  8850.07 4.57 4.14 -69.4 -0.450    18.96 20.84 02a57598o0154o  0x80000    29.114521
57613.253769 18.693037      NaN      1.0    40.0   o  0.0     1.01 210.92686 54.31166  2749.14  8672.11 3.66 3.62  54.2 -0.444    18.68 20.28 02a57613o0050o   0x0000    41.456668
57613.267021 18.757738      NaN    -70.0    38.0   o  0.0     1.08 210.92686 54.31166  1632.27  8676.84 3.77 3.73 -76.2 -0.456    18.65 20.29 02a57613o0075o   0x0000    39.530435
57613.286519 18.249822      NaN     50.0    44.0   o  0.0     0.95 210.92686 54.31166  1683.93  8749.38 3.80 3.68 -55.8 -0.451    18.59 20.15 02a57613o0111o  0x80000    45.328306
57613.295862 18.675237      NaN    -20.0    41.0   o  0.0     1.02 210.92686 54.31166  1706.03  8628.63 3.71 3.55 -52.9 -0.467    18.58 20.10 02a57613o0129o  0x80000    42.422345
57613.300693 18.582238      NaN      8.0    42.0   o  0.0     0.84 210.92686 54.31166  1669.97  8688.36 3.62 3.45 -57.4 -0.469    18.58 20.04 02a57613o0138o  0x80000    43.389576
57617.259169 17.637125      NaN     50.0    90.0   o  0.0     1.12 210.92686 54.31166 10249.60  8531.09 4.92 3.21  87.7 -0.485    18.31 19.62 02a57617o0071o  0x80000    90.656800
57617.268637 17.696393      NaN    -38.0   101.0   o  0.0     1.20 210.92686 54.31166 10223.98  8489.32 4.95 3.22  87.6 -0.494    18.29 19.58 02a57617o0089o   0x0000   101.585704
57617.277966 17.774377      NaN   -161.0    94.0   o  0.0     0.98 210.92686 54.31166  1045.46  8439.03 4.05 3.29 -57.2 -0.518    18.16 19.35 02a57617o0107o   0x0000    94.629041
57617.285399 17.503229      NaN     50.0   104.0   o  0.0     1.13 210.92686 54.31166 10279.26  8569.66 5.17 3.22  87.8 -0.478    18.23 19.49 02a57617o0121o   0x0000   104.568902
57617.296271 17.555452      NaN    -76.0   115.0   o  0.0     1.17 210.92686 54.31166 10300.15  8452.64 5.22 3.26  86.9 -0.449    18.20 19.42 02a57617o0142o  0x80000   115.514741
57617.300548 17.491297      NaN     27.0   113.0   o  0.0     1.03 210.92686 54.31166 10253.70  8507.34 5.27 3.28  89.7 -0.512    18.18 19.42 02a57617o0150o   0x0000   113.523810
57620.277061 17.574501      NaN     99.0    80.0   o  0.0     0.68 210.92686 54.31166 10443.58  9012.82 4.76 3.43  86.0 -0.511    18.50 19.93 02a57620o0085o  0x80000    80.738190
57620.286887 18.174913      NaN     -8.0    65.0   o  0.0     1.40 210.92686 54.31166 10416.78  8972.98 4.91 3.51  85.3 -0.518    18.39 19.81 02a57620o0103o  0x80000    65.906413
57620.299398 16.012419      NaN    295.0   378.0   o  0.0     0.13 210.92686 54.31166 10471.67  9055.28 5.15 3.64  87.0 -0.503    18.30 19.68 02a57620o0127o 0x400802   378.156919
57762.575567 19.351140      NaN    -25.0    22.0   o  0.0     1.22 210.92686 54.31166  6067.04  2441.53 3.59 3.51 -75.9 -0.429    18.96 20.19 02a57762o0748o   0x0000    24.549039
57762.587569 18.826541      NaN     35.0    24.0   o  0.0     1.20 210.92686 54.31166  6087.77  2483.17 3.55 3.41 -81.8 -0.435    19.22 20.65 02a57762o0770o   0x0000    26.356315
57762.598663 19.026525      NaN     29.0    20.0   o  0.0     1.03 210.92686 54.31166  6032.58  2407.53 3.56 3.44 -76.3 -0.433    19.50 21.20 02a57762o0791o   0x0000    22.774006
57762.609868 19.142275      NaN     20.0    20.0   o  0.0     0.88 210.92686 54.31166  6008.07  2525.00 3.53 3.41 -83.9 -0.432    19.58 21.35 02a57762o0812o  0x80000    22.774006
57762.621499 19.569016      NaN     -9.0    18.0   o  0.0     0.94 210.92686 54.31166  6052.29  2467.23 3.59 3.46 -83.0 -0.430    19.55 21.33 02a57762o0834o  0x80000    21.039376
57766.588053 18.496580      NaN     25.0    40.0   o  0.0     1.22 210.92686 54.31166  8286.29  2312.19 3.54 3.20  87.7 -0.479    18.50 19.21 02a57766o0718o   0x0000    41.456668
57766.600816 18.675237      NaN    -34.0    41.0   o  0.0     0.97 210.92686 54.31166  8297.56  2354.11 3.55 3.16  89.2 -0.479    18.53 19.25 02a57766o0741o   0x0000    42.422345
57766.614587 18.757738      NaN      0.0    38.0   o  0.0     1.24 210.92686 54.31166  8242.50  2280.22 3.55 3.25  85.2 -0.471    18.54 19.28 02a57766o0765o   0x0000    39.530435
57766.628115 18.298627      NaN     63.0    37.0   o  0.0     1.37 210.92686 54.31166  8227.84  2399.38 3.61 3.29  86.6 -0.468    18.55 19.32 02a57766o0789o   0x0000    38.570135
57766.640067 18.582238      NaN     20.0    38.0   o  0.0     0.97 210.92686 54.31166  8262.99  2341.47 3.59 3.26  86.5 -0.476    18.57 19.35 02a57766o0811o   0x0000    39.530435
57774.572690 18.796518      NaN     44.0    22.0   o  0.0     1.11 210.92686 54.31166  7921.07  3262.15 3.68 3.41  87.3 -0.423    19.28 20.84 02a57774o0747o   0x0000    24.549039
57774.585373 19.302877      NaN    -20.0    23.0   o  0.0     0.91 210.92686 54.31166  7943.47  3301.54 3.62 3.31  87.5 -0.433    19.32 20.87 02a57774o0771o   0x0000    25.449073
57774.598083 19.401649      NaN     -2.0    21.0   o  0.0     0.96 210.92686 54.31166  7888.20  3227.82 3.58 3.29  88.6 -0.439    19.33 20.88 02a57774o0795o   0x0000    23.657035
57774.610853 19.089302      NaN     21.0    21.0   o  0.0     0.85 210.92686 54.31166  7867.77  3348.95 3.55 3.24  89.8 -0.440    19.34 20.89 02a57774o0819o   0x0000    23.657035
57774.623493 19.115465      NaN     19.0    21.0   o  0.0     1.13 210.92686 54.31166  7911.64  3289.87 3.56 3.26  86.5 -0.443    19.35 20.90 02a57774o0843o   0x0000    23.657035
57794.512274 18.267867      NaN     20.0    53.0   o  0.0     0.97 210.92686 54.31166  9425.97  1049.36 3.62 3.24  83.3 -0.482    18.37 19.00 02a57794o0591o   0x0000    54.107812
57794.523666 18.304885      NaN     23.0    50.0   o  0.0     0.98 210.92686 54.31166   206.31   968.54 3.98 3.73 -89.3 -0.429    18.35 19.00 02a57794o0611o   0x0000    51.172799
57794.525313 18.459772      NaN    -48.0    50.0   o  0.0     1.26 210.92686 54.31166  9436.39  1089.40 3.68 3.32  82.1 -0.491    18.34 19.00 02a57794o0614o   0x0000    51.172799
57794.536683 18.280067      NaN    -78.0    59.0   o  0.0     0.99 210.92686 54.31166   228.48  1010.09 3.94 3.66  88.3 -0.442    18.20 18.84 02a57794o0634o   0x0000    59.997128
57794.538476 16.954622      NaN      3.0   199.0   o  0.0     1.19 210.92686 54.31166  9377.42  1016.05 3.60 3.24  85.8 -0.547    16.86 16.79 02a57794o0637o 0x400802   199.297906
57794.542087 17.976960      NaN    -84.0    78.0   o  0.0     1.02 210.92686 54.31166  2479.65   507.48 3.93 3.81 -70.6 -0.669    18.26 19.26 01a57794o0644o   0x0000    78.756938
57794.544733 17.703584      NaN     55.0    82.0   o  0.0     0.99 210.92686 54.31166  3669.16 10299.69 3.45 3.37  -2.9 -0.707    18.31 19.30 01a57794o0649o  0x80000    82.720344
57794.549409 18.280067      NaN    -52.0    59.0   o  0.0     1.06 210.92686 54.31166   166.74   926.67 3.95 3.63  89.8 -0.405    18.14 18.77 02a57794o0657o   0x0000    59.997128
57794.551239 17.360125      NaN    113.0   100.0   o  0.0     1.00 210.92686 54.31166  9365.13  1136.97 3.66 3.25  85.7 -0.478    17.67 18.01 02a57794o0660o   0x0000   100.591527
57794.554417 17.685696      NaN     69.0    79.0   o  0.0     0.78 210.92686 54.31166  2452.37   468.98 3.90 3.75 -67.8 -0.673    18.30 19.28 01a57794o0667o   0x0000    79.747447
57794.557073 18.110074      NaN    -60.0    69.0   o  0.0     1.37 210.92686 54.31166  3647.26 10259.99 3.32 3.26  10.5 -0.719    18.36 19.33 01a57794o0672o   0x0000    69.854530
57794.561701 17.482434      NaN    147.0    74.0   o  0.0     0.99 210.92686 54.31166   143.82  1044.81 3.90 3.63  89.8 -0.427    17.83 18.24 02a57794o0680o   0x0000    74.797429
57794.563362 18.034118      NaN   -146.0    74.0   o  0.0     0.80 210.92686 54.31166  9401.09  1078.95 3.63 3.21  86.2 -0.498    17.97 18.32 02a57794o0683o   0x0000    74.797429
57794.566749 17.949472      NaN    -49.0    80.0   o  0.0     0.93 210.92686 54.31166  2519.10   543.84 3.81 3.64 -68.9 -0.652    18.33 19.30 01a57794o0690o  0x80000    80.738190
57794.569493 18.005163      NaN    -81.0    76.0   o  0.0     1.11 210.92686 54.31166  3706.11 10335.17 3.33 3.25   7.6 -0.697    18.38 19.36 01a57794o0695o   0x0000    76.776659
57794.573926 16.471810      NaN   -188.0   312.0   o  0.0     1.12 210.92686 54.31166   177.81   989.53 3.85 3.57  86.1 -0.449    16.48 16.20 02a57794o0703o 0x400802   312.190095
57794.579025 17.782105      NaN     40.0    80.0   o  0.0     0.87 210.92686 54.31166  2536.50   423.77 3.83 3.68 -69.6 -0.652    18.33 19.32 01a57794o0713o   0x0000    80.738190
57794.581760 18.079051      NaN   -115.0    71.0   o  0.0     1.54 210.92686 54.31166  3729.21 10214.59 3.36 3.26   2.1 -0.683    18.38 19.38 01a57794o0718o   0x0000    71.830741
57794.591341 18.094452      NaN    -26.0    70.0   o  0.0     1.19 210.92686 54.31166  2490.74   482.90 3.83 3.69 -66.6 -0.666    18.36 19.34 01a57794o0736o  0x80000    70.842468
57794.594018 17.809593      NaN     30.0    81.0   o  0.0     1.08 210.92686 54.31166  3696.36 10272.38 3.44 3.29  -2.9 -0.686    18.38 19.40 01a57794o0741o   0x0000    81.729158
57798.520921 18.910912      NaN    -16.0    33.0   o  0.0     0.81 210.92686 54.31166  7027.21   892.74 3.53 3.38 -78.0 -0.472    18.81 19.80 02a57798o0629o  0x80000    34.751336
57798.542136 18.910912      NaN    -19.0    33.0   o  0.0     1.01 210.92686 54.31166  7051.13   934.44 3.56 3.41 -79.3 -0.458    18.83 19.81 02a57798o0668o   0x0000    34.751336
57798.555288 18.526952      NaN     54.0    29.0   o  0.0     1.49 210.92686 54.31166  6995.42   859.74 3.58 3.44 -77.3 -0.466    18.84 19.86 02a57798o0692o   0x0000    30.978304
57798.561715 18.005163      NaN    -50.0    76.0   o  0.0     1.03 210.92686 54.31166  3349.32  8181.53 4.06 3.63  84.2 -0.919    18.65 20.07 01a57798o0648o  0x80000    76.776659
57798.568326 18.369531      NaN     61.0    34.0   o  0.0     0.88 210.92686 54.31166  6973.77   981.25 3.57 3.44 -76.7 -0.461    18.86 19.91 02a57798o0716o  0x80000    35.702315
57798.574354 17.793801      NaN     34.0    81.0   o  0.0     0.93 210.92686 54.31166  3336.46  8140.65 4.14 3.70 -88.9 -0.897    18.65 20.10 01a57798o0670o  0x80000    81.729158
57798.581167 18.806434      NaN     16.0    31.0   o  0.0     1.03 210.92686 54.31166  7017.27   922.57 3.58 3.48 -82.7 -0.458    18.87 19.91 02a57798o0740o   0x0000    32.858109
57798.589598 17.870951      NaN     27.0    77.0   o  0.0     1.33 210.92686 54.31166  3391.24  8214.02 4.00 3.58 -83.5 -0.949    18.70 20.11 01a57798o0696o  0x80000    77.766672
57798.604751 18.000411      NaN     10.0    73.0   o  0.0     0.95 210.92686 54.31166  3399.41  8093.78 4.20 3.77 -86.5 -0.879    18.64 20.12 01a57798o0722o  0x80000    73.808233
57798.618994 17.637125      NaN     74.0    82.0   o  0.0     1.10 210.92686 54.31166  3356.88  8150.33 4.05 3.62 -84.1 -0.935    18.70 20.15 01a57798o0748o  0x80000    82.720344
57801.672938 16.026952      NaN   -500.0   470.0   o  0.0     1.08 210.92686 54.31166  6390.09  3041.14 3.60 3.56   5.8 -0.802    16.85 18.00 01a57801o0797o 0x400802   470.126212
57802.557770 19.076453      NaN      4.0    27.0   o  0.0     1.08 210.92686 54.31166  7863.42  9757.11 3.27 2.97 -41.2 -0.449    19.13 20.45 02a57802o0613o   0x0000    29.114521
57802.572754 18.631975      NaN     35.0    31.0   o  0.0     0.82 210.92686 54.31166  7885.80  9795.72 3.75 3.71 -65.0 -0.455    19.06 20.48 02a57802o0641o  0x80000    32.858109
57802.586150 19.051202      NaN     15.0    24.0   o  0.0     1.20 210.92686 54.31166  7829.03  9718.63 3.68 3.62 -63.9 -0.465    19.04 20.45 02a57802o0665o   0x0000    26.356315
57802.599681 18.978793      NaN     27.0    22.0   o  0.0     1.30 210.92686 54.31166  2675.18   617.70 3.66 3.51 -79.0 -0.453    19.13 20.43 02a57802o0689o  0x80000    24.549039
