         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.569016      NaN   -5    18 c    0   1.09 210.92686 54.31166  7768.69  2256.08 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c  0x80000  19.883228
57396.598947 19.115465      NaN   25    19 c    0   1.16 210.92686 54.31166  7482.34  1683.17 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.286218      NaN   62    38 c    0   1.08 210.92686 54.31166  8295.94  2826.99 3.80 3.60  20.5 -0.418    19.60 21.56 02a57396o0650c  0x80000  38.927403
57396.627717 18.675237      NaN  -32    41 c    0   1.33 210.92686 54.31166  8558.46  1065.55 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0x80000  41.860993
57424.598946 19.454622      NaN  -20    20 c    0   0.87 210.92686 54.31166  8267.28  1581.82 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c  0x80000  21.710429
57424.604067 19.569016      NaN  -10    18 c    0   0.98 210.92686 54.31166  8531.24  2151.84 4.25 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c  0x80000  19.883228
57424.621336 19.589310      NaN    2    17 c    0   1.35 210.92686 54.31166  7375.87  2769.73 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.696897      NaN  -14    16 c    0   1.21 210.92686 54.31166  7298.81  2863.60 3.96 3.67  11.6 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.092616
57448.521048 19.038793      NaN   16    24 c    0   0.90 210.92686 54.31166  7933.88  1772.81 4.00 3.65  15.2 -0.450    19.26 20.81 02a57448o0458c  0x80000  25.442931
57448.543577 19.302877      NaN   -7    23 c    0   0.78 210.92686 54.31166  8225.84  2353.05 3.94 3.73  23.4 -0.440    19.21 20.77 02a57448o0497c   0x0000  24.501893
57448.565924 19.351140      NaN   -4    22 c    0   1.26 210.92686 54.31166  7085.02  2975.53 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c  0x80000  23.565711
57448.596475 19.142275      NaN   17    21 c    0   1.25 210.92686 54.31166  3343.12  7822.63 3.87 3.61 -70.2 -0.422    19.20 20.80 02a57448o0592c  0x80000  22.634989
57449.515332 18.978793      NaN   30    21 c    0   1.18 210.92686 54.31166  8170.62  1723.38 4.04 3.63  15.6 -0.462    19.45 21.19 02a57449o0610c  0x80000  22.634989
57449.538360 18.796518      NaN   47    21 c    0   0.89 210.92686 54.31166  8468.99  2301.16 3.82 3.59  30.8 -0.457    19.42 21.11 02a57449o0650c  0x80000  22.634989
57449.558557 19.454622      NaN  -41    20 c    0   1.00 210.92686 54.31166  7328.43  2929.05 3.78 3.62  15.3 -0.427    19.39 21.07 02a57449o0688c  0x80000  21.710429
57449.570520 19.351140      NaN  -15    22 c    0   0.84 210.92686 54.31166  7310.30  2868.40 3.75 3.57  18.5 -0.439    19.39 21.06 02a57449o0709c   0x0000  23.565711
57458.509881 19.419021      NaN    5    19 c    0   0.96 210.92686 54.31166  8253.16  1575.89 4.32 3.77  15.5 -0.446    19.65 21.70 02a57458o0606c  0x80000  20.792853
