         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.043943      NaN    19.0    67.0   o  0.0   0.89 210.89922 54.30498  2841.86  8504.38 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o   0x0000    67.879712
57233.282702 18.034118      NaN    30.0    64.0   o  0.0   1.03 210.89922 54.30498  2827.60  8513.01 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o   0x0000    64.920377
57365.645360 19.014394      NaN   -23.0    30.0   o  0.0   1.07 210.89922 54.30498  7579.64  2264.24 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.094452      NaN    66.0    48.0   o  0.0   1.29 210.89922 54.30498  7323.81  1694.48 4.13 3.57   3.5 -0.483    18.19 18.98 02a57365o0723o   0x0000    49.220477
57386.594331 19.128787      NaN   -32.0    27.0   o  0.0   1.26 210.89922 54.30498  7577.44  2260.54 3.85 3.33  10.8 -0.515    18.84 20.09 02a57386o0639o  0x80000    29.114521
57386.602983 18.910912      NaN   -13.0    33.0   o  0.0   0.88 210.89922 54.30498  7306.93  1685.73 4.11 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o  0x80000    34.751336
57386.614803 18.598565      NaN    33.0    33.0   o  0.0   1.07 210.89922 54.30498  8139.84  2829.46 3.83 3.55  21.9 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.369531      NaN    64.0    33.0   o  0.0   1.23 210.89922 54.30498  8422.56  1066.63 4.33 3.39  13.3 -0.527    18.93 20.24 02a57386o0683o  0x80000    34.751336
57387.583683 18.574166      NaN    45.0    30.0   o  0.0   0.83 210.89922 54.30498  7580.36  2258.48 3.69 3.44   6.8 -0.483    18.92 19.99 02a57387o0634o  0x80000    31.916380
57387.591656 19.089302      NaN   -21.0    28.0   o  0.0   1.15 210.89922 54.30498  7309.95  1682.26 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.044223
57387.605357 18.666446      NaN    13.0    37.0   o  0.0   0.92 210.89922 54.30498  8140.99  2825.12 3.58 3.45  29.1 -0.475    18.97 20.08 02a57387o0661o   0x0000    38.570135
57387.612122 18.786693      NaN   -37.0    37.0   o  0.0   1.01 210.89922 54.30498  8423.80  1061.04 4.02 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o   0x0000    38.570135
57409.597826 18.094452      NaN    48.0    54.0   o  0.0   1.09 210.89922 54.30498  8159.95  1678.95 3.87 3.50  12.4 -0.488    18.59 19.61 02a57409o0642o   0x0000    55.087706
57409.623123 18.174913      NaN    63.0    44.0   o  0.0   1.00 210.89922 54.30498  8448.29  2263.08 3.53 3.41  33.0 -0.505    18.69 19.72 02a57409o0679o  0x80000    45.328306
57409.630689 18.748255      NaN    13.0    34.0   o  0.0   1.15 210.89922 54.30498  7615.81  1122.46 3.81 3.36   5.0 -0.512    18.73 19.78 02a57409o0690o   0x0000    35.702315
57409.635100 18.900000      NaN    13.0    29.0   o  0.0   1.20 210.89922 54.30498  7307.54  2886.88 3.50 3.41  25.5 -0.458    18.75 19.82 02a57409o0697o   0x0000    30.978304
57414.610678 18.910912      NaN     0.0    33.0   o  0.0   1.09 210.89922 54.30498  8086.59  1946.30 3.86 3.44  11.8 -0.492    18.77 19.88 02a57414o0661o   0x0000    34.751336
57414.627553 18.323878      NaN    62.0    36.0   o  0.0   0.81 210.89922 54.30498  8374.23  2525.60 3.68 3.48  24.0 -0.478    18.77 19.88 02a57414o0687o   0x0000    37.611904
57414.645156 18.816441      NaN    24.0    28.0   o  0.0   1.15 210.89922 54.30498  7241.02  3146.25 3.51 3.40  21.0 -0.458    18.78 19.88 02a57414o0714o   0x0000    30.044223
