         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57512.407432 19.569016      NaN  -20.0  18.0   c  0.0   0.96 210.89571 54.30804 10225.65  7833.36 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  19.883228
57512.416849 19.271854      NaN   17.0  18.0   c  0.0   1.05 210.89571 54.30804  3634.86  8638.92 4.14 3.80 -62.0 -0.410    19.52 21.58 02a57512o0414c  0x80000  19.883228
57515.371866 18.955691      NaN   29.0  22.0   c  0.0   1.06 210.89571 54.30804  1976.88   490.86 5.36 3.74 -16.0 -0.483    19.58 21.68 02a57515o0321c  0x80000  23.565711
57515.372987 18.711133      NaN   38.0  27.0   c  0.0   0.94 210.89571 54.30804  7367.64   276.04 5.29 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c  0x80000  28.290329
57515.374441 19.569016      NaN  -10.0  18.0   c  0.0   1.07 210.89571 54.30804  8538.00 10109.44 4.30 3.86  75.3 -0.415    19.60 21.66 02a57515o0326c  0x80000  19.883228
57515.383262 19.128787      NaN   27.0  18.0   c  0.0   1.03 210.89571 54.30804  3123.29 10251.69 4.23 3.95 -48.7 -0.400    19.61 21.73 02a57515o0344c  0x80000  19.883228
57515.385734 19.454622      NaN   -5.0  20.0   c  0.0   0.93 210.89571 54.30804  8466.41 10029.89 4.16 3.76  74.4 -0.422    19.61 21.65 02a57515o0348c  0x80000  21.710429
57515.386824 18.826541      NaN   47.0  20.0   c  0.0   0.99 210.89571 54.30804  3175.38 10336.17 4.28 3.96 -54.4 -0.402    19.61 21.70 02a57515o0350c  0x80000  21.710429
57515.400161 19.367717      NaN   11.0  18.0   c  0.0   0.94 210.89571 54.30804  3209.87 10215.97 4.17 3.91 -48.6 -0.391    19.61 21.69 02a57515o0376c  0x80000  19.883228
57515.402098 19.401649      NaN  -14.0  21.0   c  0.0   1.18 210.89571 54.30804  2058.60   416.67 5.17 3.65 -15.8 -0.485    19.58 21.64 02a57515o0380c  0x80000  22.634989
57515.409082 19.302877      NaN  -42.0  23.0   c  0.0   0.91 210.89571 54.30804  2009.86   479.32 5.24 3.65 -14.9 -0.478    19.58 21.61 02a57515o0393c   0x0000  24.501893
57515.410533 19.454622      NaN   -4.0  20.0   c  0.0   1.03 210.89571 54.30804  3168.93 10279.64 4.12 3.91 -42.8 -0.392    19.61 21.65 02a57515o0396c   0x0000  21.710429
