         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.163834      NaN     32.0    55.0   o  0.0   1.27 210.91687 54.30293  2821.74  8501.04 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o   0x0000    56.068309
57233.282702 18.063866      NaN     27.0    63.0   o  0.0   1.04 210.91687 54.30293  2807.48  8509.67 3.53 3.35 -63.6 -0.452    18.41 19.29 02a57233o0029o   0x0000    63.934774
57365.645360 19.076453      NaN      4.0    27.0   o  0.0   1.30 210.91687 54.30293  7599.74  2267.63 4.37 3.89   4.6 -0.435    18.89 20.47 02a57365o0696o  0x80000    29.114521
57365.663252 18.396507      NaN     -3.0    53.0   o  0.0   1.10 210.91687 54.30293  7343.90  1697.94 4.13 3.57   3.6 -0.483    18.19 18.98 02a57365o0723o   0x0000    54.107812
57386.594331 18.978793      NaN     -5.0    31.0   o  0.0   1.11 210.91687 54.30293  7597.54  2263.93 3.85 3.33  11.0 -0.515    18.84 20.09 02a57386o0639o  0x80000    32.858109
57386.602983 18.847027      NaN    -48.0    35.0   o  0.0   0.83 210.91687 54.30293  7327.02  1689.19 4.11 3.41   6.2 -0.512    18.83 20.09 02a57386o0653o  0x80000    36.655904
57386.614803 19.014394      NaN     -7.0    30.0   o  0.0   0.97 210.91687 54.30293  8159.99  2832.71 3.83 3.55  22.2 -0.476    18.88 20.21 02a57386o0669o   0x0000    31.916380
57386.624437 18.944322      NaN     -4.0    32.0   o  0.0   1.00 210.91687 54.30293  8442.79  1069.78 4.33 3.39  13.4 -0.526    18.93 20.24 02a57386o0683o  0x80000    33.803185
57387.583683 18.944322      NaN    -41.0    32.0   o  0.0   0.89 210.91687 54.30293  7600.46  2261.86 3.69 3.44   7.0 -0.483    18.92 19.99 02a57387o0634o  0x80000    33.803185
57387.591656 19.089302      NaN     -2.0    28.0   o  0.0   0.97 210.91687 54.30293  7330.04  1685.72 3.90 3.43   2.3 -0.497    18.95 20.02 02a57387o0647o   0x0000    30.044223
