         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.208845      NaN    -2.0    63.0   o  0.0   0.93 210.90448 54.32038  2836.66  8534.57 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o   0x0000    63.934774
57233.282702 18.191747      NaN     3.0    63.0   o  0.0   1.17 210.90448 54.32038  2822.40  8543.21 3.53 3.35 -63.4 -0.453    18.41 19.29 02a57233o0029o   0x0000    63.934774
57365.645360 18.910912      NaN   -28.0    33.0   o  0.0   0.77 210.90448 54.32038  7584.87  2234.11 4.38 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  0x80000    34.751336
57365.663252 18.226218      NaN    33.0    51.0   o  0.0   1.35 210.90448 54.32038  7329.15  1664.30 4.14 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o   0x0000    52.150315
57386.594331 18.878500      NaN    -6.0    34.0   o  0.0   0.81 210.90448 54.32038  7582.66  2230.41 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o  0x80000    35.702315
57386.602983 18.978793      NaN   -17.0    31.0   o  0.0   1.33 210.90448 54.32038  7312.27  1655.55 4.12 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o  0x80000    32.858109
57386.614803 18.910912      NaN   -40.0    33.0   o  0.0   0.94 210.90448 54.32038  8144.87  2799.34 3.84 3.55  21.4 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.816441      NaN   -24.0    36.0   o  0.0   0.99 210.90448 54.32038  8427.60  1036.24 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 19.076453      NaN     1.0    28.0   o  0.0   0.99 210.90448 54.32038  7585.59  2228.35 3.70 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o  0x80000    30.044223
57387.591656 18.836735      NaN    22.0    28.0   o  0.0   1.08 210.90448 54.32038  7315.29  1652.08 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.044223
57387.605357 18.526952      NaN    30.0    37.0   o  0.0   0.97 210.90448 54.32038  8146.02  2794.99 3.59 3.45  27.9 -0.476    18.97 20.08 02a57387o0661o   0x0000    38.570135
57387.612122 18.878500      NaN    -8.0    34.0   o  0.0   1.13 210.90448 54.32038  8428.84  1030.65 4.03 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   0x0000    35.702315
57409.597826 18.280067      NaN   -41.0    59.0   o  0.0   0.89 210.90448 54.32038  8165.05  1648.69 3.88 3.50  12.3 -0.490    18.59 19.61 02a57409o0642o   0x0000    59.997128
57409.623123 18.550302      NaN   -34.0    46.0   o  0.0   0.93 210.90448 54.32038  8453.28  2232.87 3.54 3.41  31.7 -0.506    18.69 19.72 02a57409o0679o  0x80000    47.272141
57409.630689 18.816441      NaN    -6.0    36.0   o  0.0   1.10 210.90448 54.32038  7621.12  1092.17 3.82 3.36   4.9 -0.513    18.73 19.78 02a57409o0690o   0x0000    37.611904
57409.635100 18.978793      NaN   -24.0    31.0   o  0.0   1.03 210.90448 54.32038  7312.86  2856.84 3.50 3.41  24.1 -0.458    18.75 19.82 02a57409o0697o   0x0000    32.858109
57414.610678 18.978793      NaN   -53.0    31.0   o  0.0   1.23 210.90448 54.32038  8091.70  1916.08 3.87 3.44  11.6 -0.493    18.77 19.88 02a57414o0661o   0x0000    32.858109
57414.627553 18.582238      NaN    41.0    31.0   o  0.0   1.25 210.90448 54.32038  8379.23  2495.42 3.68 3.48  23.4 -0.478    18.77 19.88 02a57414o0687o   0x0000    32.858109
57414.645156 18.990530      NaN    11.0    27.0   o  0.0   1.23 210.90448 54.32038  7246.37  3116.24 3.52 3.40  20.0 -0.458    18.78 19.88 02a57414o0714o   0x0000    29.114521
57414.661382 19.014394      NaN   -24.0    30.0   o  0.0   1.13 210.90448 54.32038  7318.96  2867.86 3.55 3.35  18.2 -0.469    18.77 19.85 02a57414o0740o   0x0000    31.916380
57418.601312 19.212347      NaN   -37.0    25.0   o  0.0   1.00 210.90448 54.32038  8260.76  1938.15 3.77 3.48  14.5 -0.480    19.19 20.72 02a57418o0642o   0x0000    27.270044
57418.622559 19.241693      NaN     1.0    24.0   o  0.0   1.08 210.90448 54.32038  8541.01  2515.07 3.76 3.63  36.8 -0.450    19.14 20.72 02a57418o0674o  0x80000    26.356315
57418.640915 19.401649      NaN   -25.0    21.0   o  0.0   0.93 210.90448 54.32038  7425.86  3139.23 3.56 3.48  24.6 -0.437    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 19.351140      NaN   -16.0    22.0   o  0.0   1.04 210.90448 54.32038  7329.08  2873.87 3.91 3.75  18.2 -0.420    19.06 20.63 02a57418o0727o  0x80000    24.549039
57419.602717 19.212347      NaN   -21.0    25.0   o  0.0   0.88 210.90448 54.32038  7956.02  1382.32 4.13 3.58   7.1 -0.479    19.30 21.02 02a57419o0615o  0x80000    27.270044
57419.622718 19.183773      NaN     5.0    24.0   o  0.0   0.80 210.90448 54.32038  8237.04  1965.51 3.84 3.51  15.6 -0.480    19.33 21.02 02a57419o0644o  0x80000    26.356315
57419.638318 19.271854      NaN     8.0    21.0   o  0.0   0.91 210.90448 54.32038  7113.55  2581.29 3.78 3.54   9.8 -0.446    19.30 21.20 02a57419o0668o   0x0000    23.657035
57419.655984 19.454622      NaN   -63.0    20.0   o  0.0   1.12 210.90448 54.32038  7332.18  2870.32 3.78 3.61  13.8 -0.433    19.30 21.01 02a57419o0695o  0x80000    22.774006
57440.518111 18.115332      NaN    47.0    53.0   o  0.0   0.97 210.90448 54.32038  8336.91  1366.95 4.30 3.46  13.1 -0.540    18.27 18.98 02a57440o0547o  0x80000    54.107812
57440.529939 18.504094      NaN   -60.0    48.0   o  0.0   1.34 210.90448 54.32038  8622.86  1944.15 3.99 3.43  21.4 -0.545    18.27 18.97 02a57440o0569o   0x0000    49.220477
57440.551953 18.058851      NaN    85.0    44.0   o  0.0   0.92 210.90448 54.32038  7492.04  2576.60 3.89 3.44  12.5 -0.499    18.29 19.00 02a57440o0611o   0x0000    45.328306
57440.562821 18.574166      NaN  -129.0    45.0   o  0.0   1.03 210.90448 54.32038  7280.50  2857.57 3.78 3.43  11.3 -0.496    18.30 19.02 02a57440o0632o  0x80000    46.299626
57441.518643 18.220396      NaN    52.0    45.0   o  0.0   1.37 210.90448 54.32038  8118.71  1766.65 3.99 3.40  14.8 -0.534    18.23 18.89 02a57441o0557o   0x0000    46.299626
57441.526896 18.417189      NaN   -29.0    52.0   o  0.0   0.88 210.90448 54.32038  8403.63  2341.43 3.79 3.38  24.4 -0.522    18.25 18.92 02a57441o0573o   0x0000    53.128668
57441.531928 18.343209      NaN    32.0    45.0   o  0.0   1.30 210.90448 54.32038  7279.48  2960.60 3.57 3.38  12.3 -0.491    18.26 18.93 02a57441o0583o   0x0000    46.299626
57441.552276 18.174913      NaN    54.0    47.0   o  0.0   1.01 210.90448 54.32038  7281.31  2851.49 3.66 3.39  15.3 -0.483    18.27 18.94 02a57441o0622o   0x0000    48.245780
57466.479054 18.232071      NaN    56.0    43.0   o  0.0   0.81 210.90448 54.32038  8192.38  1452.05 4.59 3.60  16.2 -0.540    18.73 19.97 02a57466o0545o  0x80000    44.358261
57466.500550 18.566153      NaN    25.0    37.0   o  0.0   0.93 210.90448 54.32038  8491.10  2026.30 4.15 3.60  25.6 -0.544    18.77 20.03 02a57466o0585o  0x80000    38.570135
57466.521973 19.089302      NaN   -19.0    28.0   o  0.0   1.37 210.90448 54.32038  7376.59  2652.47 3.85 3.39  11.5 -0.515    18.81 20.05 02a57466o0625o   0x0000    30.044223
57466.532670 19.014394      NaN   -18.0    30.0   o  0.0   0.93 210.90448 54.32038  7282.23  2850.34 3.85 3.42   9.7 -0.514    18.82 20.07 02a57466o0647o  0x80000    31.916380
57470.480982 16.514394      NaN  -147.0   300.0   o  0.0   1.42 210.90448 54.32038  7271.78  2844.29 3.95 3.64  10.4 -0.488    16.46 16.46 02a57470o0553o 0x400802   300.197694
57474.485989 18.496580      NaN    22.0    41.0   o  0.0   1.00 210.90448 54.32038  8146.83  1678.63 4.26 3.41  13.3 -0.526    18.71 19.95 02a57474o0492o  0x80000    42.422345
57474.506959 18.786693      NaN   -17.0    37.0   o  0.0   0.98 210.90448 54.32038  2200.85  8437.98 4.02 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o   0x0000    38.570135
57474.528572 19.014394      NaN   -37.0    30.0   o  0.0   1.02 210.90448 54.32038  3315.32  7817.37 3.70 3.23 -71.2 -0.491    18.72 19.91 02a57474o0566o  0x80000    31.916380
57474.543901 18.786693      NaN     9.0    34.0   o  0.0   0.86 210.90448 54.32038  3339.57  7842.18 3.81 3.26 -70.0 -0.508    18.69 19.92 02a57474o0592o   0x0000    35.702315
57492.402356 19.051202      NaN    -1.0    29.0   o  0.0   1.05 210.90448 54.32038  8207.20  1739.24 4.08 3.65  24.1 -0.505    19.02 20.45 02a57492o0382o   0x0000    30.978304
57492.415099 19.169763      NaN   -41.0    26.0   o  0.0   0.96 210.90448 54.32038  8492.28  2307.94 3.81 3.54  35.0 -0.502    19.10 20.55 02a57492o0405o  0x80000    28.189632
57492.430506 19.454622      NaN   -52.0    20.0   o  0.0   1.25 210.90448 54.32038  7354.45  2936.17 3.68 3.53  29.9 -0.475    19.11 20.59 02a57492o0433o   0x0000    22.774006
57492.449596 18.944322      NaN    18.0    26.0   o  0.0   0.70 210.90448 54.32038  7276.53  2841.09 3.75 3.58  19.0 -0.458    19.13 20.66 02a57492o0472o  0x80000    28.189632
57523.355574 18.910912      NaN   -17.0    33.0   o  0.0   1.11 210.90448 54.32038  6161.20  1369.42 4.32 3.45   1.7 -0.534    18.86 20.17 02a57523o0219o  0x80000    34.751336
57523.364398 18.944322      NaN   -30.0    32.0   o  0.0   0.89 210.90448 54.32038  4319.05  9129.40 3.89 3.60 -78.6 -0.470    18.84 20.22 02a57523o0237o  0x80000    33.803185
57523.381095 18.558199      NaN    53.0    28.0   o  0.0   1.03 210.90448 54.32038  4382.21  9211.52 3.84 3.59 -75.6 -0.464    18.84 20.19 02a57523o0271o   0x0000    30.044223
57523.387699 19.014394      NaN   -14.0    30.0   o  0.0   1.14 210.90448 54.32038  4406.70  9096.72 3.94 3.65 -75.4 -0.455    18.81 20.18 02a57523o0284o   0x0000    31.916380
57523.409491 19.014394      NaN   -61.0    30.0   o  0.0   1.09 210.90448 54.32038  4363.85  9156.97 3.83 3.53 -77.7 -0.474    18.80 20.13 02a57523o0325o   0x0000    31.916380
57527.358027 18.566153      NaN    10.0    42.0   o  0.0   1.08 210.90448 54.32038  2670.65  9403.67 4.15 3.76 -55.0 -0.471    18.46 19.51 02a57527o0104o  0x80000    43.389576
57527.369297 18.550302      NaN   -26.0    46.0   o  0.0   0.99 210.90448 54.32038  2656.33  9368.06 4.31 3.88 -46.4 -0.459    18.41 19.50 02a57527o0126o   0x0000    47.272141
57527.371716 18.550302      NaN    -4.0    46.0   o  0.0   0.91 210.90448 54.32038  2715.00  9447.15 4.06 3.66 -56.7 -0.480    18.46 19.48 02a57527o0131o  0x80000    47.272141
57527.394983 18.550302      NaN   -83.0    46.0   o  0.0   1.03 210.90448 54.32038  2736.11  9332.07 4.33 3.87 -63.2 -0.461    18.38 19.45 02a57527o0177o  0x80000    47.272141
57527.405379 18.526952      NaN  -147.0    47.0   o  0.0   1.02 210.90448 54.32038  2705.48  9391.51 4.33 3.86 -61.1 -0.455    18.37 19.43 02a57527o0198o  0x80000    48.245780
57535.336981 15.570926      NaN   445.0   567.0   o  0.0   0.92 210.90448 54.32038  2460.15  8223.83 3.91 3.44 -66.3 -0.479    15.47 16.84 02a57535o0225o 0x400802   567.104625
57535.346198 17.397568      NaN  -112.0   133.0   o  0.0   0.83 210.90448 54.32038  2448.47  8182.89 3.83 3.38 -66.1 -0.484    17.61 19.09 02a57535o0244o  0x80000   133.445327
57535.363162 17.647352      NaN    71.0    82.0   o  0.0   0.43 210.90448 54.32038  2507.93  8258.14 3.85 3.45 -67.2 -0.475    18.26 19.82 02a57535o0278o 0x400600    82.720344
57535.369944 18.649074      NaN    30.0    32.0   o  0.0   0.87 210.90448 54.32038  2521.96  8141.23 3.84 3.44 -65.9 -0.459    18.86 20.44 02a57535o0292o  0x80000    33.803185
57535.380630 19.212347      NaN   -12.0    25.0   o  0.0   1.14 210.90448 54.32038  2487.62  8208.05 3.84 3.47 -62.5 -0.454    19.07 20.70 02a57535o0313o  0x80000    27.270044
57568.311481 19.128787      NaN   -30.0    27.0   o  0.0   1.02 210.90448 54.32038  2685.26  7898.98 3.89 3.50 -65.9 -0.471    19.04 20.65 02a57568o0155o   0x0000    29.114521
57568.321807 19.014394      NaN    21.0    23.0   o  0.0   1.25 210.90448 54.32038  2673.50  7856.78 3.77 3.41 -65.7 -0.475    19.08 20.69 02a57568o0176o   0x0000    25.449073
57568.337986 19.051202      NaN   -19.0    29.0   o  0.0   0.93 210.90448 54.32038  2729.40  7931.16 3.85 3.46 -62.6 -0.470    19.09 20.74 02a57568o0209o  0x80000    30.978304
57568.343307 19.302877      NaN   -34.0    23.0   o  0.0   1.08 210.90448 54.32038  2741.01  7813.17 3.78 3.38 -67.0 -0.461    19.12 20.79 02a57568o0220o   0x0000    25.449073
57568.356106 19.401649      NaN    -7.0    21.0   o  0.0   1.37 210.90448 54.32038  2707.91  7872.95 3.76 3.39 -64.4 -0.462    19.13 20.81 02a57568o0246o   0x0000    23.657035
57589.280444 18.125925      NaN   -92.0    68.0   o  0.0   1.07 210.90448 54.32038  2887.30  9854.91 3.78 3.57 -43.1 -0.495    18.28 19.15 02a57589o0116o   0x0000    68.866939
57589.288075 14.191556      NaN   145.0  2500.0   o  0.0   0.00 210.90448 54.32038  1704.02    48.89 5.06 3.14  -8.4 -0.496    18.20 19.05 02a57589o0131o 0x400802  2500.023731
57589.293601 18.079051      NaN   -58.0    71.0   o  0.0   1.09 210.90448 54.32038  2863.18  9815.04 3.80 3.56 -47.4 -0.508    18.19 19.03 02a57589o0142o   0x0000    71.830741
57598.263361 19.169763      NaN   -11.0    26.0   o  0.0   0.98 210.90448 54.32038  3943.14  8891.74 4.11 3.89 -68.5 -0.436    19.08 20.79 02a57598o0056o  0x80000    28.189632
57598.273753 19.212347      NaN    -1.0    25.0   o  0.0   1.12 210.90448 54.32038  3919.06  8852.06 4.32 3.97 -67.5 -0.422    19.06 20.87 02a57598o0077o  0x80000    27.270044
