         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 17.935984      NaN    39.0    68.0   o  0.0   0.70 210.90448 54.30293  2835.79  8500.58 3.57 3.45 -66.3 -0.436    18.44 19.38 02a57233o0013o   0x0000    68.866939
57233.282702 18.261819      NaN   -31.0    60.0   o  0.0   1.25 210.90448 54.30293  2821.53  8509.21 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o   0x0000    60.980778
57365.645360 19.014394      NaN    -3.0    30.0   o  0.0   0.92 210.90448 54.30293  7585.70  2268.05 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 17.931525      NaN    94.0    50.0   o  0.0   1.24 210.90448 54.30293  7329.86  1698.31 4.13 3.57   3.5 -0.483    18.19 18.98 02a57365o0723o   0x0000    51.172799
57386.594331 18.816441      NaN    27.0    27.0   o  0.0   1.34 210.90448 54.30293  7583.50  2264.35 3.85 3.33  10.9 -0.515    18.84 20.09 02a57386o0639o  0x80000    29.114521
57386.602983 18.944322      NaN    -9.0    32.0   o  0.0   1.03 210.90448 54.30293  7312.98  1689.56 4.11 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.467034      NaN    59.0    30.0   o  0.0   1.37 210.90448 54.30293  8145.93  2833.23 3.83 3.55  22.0 -0.476    18.88 20.21 02a57386o0669o   0x0000    31.916380
57386.624437 18.748255      NaN    16.0    33.0   o  0.0   1.22 210.90448 54.30293  8428.67  1070.39 4.33 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o  0x80000    34.751336
57387.583683 18.640491      NaN    40.0    29.0   o  0.0   0.89 210.90448 54.30293  7586.42  2262.29 3.69 3.44   6.9 -0.483    18.92 19.99 02a57387o0634o  0x80000    30.978304
57387.591656 18.847027      NaN    24.0    27.0   o  0.0   1.13 210.90448 54.30293  7316.00  1686.09 3.91 3.43   2.2 -0.497    18.95 20.02 02a57387o0647o   0x0000    29.114521
57387.605357 18.640491      NaN    16.0    37.0   o  0.0   0.85 210.90448 54.30293  8147.09  2828.88 3.58 3.45  29.5 -0.475    18.97 20.08 02a57387o0661o   0x0000    38.570135
57387.612122 18.944322      NaN   -13.0    32.0   o  0.0   1.27 210.90448 54.30293  8429.92  1064.80 4.02 3.42  10.0 -0.516    19.01 20.11 02a57387o0672o   0x0000    33.803185
57409.597826 18.079051      NaN    27.0    62.0   o  0.0   0.90 210.90448 54.30293  8166.05  1682.73 3.87 3.50  12.5 -0.488    18.59 19.61 02a57409o0642o   0x0000    62.949625
57409.623123 18.702047      NaN   -77.0    40.0   o  0.0   1.29 210.90448 54.30293  8454.40  2266.83 3.53 3.41  33.3 -0.505    18.69 19.72 02a57409o0679o  0x80000    41.456668
57409.630689 18.657725      NaN    26.0    33.0   o  0.0   1.12 210.90448 54.30293  7621.87  1126.29 3.81 3.36   5.0 -0.512    18.73 19.78 02a57409o0690o   0x0000    34.751336
57409.635100 18.900000      NaN    19.0    27.0   o  0.0   1.30 210.90448 54.30293  7313.57  2890.71 3.49 3.41  25.9 -0.458    18.75 19.82 02a57409o0697o   0x0000    29.114521
57414.610678 18.757738      NaN    15.0    33.0   o  0.0   1.03 210.90448 54.30293  8092.68  1950.08 3.86 3.44  11.9 -0.492    18.77 19.88 02a57414o0661o   0x0000    34.751336
57414.627553 18.459772      NaN    48.0    34.0   o  0.0   0.90 210.90448 54.30293  8380.34  2529.35 3.68 3.48  24.2 -0.478    18.77 19.88 02a57414o0687o   0x0000    35.702315
57414.645156 19.014394      NaN   -50.0    30.0   o  0.0   0.85 210.90448 54.30293  7247.06  3150.08 3.51 3.40  21.4 -0.458    18.78 19.88 02a57414o0714o   0x0000    31.916380
57414.661382 19.051202      NaN     3.0    28.0   o  0.0   1.12 210.90448 54.30293  7319.66  2901.72 3.54 3.36  18.8 -0.468    18.77 19.85 02a57414o0740o   0x0000    30.044223
57418.601312 19.014394      NaN    21.0    23.0   o  0.0   1.12 210.90448 54.30293  8261.80  1972.14 3.76 3.48  14.9 -0.479    19.19 20.72 02a57418o0642o   0x0000    25.449073
57418.622559 19.102305      NaN    11.0    24.0   o  0.0   1.23 210.90448 54.30293  8542.17  2549.00 3.76 3.63  38.5 -0.449    19.14 20.72 02a57418o0674o  0x80000    26.356315
57418.640915 19.401649      NaN   -44.0    21.0   o  0.0   1.19 210.90448 54.30293  7426.61  3173.07 3.55 3.48  26.6 -0.436    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 19.142275      NaN     8.0    24.0   o  0.0   1.01 210.90448 54.30293  7329.77  2907.74 3.90 3.75  19.0 -0.420    19.06 20.63 02a57418o0727o  0x80000    26.356315
57419.602717 18.857417      NaN    35.0    23.0   o  0.0   1.15 210.90448 54.30293  7956.92  1416.39 4.12 3.58   7.2 -0.478    19.30 21.02 02a57419o0615o  0x80000    25.449073
57419.622718 19.271854      NaN     5.0    22.0   o  0.0   1.09 210.90448 54.30293  8238.05  1999.51 3.83 3.51  15.9 -0.479    19.33 21.02 02a57419o0644o  0x80000    24.549039
57419.638318 19.142275      NaN    17.0    21.0   o  0.0   0.84 210.90448 54.30293  7114.16  2615.18 3.78 3.54  10.1 -0.445    19.30 21.20 02a57419o0668o   0x0000    23.657035
57419.655984 19.510313      NaN   -17.0    19.0   o  0.0   1.31 210.90448 54.30293  7332.87  2904.19 3.77 3.61  14.3 -0.433    19.30 21.01 02a57419o0695o  0x80000    21.901035
57440.518111 18.226218      NaN     3.0    61.0   o  0.0   0.82 210.90448 54.30293  8337.97  1401.03 4.29 3.46  13.2 -0.539    18.27 18.98 02a57440o0547o  0x80000    61.964952
57440.529939 18.481707      NaN   -27.0    49.0   o  0.0   1.22 210.90448 54.30293  8624.05  1978.16 3.97 3.44  21.8 -0.545    18.27 18.97 02a57440o0569o   0x0000    50.196168
57440.551953 18.550302      NaN   -58.0    46.0   o  0.0   1.22 210.90448 54.30293  7492.83  2610.50 3.87 3.45  12.8 -0.498    18.29 19.00 02a57440o0611o   0x0000    47.272141
57440.562821 18.574166      NaN   -59.0    45.0   o  0.0   1.12 210.90448 54.30293  7281.20  2891.44 3.76 3.43  11.6 -0.495    18.30 19.02 02a57440o0632o  0x80000    46.299626
57441.518643 18.424171      NaN     8.0    49.0   o  0.0   1.20 210.90448 54.30293  8119.71  1800.66 3.98 3.40  15.0 -0.533    18.23 18.89 02a57441o0557o   0x0000    50.196168
57441.526896 18.481707      NaN     6.0    47.0   o  0.0   1.19 210.90448 54.30293  8404.77  2375.38 3.78 3.38  24.9 -0.522    18.25 18.92 02a57441o0573o   0x0000    48.245780
57441.531928 18.550302      NaN   -14.0    46.0   o  0.0   1.06 210.90448 54.30293  7280.20  2994.45 3.56 3.39  12.8 -0.491    18.26 18.93 02a57441o0583o   0x0000    47.272141
57441.552276 18.481707      NaN   -41.0    49.0   o  0.0   0.95 210.90448 54.30293  7282.02  2885.36 3.65 3.40  15.8 -0.483    18.27 18.94 02a57441o0622o   0x0000    50.196168
