         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.529530      NaN    5    17 c    0   2.36 210.92563 54.31527  7767.11  2249.11 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c  0x80000  18.982696
57396.598947 19.128787      NaN   24    19 c    0   1.99 210.92563 54.31527  7480.79  1676.18 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.711133      NaN   14    35 c    0   1.51 210.92563 54.31527  8294.32  2820.03 3.80 3.60  20.4 -0.418    19.60 21.56 02a57396o0650c  0x80000  36.004760
57396.627717 17.935984      NaN  120    41 c    0   1.44 210.92563 54.31527  8556.83  1058.55 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0x80000  41.860993
57424.598946 19.051202      NaN   36    17 c    0   1.91 210.92563 54.31527  8265.67  1574.83 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c  0x80000  18.982696
57424.604067 19.631075      NaN   -8    17 c    0   1.90 210.92563 54.31527  8529.60  2144.86 4.25 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c  0x80000  18.982696
57424.621336 19.026525      NaN   38    17 c    0   2.20 210.92563 54.31527  7374.33  2762.76 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.115465      NaN   34    16 c    0   1.46 210.92563 54.31527  7297.28  2856.63 3.97 3.67  11.5 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.092616
57448.521048 18.900000      NaN   28    24 c    0   1.23 210.92563 54.31527  7932.29  1765.82 4.00 3.65  15.1 -0.450    19.26 20.81 02a57448o0458c  0x80000  25.442931
57448.543577 19.351140      NaN  -19    22 c    0   1.48 210.92563 54.31527  8224.22  2346.08 3.94 3.73  23.2 -0.440    19.21 20.77 02a57448o0497c   0x0000  23.565711
57448.565924 19.302877      NaN  -14    23 c    0   1.25 210.92563 54.31527  7083.50  2968.56 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c  0x80000  24.501893
57448.596475 19.197966      NaN   10    22 c    0   1.88 210.92563 54.31527  3344.66  7829.60 3.87 3.61 -70.3 -0.422    19.20 20.80 02a57448o0592c  0x80000  23.565711
57449.515332 19.256669      NaN   12    20 c    0   1.84 210.92563 54.31527  8169.02  1716.39 4.04 3.63  15.6 -0.462    19.45 21.19 02a57449o0610c  0x80000  21.710429
57449.538360 19.384550      NaN    4    20 c    0   1.45 210.92563 54.31527  8467.36  2294.19 3.82 3.59  30.6 -0.457    19.42 21.11 02a57449o0650c  0x80000  21.710429
57449.558557 19.569016      NaN   -2    18 c    0   1.72 210.92563 54.31527  7326.89  2922.08 3.78 3.62  15.2 -0.427    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.454622      NaN  -34    20 c    0   1.35 210.92563 54.31527  7308.76  2861.43 3.76 3.57  18.3 -0.439    19.39 21.06 02a57449o0709c   0x0000  21.710429
57458.509881 18.796518      NaN   50    20 c    0   1.38 210.92563 54.31527  8251.55  1568.90 4.32 3.77  15.5 -0.446    19.65 21.70 02a57458o0606c  0x80000  21.710429
57458.513259 19.256669      NaN   18    18 c    0   1.79 210.92563 54.31527  8537.36  2137.61 4.21 3.91  23.9 -0.426    19.61 21.68 02a57458o0613c  0x80000  19.883228
57458.536888 19.631075 0.361912   51    17 c    0   1.63 210.92563 54.31527  7410.39  2763.51 4.12 3.83   2.2 -0.403    19.60 21.68 02a57458o0653c  0x80000  18.982696
57458.567769 19.454622      NaN    9    17 c    0   1.97 210.92563 54.31527  3340.97  7827.51 3.85 3.61 -72.8 -0.421    19.64 21.68 02a57458o0708c   0x0000  18.982696
57488.426551 19.569016      NaN  -51    18 c    0   1.71 210.92563 54.31527  8383.89  1641.17 4.32 3.81  20.2 -0.478    19.60 21.59 02a57488o0373c  0x80000  19.883228
57488.444090 19.472870      NaN    8    17 c    0   2.18 210.92563 54.31527  8671.23  2197.57 4.18 3.80  29.7 -0.461    19.60 21.61 02a57488o0405c  0x80000  18.982696
57488.465855 19.256669 0.301593   72    20 c    0   1.58 210.92563 54.31527  7549.30  2844.76 4.06 3.72  15.8 -0.447    19.57 21.56 02a57488o0444c  0x80000  21.710429
57488.475297 19.401649      NaN    6    19 c    0   2.08 210.92563 54.31527  3327.00  7819.18 3.99 3.61 -64.9 -0.438    19.55 21.54 02a57488o0460c  0x80000  20.792853
57512.362600 19.367717      NaN    5    20 c    0   1.55 210.92563 54.31527  9571.48  2707.68 4.67 4.15  38.4 -0.436    19.51 21.58 02a57512o0305c   0x0000  21.710429
57512.371077 19.063754      NaN   26    20 c    0   1.47 210.92563 54.31527  9594.38  2743.98 4.57 4.08  39.7 -0.441    19.53 21.60 02a57512o0322c   0x0000  21.710429
57512.373986 18.910912      NaN   39    20 c    0   1.76 210.92563 54.31527   387.52  2633.28 5.06 3.82 -34.1 -0.413    19.58 21.60 02a57512o0328c  0x80000  21.710429
57512.383392 19.302877      NaN   12    19 c    0   1.71 210.92563 54.31527   407.36  2670.45 5.10 3.92 -33.9 -0.414    19.54 21.60 02a57512o0347c   0x0000  20.792853
57512.386899 19.491430      NaN    4    18 c    0   1.62 210.92563 54.31527   969.19  7900.75 4.46 3.82 -58.3 -0.428    19.55 21.63 02a57512o0354c   0x0000  19.883228
57512.388945 19.384550      NaN   13    17 c    0   2.80 210.92563 54.31527   341.51  2594.00 5.15 3.88 -31.4 -0.404    19.57 21.61 02a57512o0358c  0x80000  18.982696
57512.397027 19.631075      NaN    0    17 c    0   2.60 210.92563 54.31527   999.67  7781.51 4.39 3.76 -57.8 -0.428    19.55 21.60 02a57512o0374c  0x80000  18.982696
57512.407432 19.510313      NaN   -4    19 c    0   1.64 210.92563 54.31527 10190.57  7845.16 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  20.792853
57512.416849 19.002397      NaN   37    18 c    0   2.72 210.92563 54.31527  3601.22  8653.76 4.15 3.80 -61.8 -0.410    19.52 21.58 02a57512o0414c  0x80000  19.883228
57515.371866 19.128787      NaN   15    22 c    0   1.47 210.92563 54.31527  1943.46   506.28 5.36 3.74 -16.2 -0.483    19.58 21.68 02a57515o0321c  0x80000  23.565711
57515.372987 18.489118      NaN   62    28 c    0   1.69 210.92563 54.31527  7401.39   260.86 5.30 3.91  10.4 -0.491    19.61 21.70 02a57515o0323c  0x80000  29.246243
57515.374441 19.384550      NaN   10    18 c    0   1.97 210.92563 54.31527  8571.48 10094.10 4.30 3.86  75.5 -0.415    19.60 21.66 02a57515o0326c  0x80000  19.883228
57515.383262 19.051202      NaN   27    20 c    0   1.47 210.92563 54.31527  3089.56 10266.96 4.24 3.95 -48.3 -0.399    19.61 21.73 02a57515o0344c  0x80000  21.710429
57515.385734 19.401649      NaN  -26    21 c    0   1.49 210.92563 54.31527  8499.89 10014.59 4.17 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c  0x80000  22.634989
57515.386824 19.302877      NaN   12    19 c    0   2.06 210.92563 54.31527  3141.63 10351.42 4.28 3.97 -54.1 -0.401    19.61 21.70 02a57515o0350c  0x80000  20.792853
57515.400161 19.115465      NaN   25    19 c    0   2.05 210.92563 54.31527  3176.13 10231.19 4.17 3.92 -48.3 -0.390    19.61 21.69 02a57515o0376c  0x80000  20.792853
57515.402098 19.334813      NaN    4    21 c    0   1.66 210.92563 54.31527  2025.16   432.04 5.17 3.65 -16.1 -0.485    19.58 21.64 02a57515o0380c  0x80000  22.634989
57515.409082 19.401649      NaN   -3    21 c    0   1.89 210.92563 54.31527  1976.42   494.70 5.24 3.65 -15.1 -0.478    19.58 21.61 02a57515o0393c   0x0000  22.634989
57515.410533 19.155932      NaN   22    19 c    0   1.68 210.92563 54.31527  3135.19 10294.88 4.12 3.91 -42.4 -0.392    19.61 21.65 02a57515o0396c   0x0000  20.792853
57545.329395 19.271854      NaN   14    19 c    0   2.03 210.92563 54.31527  1104.22  8159.25 4.40 3.95 -56.1 -0.415    19.59 21.73 02a57545o0190c  0x80000  20.792853
57545.338129 19.401649      NaN    6    19 c    0   2.16 210.92563 54.31527  1091.34  8121.91 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c   0x0000  20.792853
57545.345896 18.889197      NaN   50    17 c    0   2.11 210.92563 54.31527 10302.92  8239.12 4.55 3.63  80.3 -0.431    19.64 21.77 02a57545o0224c  0x80000  18.982696
57545.355107 19.696897      NaN  -22    16 c    0   2.63 210.92563 54.31527  1149.78  8197.70 4.16 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c   0x0000  18.092616
57545.356559 18.967180      NaN   37    19 c    0   1.54 210.92563 54.31527 10291.04  8201.44 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c   0x0000  20.792853
57545.358980 19.089302 0.245583   84    19 c    0   1.59 210.92563 54.31527 10348.08  8283.45 4.63 3.65  81.3 -0.434    19.64 21.79 02a57545o0251c  0x80000  20.792853
57545.361400 19.063754      NaN   26    20 c    0   1.97 210.92563 54.31527  1162.70  8080.40 4.40 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  0x80000  21.710429
57545.371093 19.510313      NaN  -30    19 c    0   2.01 210.92563 54.31527  1130.05  8141.09 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c   0x0000  20.792853
57545.380784 19.002397      NaN   25    22 c    0   1.54 210.92563 54.31527 10360.75  8170.78 4.68 3.68  80.3 -0.421    19.41 21.51 02a57545o0296c  0x80000  23.565711
57545.390661 19.183773      NaN   20    19 c    0   1.66 210.92563 54.31527 10323.20  8230.61 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c  0x80000  20.792853
57549.332077 19.401649      NaN   -5    21 c    0   1.86 210.92563 54.31527  2392.25  9684.39 4.08 3.84 -55.0 -0.424    19.44 21.31 02a57549o0078c   0x0000  22.634989
57549.342782 19.002397      NaN   25    22 c    0   2.10 210.92563 54.31527  2382.08  9644.60 4.17 3.87 -53.6 -0.416    19.44 21.33 02a57549o0100c   0x0000  23.565711
57549.359807 19.401649      NaN  -47    21 c    0   1.65 210.92563 54.31527  2438.43  9719.99 4.12 3.83 -48.3 -0.420    19.46 21.36 02a57549o0135c   0x0000  22.634989
57549.367069 18.786693      NaN   18    31 c    0   5.15 210.92563 54.31527  2451.09  9603.18 4.13 3.84 -53.6 -0.424    19.47 21.39 02a57549o0150c 0x400200  32.130091
57549.375839 19.401649      NaN   -6    21 c    0   1.70 210.92563 54.31527  2419.63  9666.91 4.25 3.90 -49.2 -0.415    19.49 21.47 02a57549o0168c   0x0000  22.634989
57581.293250 19.128787      NaN   -6    27 c    0   1.34 210.92563 54.31527  3722.59  6920.89 4.17 3.83 -76.8 -0.443    19.01 20.64 02a57581o0088c   0x0000  28.290329
57581.304631 18.910912      NaN   21    26 c    0   1.74 210.92563 54.31527  3710.00  6879.53 4.12 3.85 -61.9 -0.443    19.01 20.65 02a57581o0111c   0x0000  27.337570
57581.321240 19.212347      NaN   -6    25 c    0   1.62 210.92563 54.31527  3765.41  6954.00 3.97 3.69 -62.6 -0.451    19.00 20.58 02a57581o0145c   0x0000  26.388307
57581.328019 18.631975      NaN   44    28 c    0   1.30 210.92563 54.31527  3777.78  6836.62 3.92 3.63 -72.0 -0.454    19.00 20.57 02a57581o0159c   0x0000  29.246243
57581.338880 18.582238      NaN   47    29 c    0   1.21 210.92563 54.31527  3745.03  6895.61 3.99 3.68 -65.8 -0.452    18.93 20.48 02a57581o0181c   0x0000  30.205012
57605.257770 18.356290      NaN   60    35 c    0   1.60 210.92563 54.31527  3985.90  6995.56 4.26 3.91  41.5 -0.371    18.85 21.71 02a57605o0052c 0x400400  36.004760
57605.266058 18.292405      NaN   64    37 c    0   1.64 210.92563 54.31527  3962.97  6954.99 4.44 4.23  41.9 -0.398    18.84 21.70 02a57605o0066c  0x80000  37.951848
57605.277177 18.649074      NaN  -71    42 c    0   1.03 210.92563 54.31527  4019.18  7028.44 5.25 5.14  64.8 -0.323    18.70 21.72 02a57605o0085c 0x400500  42.840900
57605.290850 19.454622      NaN  -64    20 c    0   2.33 210.92563 54.31527  4042.85  6912.35 4.92 4.71 -64.4 -0.356    19.19 21.41 02a57605o0109c  0x80000  21.710429
57605.303123 18.878500      NaN   48    18 c    0   2.62 210.92563 54.31527  3997.54  6968.19 4.12 3.93 -59.9 -0.388    19.35 21.41 02a57605o0133c  0x80000  19.883228
57609.251150 18.786693      NaN   30    27 c    0   1.75 210.92563 54.31527  1280.05 10129.92 4.18 3.78 -54.7 -0.424    19.04 20.57 02a57609o0045c   0x0000  28.290329
57609.257024 17.503229 0.122970  362    41 c    0   1.77 210.92563 54.31527 10504.02 10250.46 4.93 3.91  81.8 -0.424    19.23 20.92 02a57609o0055c  0x80000  41.860993
57609.260345 18.786693      NaN   42    23 c    0   1.78 210.92563 54.31527  1256.25 10088.39 4.25 3.89 -54.2 -0.429    19.15 20.84 02a57609o0061c   0x0000  24.501893
57609.274446 19.302877      NaN  -20    23 c    0   1.62 210.92563 54.31527  1311.40 10164.18 4.24 4.00 -55.3 -0.429    19.15 20.86 02a57609o0086c  0x80000  24.501893
57609.275582 17.837796 0.142860  266    35 c    0   2.23 210.92563 54.31527 10489.93 10207.90 5.07 4.03  81.4 -0.385    19.23 20.97 02a57609o0088c 0x400100  36.004760
57609.283416 19.089302      NaN    0    28 c    0   1.36 210.92563 54.31527  1323.30 10041.30 4.35 3.86 -54.9 -0.413    19.11 20.83 02a57609o0102c  0x80000  29.246243
57609.293767 19.226921      NaN    5    23 c    0   1.77 210.92563 54.31527  1287.05 10105.58 4.49 3.94 -54.1 -0.404    19.06 20.79 02a57609o0120c   0x0000  24.501893
57746.613969 19.197966      NaN   19    19 c    0   1.64 210.92563 54.31527  9632.41  2370.60 4.06 3.82  81.8 -0.423    19.61 21.65 02a57746o0819c  0x80000  20.792853
57746.625461 19.401649      NaN    9    18 c    0   1.83 210.92563 54.31527  9642.79  2410.23 4.08 3.83  80.8 -0.421    19.61 21.63 02a57746o0841c  0x80000  19.883228
57746.627011 19.510313      NaN    3    18 c    0   1.48 210.92563 54.31527   435.98  2303.41 4.23 4.16 -88.1 -0.369    19.54 21.57 02a57746o0844c   0x0000  19.883228
57746.636855 19.454622      NaN  -30    20 c    0   1.47 210.92563 54.31527  9587.26  2337.35 4.24 4.02  81.0 -0.404    19.60 21.66 02a57746o0863c   0x0000  21.710429
57746.638445 19.063754      NaN   35    17 c    0   1.38 210.92563 54.31527   448.59  2343.60 4.28 4.20  86.3 -0.365    19.56 21.60 02a57746o0866c   0x0000  18.982696
57746.648259 19.631075      NaN  -56    17 c    0   1.99 210.92563 54.31527  9573.24  2455.53 4.17 3.92  78.8 -0.408    19.60 21.66 02a57746o0885c   0x0000  18.982696
57746.650355 19.115465      NaN   28    18 c    0   1.22 210.92563 54.31527   389.84  2261.25 4.15 4.02  86.0 -0.381    19.60 21.59 02a57746o0889c   0x0000  19.883228
57746.659628 18.967180      NaN   34    20 c    0   1.36 210.92563 54.31527  9609.40  2397.25 4.06 3.80  79.6 -0.417    19.52 21.38 02a57746o0907c  0x80000  21.710429
57746.661195 19.472870      NaN    5    18 c    0   1.74 210.92563 54.31527   378.84  2397.77 4.09 3.96  84.5 -0.381    19.40 21.16 02a57746o0910c   0x0000  19.883228
57746.669931 18.534680      NaN   26    38 c    0   1.35 210.92563 54.31527   412.13  2322.17 4.32 4.15  80.2 -0.359    18.45 19.40 02a57746o0927c   0x0000  38.927403
57778.570698 19.569016      NaN  -14    18 c    0   1.70 210.92563 54.31527  9123.40 10194.96 4.12 3.71 -88.2 -0.431    19.77 21.82 02a57778o0568c  0x80000  19.883228
57778.576629 19.401649      NaN  -10    21 c    0   1.61 210.92563 54.31527  7898.76   393.86 4.00 3.79  15.4 -0.454    19.75 21.80 02a57778o0578c  0x80000  22.634989
57778.584061 19.334813      NaN   13    18 c    0   1.64 210.92563 54.31527  9136.76 10236.43 4.09 3.68 -88.2 -0.432    19.77 21.81 02a57778o0592c  0x80000  19.883228
57778.589437 19.419021 0.332726   62    19 c    0   1.86 210.92563 54.31527  7911.03   434.77 3.94 3.77  18.4 -0.451    19.77 21.82 02a57778o0602c  0x80000  20.792853
57778.596885 19.454622 0.343816   60    19 c    0   1.35 210.92563 54.31527  9079.40 10162.41 4.09 3.73  89.4 -0.433    19.78 21.83 02a57778o0616c 0x400400  20.792853
57778.602290 19.115465      NaN   19    21 c    0   1.38 210.92563 54.31527  7868.52   359.42 3.95 3.73  15.3 -0.452    19.79 21.85 02a57778o0626c  0x80000  22.634989
57778.609876 19.436675      NaN    4    19 c    0   1.65 210.92563 54.31527  9057.28 10283.60 4.05 3.68 -88.5 -0.431    19.80 21.86 02a57778o0640c  0x80000  20.792853
57778.615190 19.271854      NaN   14    19 c    0   1.69 210.92563 54.31527  7847.93   483.11 3.84 3.67  17.9 -0.453    19.81 21.88 02a57778o0650c  0x80000  20.792853
57778.622705 19.569016      NaN  -26    18 c    0   1.66 210.92563 54.31527  9102.76 10224.08 3.99 3.63 -89.0 -0.436    19.82 21.89 02a57778o0664c  0x80000  19.883228
57778.628048 19.334813      NaN   10    19 c    0   2.57 210.92563 54.31527  7882.05   424.01 3.99 3.81  15.5 -0.446    19.77 21.86 02a57778o0674c  0x80000  20.792853
57782.565439 19.367717      NaN   20    15 c    0   2.06 210.92563 54.31527  8334.60  1393.65 3.86 3.75  84.1 -0.417    19.82 21.96 02a57782o0717c  0x80000  17.214608
57782.579866 19.454622      NaN   15    15 c    0   2.26 210.92563 54.31527  8356.54  1433.57 3.89 3.75 -88.6 -0.409    19.84 21.99 02a57782o0743c  0x80000  17.214608
57782.593858 19.115465      NaN   37    15 c    0   1.84 210.92563 54.31527  8300.24  1360.54 3.81 3.67  86.6 -0.414    19.88 22.03 02a57782o0769c  0x80000  17.214608
57782.607900 19.696897      NaN  -46    16 c    0   1.58 210.92563 54.31527  8277.27  1484.14 3.93 3.77  83.5 -0.405    19.81 21.96 02a57782o0795c  0x80000  18.092616
57782.621826 19.510313      NaN    9    16 c    0   1.68 210.92563 54.31527  8325.79  1426.01 3.86 3.71  85.6 -0.415    19.84 21.99 02a57782o0821c  0x80000  18.092616
57786.563706 19.696897      NaN  -51    16 c    0   2.07 210.92563 54.31527  9350.55  9914.59 3.91 3.50 -86.1 -0.426    19.80 21.89 02a57786o0507c   0x0000  18.092616
57786.566299 19.226921      NaN   14    20 c    0   1.63 210.92563 54.31527  8107.68   114.73 3.90 3.68  12.9 -0.447    19.82 21.92 02a57786o0512c   0x0000  21.710429
57786.576403 19.696897      NaN  -43    16 c    0   2.30 210.92563 54.31527  9361.72  9954.89 3.98 3.59 -88.6 -0.418    19.82 21.94 02a57786o0531c  0x80000  18.092616
57786.579012 19.302877      NaN  -22    23 c    0   1.81 210.92563 54.31527  8119.95   155.29 3.88 3.68  17.4 -0.448    19.85 21.96 02a57786o0536c   0x0000  24.501893
57786.589214 19.841877      NaN  -33    14 c    0   2.00 210.92563 54.31527  9303.55  9879.46 3.94 3.57 -90.0 -0.428    19.83 21.94 02a57786o0555c   0x0000  16.350619
57786.591848 19.197966      NaN   19    19 c    0   2.86 210.92563 54.31527  8064.23    79.60 3.91 3.71  15.6 -0.449    19.68 21.79 02a57786o0560c  0x80000  20.792853
