         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.102305      NaN   20    21 c    0   0.84 210.91067 54.30221  7750.82  2275.05 3.99 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c  0x80000  22.634989
57396.598947 19.384550      NaN    7    19 c    0   0.77 210.91067 54.30221  7464.39  1702.12 4.09 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.757738      NaN  -35    38 c    0   1.04 210.91067 54.30221  8278.17  2846.04 3.80 3.60  20.6 -0.418    19.60 21.56 02a57396o0650c  0x80000  38.927403
57396.627717 18.489118      NaN   17    43 c    0   0.88 210.91067 54.30221  8540.62  1084.86 4.32 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0x80000  43.821715
57424.598946 19.287255      NaN   16    18 c    0   1.09 210.91067 54.30221  8249.42  1600.98 4.31 3.76  10.3 -0.439    19.70 21.79 02a57424o0633c  0x80000  19.883228
57424.604067 19.436675      NaN   10    17 c    0   1.10 210.91067 54.30221  8513.45  2171.00 4.24 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c  0x80000  18.982696
57424.621336 19.631075      NaN   -1    17 c    0   0.84 210.91067 54.30221  7357.93  2788.54 4.01 3.71   9.9 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.014394      NaN   33    19 c    0   0.77 210.91067 54.30221  7280.86  2882.38 3.96 3.67  11.5 -0.417    19.70 21.79 02a57424o0685c   0x0000  20.792853
57448.521048 19.155932      NaN   13    22 c    0   1.07 210.91067 54.30221  7916.00  1791.86 3.99 3.65  15.1 -0.449    19.26 20.81 02a57448o0458c  0x80000  23.565711
57448.543577 19.351140      NaN  -23    22 c    0   1.03 210.91067 54.30221  8208.01  2372.12 3.93 3.73  23.4 -0.439    19.21 20.77 02a57448o0497c   0x0000  23.565711
57448.565924 19.183773      NaN    5    24 c    0   0.88 210.91067 54.30221  7067.05  2994.26 4.37 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0x80000  25.442931
57448.596475 18.867907      NaN   40    21 c    0   1.08 210.91067 54.30221  3361.05  7803.81 3.87 3.61 -70.3 -0.422    19.20 20.80 02a57448o0592c  0x80000  22.634989
57449.515332 19.256669      NaN   12    20 c    0   1.24 210.91067 54.30221  8152.77  1742.50 4.04 3.63  15.6 -0.461    19.45 21.19 02a57449o0610c  0x80000  21.710429
57449.538360 19.472870      NaN    5    18 c    0   1.09 210.91067 54.30221  8451.20  2320.30 3.82 3.59  30.9 -0.456    19.42 21.11 02a57449o0650c  0x80000  19.883228
57449.558557 19.183773      NaN   23    18 c    0   1.06 210.91067 54.30221  7310.49  2947.84 3.77 3.62  15.2 -0.427    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.384550      NaN    7    19 c    0   1.08 210.91067 54.30221  7292.35  2887.19 3.75 3.57  18.4 -0.439    19.39 21.06 02a57449o0709c   0x0000  20.792853
57458.509881 19.384550      NaN   10    18 c    0   0.91 210.91067 54.30221  8235.30  1595.05 4.31 3.77  15.4 -0.446    19.65 21.70 02a57458o0606c  0x80000  19.883228
57458.513259 19.454622      NaN  -19    20 c    0   0.75 210.91067 54.30221  8521.21  2163.76 4.20 3.90  24.0 -0.426    19.61 21.68 02a57458o0613c  0x80000  21.710429
57458.536888 19.115465      NaN   28    18 c    0   0.91 210.91067 54.30221  7394.00  2789.31 4.11 3.83   2.0 -0.402    19.60 21.68 02a57458o0653c  0x80000  19.883228
57458.567769 19.569016      NaN  -11    18 c    0   1.10 210.91067 54.30221  3357.36  7801.71 3.85 3.61 -72.9 -0.421    19.64 21.68 02a57458o0708c   0x0000  19.883228
57488.426551 19.436675      NaN    1    20 c    0   0.83 210.91067 54.30221  8367.68  1667.35 4.31 3.81  20.2 -0.477    19.60 21.59 02a57488o0373c  0x80000  21.710429
57488.444090 19.569016      NaN   -5    18 c    0   1.06 210.91067 54.30221  8655.12  2223.74 4.17 3.80  29.9 -0.460    19.60 21.61 02a57488o0405c  0x80000  19.883228
57488.465855 19.256669      NaN   15    19 c    0   0.96 210.91067 54.30221  7532.96  2870.58 4.05 3.72  15.7 -0.446    19.57 21.56 02a57488o0444c  0x80000  20.792853
57488.475297 19.696897      NaN   -7    16 c    0   1.35 210.91067 54.30221  3343.39  7793.38 3.98 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c  0x80000  18.092616
57512.362600 19.063754      NaN   26    20 c    0   0.99 210.91067 54.30221  9555.59  2734.04 4.66 4.15  38.6 -0.436    19.51 21.58 02a57512o0305c   0x0000  21.710429
57512.371077 19.155932      NaN   16    21 c    0   1.06 210.91067 54.30221  9578.49  2770.33 4.57 4.07  40.0 -0.440    19.53 21.60 02a57512o0322c   0x0000  22.634989
57512.373986 19.454622      NaN  -10    20 c    0   0.92 210.91067 54.30221   368.92  2657.56 5.06 3.82 -34.3 -0.412    19.58 21.60 02a57512o0328c  0x80000  21.710429
57512.383392 19.510313      NaN  -25    19 c    0   1.18 210.91067 54.30221   388.77  2694.72 5.10 3.92 -34.1 -0.413    19.54 21.60 02a57512o0347c   0x0000  20.792853
57512.386899 18.921935      NaN   44    18 c    0   1.20 210.91067 54.30221   985.05  7874.35 4.45 3.81 -58.3 -0.428    19.55 21.63 02a57512o0354c   0x0000  19.883228
57512.388945 19.197966      NaN   19    19 c    0   0.99 210.91067 54.30221   322.90  2618.27 5.15 3.88 -31.6 -0.403    19.57 21.61 02a57512o0358c  0x80000  20.792853
57512.397027 19.256669      NaN   21    17 c    0   1.45 210.91067 54.30221  1015.53  7755.13 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c  0x80000  18.982696
57512.407432 19.302877      NaN   12    19 c    0   0.87 210.91067 54.30221 10209.15  7820.86 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  20.792853
