sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
        25        19.68      48.56         2             NaN              NaN         9.267180              NaN              NaN              NaN              NaN              NaN
        25        19.68      48.56         5             NaN              NaN        46.855346              NaN              NaN              NaN              NaN              NaN
        25        19.68      48.56        20             NaN              NaN        99.003984              NaN              NaN              NaN              NaN              NaN
        25        19.68      48.56        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.68      48.56        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.68      48.56       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18         2             NaN              NaN        20.098751              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18         5             NaN              NaN        66.201280              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        19.32      68.18       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73         2             NaN              NaN        37.733142              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73         5             NaN              NaN        80.261248              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.95      95.73       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41         2             NaN              NaN        51.983782              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41         5             NaN              NaN        87.140865              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.58     134.41       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71         2             NaN              NaN        67.339772              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71         5             NaN              NaN        92.384009              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        18.21     188.71       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95         2             NaN              NaN        75.168161              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95         5             NaN              NaN        94.632439              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.84     264.95       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99         2             NaN              NaN        79.704488              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99         5             NaN              NaN        97.209855              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.47     371.99       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27         2             NaN              NaN        83.371169              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27         5             NaN              NaN        98.159162              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        17.11     522.27       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27         2             NaN              NaN        86.237738              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27         5             NaN              NaN        99.136250              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.74     733.27       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51         2             NaN              NaN        86.447520              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51         5             NaN              NaN        99.258203              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.37    1029.51       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44         2             NaN              NaN        88.154961              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44         5             NaN              NaN        99.564207              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44        20             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44        40             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44        80             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        25        16.00    1445.44       120             NaN              NaN       100.000000              NaN              NaN              NaN              NaN              NaN
        40        23.00       2.29         5             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        23.00       2.29        20             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        23.00       2.29        40             NaN              NaN              NaN         0.310438              NaN              NaN              NaN              NaN
        40        23.00       2.29        80             NaN              NaN              NaN         0.534147              NaN              NaN              NaN              NaN
        40        23.00       2.29       110             NaN              NaN              NaN         0.770119              NaN              NaN              NaN              NaN
        40        23.00       2.29       150             NaN              NaN              NaN         1.168048              NaN              NaN              NaN              NaN
        40        23.00       2.29       200             NaN              NaN              NaN         1.475728              NaN              NaN              NaN              NaN
        40        23.00       2.29       250             NaN              NaN              NaN         2.048050              NaN              NaN              NaN              NaN
        40        22.63       3.22         5             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        22.63       3.22        20             NaN              NaN              NaN         0.263455              NaN              NaN              NaN              NaN
        40        22.63       3.22        40             NaN              NaN              NaN         1.481481              NaN              NaN              NaN              NaN
        40        22.63       3.22        80             NaN              NaN              NaN         4.228661              NaN              NaN              NaN              NaN
        40        22.63       3.22       110             NaN              NaN              NaN         4.506196              NaN              NaN              NaN              NaN
        40        22.63       3.22       150             NaN              NaN              NaN         5.580866              NaN              NaN              NaN              NaN
        40        22.63       3.22       200             NaN              NaN              NaN         6.217031              NaN              NaN              NaN              NaN
        40        22.63       3.22       250             NaN              NaN              NaN         6.288344              NaN              NaN              NaN              NaN
        40        22.26       4.52         5             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        22.26       4.52        20             NaN              NaN              NaN         0.688600              NaN              NaN              NaN              NaN
        40        22.26       4.52        40             NaN              NaN              NaN         4.171322              NaN              NaN              NaN              NaN
        40        22.26       4.52        80             NaN              NaN              NaN        10.689115              NaN              NaN              NaN              NaN
        40        22.26       4.52       110             NaN              NaN              NaN        13.601180              NaN              NaN              NaN              NaN
        40        22.26       4.52       150             NaN              NaN              NaN        17.064439              NaN              NaN              NaN              NaN
        40        22.26       4.52       200             NaN              NaN              NaN        16.249051              NaN              NaN              NaN              NaN
        40        22.26       4.52       250             NaN              NaN              NaN        17.185741              NaN              NaN              NaN              NaN
        40        21.89       6.34         5             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        21.89       6.34        20             NaN              NaN              NaN         2.876020              NaN              NaN              NaN              NaN
        40        21.89       6.34        40             NaN              NaN              NaN        12.603461              NaN              NaN              NaN              NaN
        40        21.89       6.34        80             NaN              NaN              NaN        25.917431              NaN              NaN              NaN              NaN
        40        21.89       6.34       110             NaN              NaN              NaN        29.765625              NaN              NaN              NaN              NaN
        40        21.89       6.34       150             NaN              NaN              NaN        30.585602              NaN              NaN              NaN              NaN
        40        21.89       6.34       200             NaN              NaN              NaN        32.144273              NaN              NaN              NaN              NaN
        40        21.89       6.34       250             NaN              NaN              NaN        33.930024              NaN              NaN              NaN              NaN
        40        21.53       8.90         5             NaN              NaN              NaN         0.000000              NaN              NaN              NaN              NaN
        40        21.53       8.90        20             NaN              NaN              NaN         8.996937              NaN              NaN              NaN              NaN
        40        21.53       8.90        40             NaN              NaN              NaN        26.548016              NaN              NaN              NaN              NaN
        40        21.53       8.90        80             NaN              NaN              NaN        42.878449              NaN              NaN              NaN              NaN
        40        21.53       8.90       110             NaN              NaN              NaN        48.601812              NaN              NaN              NaN              NaN
        40        21.53       8.90       150             NaN              NaN              NaN        50.622407              NaN              NaN              NaN              NaN
        40        21.53       8.90       200             NaN              NaN              NaN        52.706334              NaN              NaN              NaN              NaN
        40        21.53       8.90       250             NaN              NaN              NaN        52.849336              NaN              NaN              NaN              NaN
        40        21.16      12.50         5             NaN              NaN              NaN         0.267278              NaN              NaN              NaN              NaN
        40        21.16      12.50        20             NaN              NaN              NaN        20.609177              NaN              NaN              NaN              NaN
        40        21.16      12.50        40             NaN              NaN              NaN        46.806883              NaN              NaN              NaN              NaN
        40        21.16      12.50        80             NaN              NaN              NaN        67.825415              NaN              NaN              NaN              NaN
        40        21.16      12.50       110             NaN              NaN              NaN        76.367113              NaN              NaN              NaN              NaN
        40        21.16      12.50       150             NaN              NaN              NaN        78.949387              NaN              NaN              NaN              NaN
        40        21.16      12.50       200             NaN              NaN              NaN        81.028699              NaN              NaN              NaN              NaN
        40        21.16      12.50       250             NaN              NaN              NaN        81.063252              NaN              NaN              NaN              NaN
        40        20.79      17.55         5             NaN              NaN              NaN         1.839530              NaN              NaN              NaN              NaN
        40        20.79      17.55        20             NaN              NaN              NaN        39.769674              NaN              NaN              NaN              NaN
        40        20.79      17.55        40             NaN              NaN              NaN        78.361905              NaN              NaN              NaN              NaN
        40        20.79      17.55        80             NaN              NaN              NaN        92.449862              NaN              NaN              NaN              NaN
        40        20.79      17.55       110             NaN              NaN              NaN        95.104364              NaN              NaN              NaN              NaN
        40        20.79      17.55       150             NaN              NaN              NaN        96.306069              NaN              NaN              NaN              NaN
        40        20.79      17.55       200             NaN              NaN              NaN        96.628352              NaN              NaN              NaN              NaN
        40        20.79      17.55       250             NaN              NaN              NaN        96.930473              NaN              NaN              NaN              NaN
        40        20.42      24.64         5             NaN              NaN              NaN         4.706340              NaN              NaN              NaN              NaN
        40        20.42      24.64        20             NaN              NaN              NaN        63.829787              NaN              NaN              NaN              NaN
        40        20.42      24.64        40             NaN              NaN              NaN        93.473282              NaN              NaN              NaN              NaN
        40        20.42      24.64        80             NaN              NaN              NaN        99.133517              NaN              NaN              NaN              NaN
        40        20.42      24.64       110             NaN              NaN              NaN        99.343122              NaN              NaN              NaN              NaN
        40        20.42      24.64       150             NaN              NaN              NaN        99.584121              NaN              NaN              NaN              NaN
        40        20.42      24.64       200             NaN              NaN              NaN        99.850243              NaN              NaN              NaN              NaN
        40        20.42      24.64       250             NaN              NaN              NaN        99.847212              NaN              NaN              NaN              NaN
        40        20.05      34.59         5             NaN              NaN              NaN        14.645486              NaN              NaN              NaN              NaN
        40        20.05      34.59        20             NaN              NaN              NaN        87.764525              NaN              NaN              NaN              NaN
        40        20.05      34.59        40             NaN              NaN              NaN        99.341085              NaN              NaN              NaN              NaN
        40        20.05      34.59        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        20.05      34.59       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        20.05      34.59       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        20.05      34.59       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        20.05      34.59       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56         5             NaN              NaN              NaN        27.482129              NaN              NaN              NaN              NaN
        40        19.68      48.56        20             NaN              NaN              NaN        95.802849              NaN              NaN              NaN              NaN
        40        19.68      48.56        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.68      48.56       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18         5             NaN              NaN              NaN        46.659201              NaN              NaN              NaN              NaN
        40        19.32      68.18        20             NaN              NaN              NaN        99.478001              NaN              NaN              NaN              NaN
        40        19.32      68.18        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        19.32      68.18       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73         5             NaN              NaN              NaN        64.828384              NaN              NaN              NaN              NaN
        40        18.95      95.73        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.95      95.73       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41         5             NaN              NaN              NaN        78.848325              NaN              NaN              NaN              NaN
        40        18.58     134.41        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.58     134.41       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71         5             NaN              NaN              NaN        86.972892              NaN              NaN              NaN              NaN
        40        18.21     188.71        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        18.21     188.71       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95         5             NaN              NaN              NaN        91.754592              NaN              NaN              NaN              NaN
        40        17.84     264.95        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.84     264.95       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99         5             NaN              NaN              NaN        95.248955              NaN              NaN              NaN              NaN
        40        17.47     371.99        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.47     371.99       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27         5             NaN              NaN              NaN        97.315436              NaN              NaN              NaN              NaN
        40        17.11     522.27        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        17.11     522.27       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27         5             NaN              NaN              NaN        98.461538              NaN              NaN              NaN              NaN
        40        16.74     733.27        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.74     733.27       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51         5             NaN              NaN              NaN        98.838516              NaN              NaN              NaN              NaN
        40        16.37    1029.51        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.37    1029.51       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44         5             NaN              NaN              NaN        99.139865              NaN              NaN              NaN              NaN
        40        16.00    1445.44        20             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44        40             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44        80             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44       110             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44       150             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44       200             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        40        16.00    1445.44       250             NaN              NaN              NaN       100.000000              NaN              NaN              NaN              NaN
        80        23.00       2.29         5             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29        20             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29        40             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29        80             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29       110             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29       150             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29       200             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        23.00       2.29       250             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.63       3.22         5             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.63       3.22        20             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.63       3.22        40             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.63       3.22        80             NaN              NaN              NaN              NaN         0.305227              NaN              NaN              NaN
        80        22.63       3.22       110             NaN              NaN              NaN              NaN         0.500192              NaN              NaN              NaN
        80        22.63       3.22       150             NaN              NaN              NaN              NaN         0.753296              NaN              NaN              NaN
        80        22.63       3.22       200             NaN              NaN              NaN              NaN         0.824279              NaN              NaN              NaN
        80        22.63       3.22       250             NaN              NaN              NaN              NaN         1.209520              NaN              NaN              NaN
        80        22.26       4.52         5             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.26       4.52        20             NaN              NaN              NaN              NaN         0.000000              NaN              NaN              NaN
        80        22.26       4.52        40             NaN              NaN              NaN              NaN         0.375657              NaN              NaN              NaN
        80        22.26       4.52        80             NaN              NaN              NaN              NaN         4.279866              NaN              NaN              NaN
        80        22.26       4.52       110             NaN              NaN              NaN              NaN         6.520091              NaN              NaN              NaN
        80        22.26       4.52       150             NaN              NaN              NaN              NaN         7.578065              NaN              NaN              NaN
        80        22.26       4.52       200             NaN              NaN              NaN              NaN         9.104704              NaN              NaN              NaN
        80        22.26       4.52       250             NaN              NaN              NaN              NaN         9.210034              NaN              NaN              NaN
