sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
         5        18.95      95.73         5       93.961834              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.95      95.73        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.95      95.73        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.95      95.73        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.95      95.73       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41         2       80.443828              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41         5       95.841698              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.58     134.41       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71         2       83.625899              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71         5       96.497722              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        18.21     188.71       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95         2       85.014327              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95         5       98.434269              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.84     264.95       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99         2       86.578561              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99         5       98.522307              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.47     371.99       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.11     522.27         2       88.694128              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.11     522.27         5       98.961339              NaN              NaN              NaN              NaN              NaN              NaN              NaN
