 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_7.65  pct_detec_14.32  pct_detec_16.31  pct_detec_18.35  pct_detec_18.95  pct_detec_26.65  pct_detec_36.67  pct_detec_47.32
          5        18.95      95.73          5       55.140962              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         20       83.122677              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         40       94.573643              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         80       99.032018              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73        120       99.526814              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41          2       45.371775              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41          5       64.764842              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         20       99.070488              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71          2       54.209284              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71          5       74.581431              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95          2       57.373272              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95          5       79.726651              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99          2       64.159632              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99          5       82.437547              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27          2       65.169425              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27          5       85.491420              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27          2       65.730337              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27          5       90.062598              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51          2       69.734789              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51          5       90.213102              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44          2       72.440339              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44          5       93.026706              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44        120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29          2             NaN         1.579779              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29          5             NaN         1.522070              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         20             NaN         4.924242              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         40             NaN         7.288401              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         80             NaN         9.105824              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29        120             NaN        11.204268              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22          2             NaN         0.978916              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22          5             NaN         2.522936              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         20             NaN         3.685897              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         40             NaN         6.568779              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         80             NaN        10.546875              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22        120             NaN        11.170620              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52          2             NaN         0.606520              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52          5             NaN         1.850481              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         20             NaN         4.150653              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         40             NaN         6.279435              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         80             NaN        11.296437              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52        120             NaN        13.250366              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34          2             NaN         1.086957              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34          5             NaN         2.029664              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         20             NaN         6.082148              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         40             NaN         8.591885              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         80             NaN        14.893617              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34        120             NaN        15.550595              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90          2             NaN         1.684533              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90          5             NaN         1.854714              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         20             NaN         7.803030              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         40             NaN        16.255778              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         80             NaN        17.629630              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90        120             NaN        23.738170              NaN              NaN              NaN              NaN              NaN              NaN
