 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         40         23.0   2.290868  60245.5      80.0   8.469027     60165.5
         40         23.0   2.290868  59801.5     110.0   6.554922     59691.5
         40         23.0   2.290868  57436.5     250.0   3.233208     57621.5
         40         23.0   2.290868  58832.5     250.0  18.127542     59014.5
         40         23.0   2.290868  58336.5      80.0   8.824465     58342.5
         40         23.0   2.290868  57659.5     200.0   9.524168     57840.5
         40         23.0   2.290868  58131.5     200.0  13.206994     58249.5
         40         23.0   2.290868  58924.5       5.0   8.537573     58919.5
         40         23.0   2.290868  57352.5      80.0  -0.285195     57276.5
         40         23.0   2.290868  58614.5     250.0  24.281128     58602.5
         40         23.0   2.290868  57891.5     150.0  -1.123711     58041.5
         40         23.0   2.290868  59073.5     110.0   -0.09342     59183.5
         40         23.0   2.290868  58894.5      40.0  11.414859     58934.5
         40         23.0   2.290868  58099.5     200.0  -0.202659     58176.5
         40         23.0   2.290868  59343.5     250.0  -1.130498     59509.5
         40         23.0   2.290868  60292.5      20.0    1.30059     60291.5
         40         23.0   2.290868  57673.5      40.0     1.8973     57633.5
         40         23.0   2.290868  59990.5      80.0   1.812494     60070.5
         40         23.0   2.290868  57685.5       5.0   0.035843     57690.5
         40         23.0   2.290868  59754.5       5.0  -8.234162     59758.5
         40         23.0   2.290868  59276.5       5.0 -12.314693     59271.5
         40         23.0   2.290868  58425.5      20.0    -3.5652     58445.5
         40         23.0   2.290868  60262.5     200.0   2.571271     60294.5
         40         23.0   2.290868  58049.5      20.0   2.278854     58029.5
         40         23.0   2.290868  57624.5      20.0  -0.551619     57644.5
         40         23.0   2.290868  57981.5     150.0  19.593229     57946.5
         40         23.0   2.290868  57902.5      20.0 -31.656546     57922.5
         40         23.0   2.290868  59671.5      20.0   6.067838     59651.5
         40         23.0   2.290868  57764.5      80.0   4.792553     57809.5
         40         23.0   2.290868  58439.5     200.0   -3.44279     58424.5
         40         23.0   2.290868  60074.5     150.0  10.387915     60047.5
         40         23.0   2.290868  58354.5     110.0   8.906465     58349.5
         40         23.0   2.290868  58221.5     110.0   2.135707     58311.5
         40         23.0   2.290868  57589.5      20.0    2.27214     57609.5
         40         23.0   2.290868  58763.5      40.0  -1.505178     58758.5
         40         23.0   2.290868  57936.5      80.0   3.354687     57985.5
         40         23.0   2.290868  57788.5       5.0   8.190185     57793.5
         40         23.0   2.290868  58715.5     110.0   2.151248     58762.5
         40         23.0   2.290868  58411.5     110.0  -2.810507     58449.5
         40         23.0   2.290868  58798.5      80.0  10.210742     58844.5
         40         23.0   2.290868  57925.5      20.0 -22.872339     57945.5
         40         23.0   2.290868  60151.5     250.0   4.683076     60080.5
         40         23.0   2.290868  57543.5      40.0   2.860144     57503.5
         40         23.0   2.290868  58098.5      20.0  -1.188127     58078.5
         40         23.0   2.290868  59177.5      20.0  -2.508761     59157.5
         40         23.0   2.290868  59526.5      80.0   0.541206     59585.5
         40         23.0   2.290868  60124.5      40.0   -2.63298     60164.5
         40         23.0   2.290868  57305.5      80.0   0.838294     57385.5
         40         23.0   2.290868  59631.5     150.0  16.399606     59630.5
         40         23.0   2.290868  57392.5      40.0  -2.224987     57352.5
         40         23.0   2.290868  58563.5      40.0  13.601072     58560.5
         40         23.0   2.290868  59774.5     110.0  14.286742     59725.5
         40         23.0   2.290868  59384.5     150.0  23.624168     59382.5
         40         23.0   2.290868  59592.5     110.0   4.250562     59702.5
         40         23.0   2.290868  59016.5       5.0  19.092665     59014.5
         40         23.0   2.290868  57834.5     110.0  -1.979312     57724.5
         40         23.0   2.290868  57682.5     110.0   7.812174     57792.5
         40         23.0   2.290868  58284.5       5.0   5.280941     58279.5
         40         23.0   2.290868  58792.5       5.0  -0.761829     58787.5
         40         23.0   2.290868  58954.5     110.0  25.675265     59010.5
         40         23.0   2.290868  58003.5      80.0  29.162735     57938.5
         40         23.0   2.290868  57378.5     250.0    0.02711     57295.5
         40         23.0   2.290868  57391.5     250.0   3.119021     57426.5
         40         23.0   2.290868  60171.5       5.0   7.193387     60166.5
         40         23.0   2.290868  59848.5     150.0   10.24496     59760.5
         40         23.0   2.290868  57978.5      80.0  10.107236     57970.5
         40         23.0   2.290868  58540.5     200.0  -1.839393     58740.5
         40         23.0   2.290868  59157.5     250.0  12.310153     59310.5
         40         23.0   2.290868  57486.5      40.0   3.328129     57486.5
         40         23.0   2.290868  58868.5       5.0  -3.401002     58873.5
         40         23.0   2.290868  58764.5       5.0  -3.827859     58769.5
         40         23.0   2.290868  59045.5      20.0  -6.772582     59025.5
         40         23.0   2.290868  58487.5      80.0  18.665937     58567.5
         40         23.0   2.290868  58029.5      40.0   -0.48632     58069.5
         40         23.0   2.290868  58731.5       5.0   -4.91735     58736.5
         40         23.0   2.290868  57546.5       5.0   4.946185     57551.5
         40         23.0   2.290868  58495.5      40.0   2.378386     58473.5
         40         23.0   2.290868  58552.5      20.0  18.817407     58572.5
         40         23.0   2.290868  60172.5     250.0    3.55344     60055.5
         40         23.0   2.290868  57869.5     250.0  16.993157     57944.5
         40         23.0   2.290868  59457.5      20.0   -0.02193     59477.5
         40         23.0   2.290868  57724.5     250.0  11.010215     57960.5
         40         23.0   2.290868  58044.5     150.0   2.184676     57999.5
         40         23.0   2.290868  59082.5      20.0   4.183621     59062.5
         40         23.0   2.290868  59579.5       5.0  11.658178     59584.5
         40         23.0   2.290868  59368.5      20.0   3.988207     59348.5
         40         23.0   2.290868  57824.5      20.0   6.505975     57804.5
         40         23.0   2.290868  59598.5     150.0  16.142765     59628.5
         40         23.0   2.290868  58986.5     200.0    4.58198     58834.5
         40         23.0   2.290868  58028.5     150.0  -0.442562     58050.5
         40         23.0   2.290868  59372.5      80.0  -4.725719     59348.5
         40         23.0   2.290868  58566.5       5.0  -1.821908     58561.5
         40         23.0   2.290868  59583.5       5.0  -7.476159     59578.5
         40         23.0   2.290868  59442.5     250.0  15.260446     59386.5
         40         23.0   2.290868  60153.5      80.0   4.475159     60103.5
         40         23.0   2.290868  58753.5      20.0   1.660529     58773.5
         40         23.0   2.290868  57822.5      40.0   5.411169     57817.5
         40         23.0   2.290868  59526.5      40.0  -1.102077     59498.5
         40         23.0   2.290868  58607.5      80.0  17.572046     58548.5
         40         23.0   2.290868  58341.5      20.0   0.831489     58361.5
         40         23.0   2.290868  58063.5     250.0  12.947427     57962.5
         40         23.0   2.290868  58242.5      40.0   2.141772     58241.5
         40         23.0   2.290868  58742.5     110.0  15.134541     58670.5
         40         23.0   2.290868  59227.5      40.0  12.361756     59265.5
         40         23.0   2.290868  57269.5      20.0  -0.284736     57266.5
         40         23.0   2.290868  58636.5      20.0  -4.636669     58639.5
         40         23.0   2.290868  59165.5      40.0   1.659837     59205.5
         40         23.0   2.290868  59360.5      80.0   2.903979     59433.5
         40         23.0   2.290868  59527.5       5.0   2.061312     59532.5
         40         23.0   2.290868  58083.5      80.0  10.717917     58163.5
         40         23.0   2.290868  58705.5      40.0  -0.954262     58745.5
         40         23.0   2.290868  59761.5     110.0  12.972755     59785.5
         40         23.0   2.290868  59844.5       5.0   0.964706     59839.5
         40         23.0   2.290868  57537.5      80.0    -3.7301     57617.5
         40         23.0   2.290868  58264.5      20.0  12.447343     58247.5
         40         23.0   2.290868  59781.5     250.0  15.750292     59755.5
         40         23.0   2.290868  58524.5      80.0   0.422569     58493.5
         40         23.0   2.290868  57887.5      80.0  31.746519     57926.5
         40         23.0   2.290868  59844.5     150.0  10.417613     59760.5
         40         23.0   2.290868  59140.5     250.0  11.891508     59018.5
         40         23.0   2.290868  59918.5     150.0  10.371303     59768.5
         40         23.0   2.290868  57470.5     150.0  -0.157011     57320.5
         40         23.0   2.290868  59177.5       5.0   1.648865     59182.5
         40         23.0   2.290868  60101.5      40.0  -5.053169     60141.5
         40         23.0   2.290868  57520.5     150.0   4.432584     57418.5
         40         23.0   2.290868  57742.5      20.0  -0.576456     57722.5
         40         23.0   2.290868  59000.5      80.0   0.684077     58970.5
         40         23.0   2.290868  57609.5      40.0    1.00562     57630.5
         40         23.0   2.290868  59147.5     150.0   2.235527     59297.5
         40         23.0   2.290868  59449.5     200.0  -0.269785     59524.5
         40         23.0   2.290868  58127.5       5.0   2.847369     58132.5
         40         23.0   2.290868  57815.5      20.0  15.520895     57835.5
         40         23.0   2.290868  57684.5      80.0  11.754614     57764.5
         40         23.0   2.290868  59074.5       5.0   6.633115     59069.5
         40         23.0   2.290868  58571.5      20.0   15.07405     58591.5
         40         23.0   2.290868  57849.5       5.0   0.791248     57844.5
         40         23.0   2.290868  59373.5     110.0   9.839404     59318.5
         40         23.0   2.290868  60168.5     200.0   11.47296     60073.5
