 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
        130         23.0   2.290868  58624.5     300.0   9.492181     58644.5
        130         23.0   2.290868  57763.5      40.0  33.315136     57803.5
        130         23.0   2.290868  59901.5     300.0   0.307497     60201.5
        130         23.0   2.290868  59060.5     200.0  -7.526142     59260.5
        130         23.0   2.290868  59920.5     150.0 -16.911099     59930.5
        130         23.0   2.290868  60186.5     200.0  18.794563     60117.5
        130         23.0   2.290868  58137.5     150.0  -3.039545     57987.5
        130         23.0   2.290868  58642.5      80.0  40.316311     58593.5
        130         23.0   2.290868  60282.5     150.0  12.406635     60132.5
        130         23.0   2.290868  59226.5      40.0  -5.891632     59266.5
        130         23.0   2.290868  57876.5     110.0  28.365661     57883.5
        130         23.0   2.290868  58386.5      80.0  21.971366     58466.5
        130         23.0   2.290868  59678.5     150.0 -17.055284     59828.5
        130         23.0   2.290868  60076.5      20.0  -5.657998     60096.5
        130         23.0   2.290868  60173.5      20.0  -0.968468     60193.5
        130         23.0   2.290868  57889.5     300.0  25.133132     57825.5
        130         23.0   2.290868  57746.5     200.0    4.01984     57714.5
        130         23.0   2.290868  59360.5     250.0 -21.304651     59321.5
        130         23.0   2.290868  57688.5     250.0  -0.369383     57438.5
        130         23.0   2.290868  57679.5      20.0 -22.609396     57659.5
        130         23.0   2.290868  57938.5     110.0  11.897199     58048.5
        130         23.0   2.290868  57291.5     200.0  -2.332046     57491.5
        130         23.0   2.290868  59996.5     150.0   3.204587     60128.5
        130         23.0   2.290868  58905.5      40.0   6.017627     58865.5
        130         23.0   2.290868  58644.5     150.0   3.014271     58634.5
        130         23.0   2.290868  57594.5      80.0   2.439847     57653.5
        130         23.0   2.290868  58840.5      20.0  22.084713     58860.5
        130         23.0   2.290868  57787.5     250.0   5.445386     57735.5
        130         23.0   2.290868  59035.5     110.0  -7.485023     59131.5
        130         23.0   2.290868  58668.5     110.0  34.270087     58600.5
        130         23.0   2.290868  60086.5      20.0   1.488682     60106.5
        130         23.0   2.290868  60219.5     150.0   6.105464     60254.5
        130         23.0   2.290868  57661.5     150.0   2.215074     57661.5
        130         23.0   2.290868  58016.5     300.0  -5.134857     58316.5
        130         23.0   2.290868  59212.5     150.0 -21.370038     59095.5
        130         23.0   2.290868  59019.5      80.0   -7.79949     59080.5
        130         23.0   2.290868  58117.5     110.0   4.991159     58227.5
        130         23.0   2.290868  58991.5     150.0  -5.739298     58975.5
        130         23.0   2.290868  60200.5     150.0   4.249315     60187.5
        130         23.0   2.290868  58560.5      80.0  29.390683     58480.5
        130         23.0   2.290868  59968.5      20.0    1.37461     59948.5
