 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         40        22.26   4.528976  57862.5      80.0  22.364209     57922.5
         40        22.26   4.528976  57597.5      20.0  -1.051281     57617.5
         40        22.26   4.528976  57697.5     250.0  10.554841     57947.5
         40        22.26   4.528976  60049.5     200.0  19.721197     60110.5
         40        22.26   4.528976  59913.5      20.0  -1.056026     59893.5
         40        22.26   4.528976  58380.5     110.0   7.033955     58375.5
         40        22.26   4.528976  58227.5     200.0   7.156975     58302.5
         40        22.26   4.528976  59876.5     250.0  12.865385     60118.5
         40        22.26   4.528976  57581.5      40.0   2.565894     57613.5
         40        22.26   4.528976  57367.5       5.0   1.565704     57372.5
         40        22.26   4.528976  57803.5     150.0   1.071016     57739.5
         40        22.26   4.528976  57530.5     250.0   8.559253     57597.5
         40        22.26   4.528976  57977.5      20.0  27.950748     57957.5
         40        22.26   4.528976  57937.5     110.0  19.441174     57827.5
         40        22.26   4.528976  58318.5      40.0  18.269635     58320.5
         40        22.26   4.528976  60218.5      80.0   4.549428     60180.5
         40        22.26   4.528976  57385.5      20.0  -1.846208     57365.5
         40        22.26   4.528976  59395.5      40.0   8.211827     59388.5
         40        22.26   4.528976  60166.5      80.0  12.868151     60086.5
         40        22.26   4.528976  60033.5       5.0   7.993859     60034.5
         40        22.26   4.528976  57369.5     110.0   -0.16353     57289.5
         40        22.26   4.528976  57577.5       5.0   6.655896     57582.5
         40        22.26   4.528976  57810.5      40.0   8.333087     57817.5
         40        22.26   4.528976  58581.5      20.0   8.309327     58570.5
         40        22.26   4.528976  58516.5     150.0  25.330569     58545.5
         40        22.26   4.528976  58638.5      20.0  -1.362901     58639.5
         40        22.26   4.528976  59240.5      80.0  17.208737     59317.5
         40        22.26   4.528976  59175.5       5.0   1.576087     59180.5
         40        22.26   4.528976  58395.5       5.0  10.803885     58390.5
         40        22.26   4.528976  58780.5     200.0   0.030541     58751.5
         40        22.26   4.528976  59658.5     250.0  16.331339     59693.5
         40        22.26   4.528976  58654.5     110.0  24.752986     58610.5
         40        22.26   4.528976  57704.5     110.0  -0.768441     57683.5
         40        22.26   4.528976  59321.5      40.0  14.135964     59315.5
         40        22.26   4.528976  59534.5     200.0  -0.953822     59508.5
         40        22.26   4.528976  57658.5      80.0   8.088933     57600.5
         40        22.26   4.528976  58016.5     200.0   34.11969     57941.5
         40        22.26   4.528976  57416.5     250.0   3.207832     57622.5
         40        22.26   4.528976  58605.5     200.0   -1.36798     58775.5
         40        22.26   4.528976  57918.5      20.0   3.184215     57898.5
         40        22.26   4.528976  59328.5     250.0  11.773275     59373.5
         40        22.26   4.528976  60033.5     200.0  18.496201     60097.5
         40        22.26   4.528976  59775.5     110.0   3.399479     59794.5
         40        22.26   4.528976  58387.5     110.0   22.37839     58352.5
         40        22.26   4.528976  60062.5      40.0   -3.11828     60022.5
         40        22.26   4.528976  59828.5     110.0  -0.311626     59894.5
         40        22.26   4.528976  57716.5     250.0   4.111394     57966.5
         40        22.26   4.528976  57604.5     250.0   3.114744     57613.5
         40        22.26   4.528976  57683.5     150.0  -0.651135     57685.5
         40        22.26   4.528976  58028.5      40.0  11.116685     57988.5
         40        22.26   4.528976  57590.5      20.0    7.40443     57590.5
         40        22.26   4.528976  59573.5     110.0   3.175635     59619.5
         40        22.26   4.528976  59411.5      40.0  14.635822     59411.5
         40        22.26   4.528976  60260.5     110.0   2.144035     60277.5
         40        22.26   4.528976  59045.5       5.0  -8.638209     59050.5
         40        22.26   4.528976  57456.5     200.0   0.186898     57642.5
         40        22.26   4.528976  58897.5     200.0   9.315258     58980.5
         40        22.26   4.528976  58295.5     200.0  24.766136     58276.5
         40        22.26   4.528976  57241.5     110.0   0.112597     57233.5
         40        22.26   4.528976  59912.5      40.0  -1.496773     59894.5
         40        22.26   4.528976  59209.5      40.0   2.179087     59197.5
