 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         80        21.89   6.367955  57845.5      80.0  -8.712361     57765.5
         80        21.89   6.367955  57848.5     250.0   61.04771     57897.5
         80        21.89   6.367955  58461.5      80.0   6.871469     58504.5
         80        21.89   6.367955  58958.5     110.0  13.511429     58854.5
         80        21.89   6.367955  59055.5     200.0   2.537444     58855.5
         80        21.89   6.367955  58644.5     200.0  27.168377     58642.5
         80        21.89   6.367955  57294.5       5.0  -1.490421     57289.5
         80        21.89   6.367955  57309.5     150.0  -0.812426     57233.5
         80        21.89   6.367955  59102.5      40.0  -0.415248     59107.5
         80        21.89   6.367955  58289.5       5.0   25.05837     58294.5
         80        21.89   6.367955  58966.5     200.0  53.190618     58977.5
         80        21.89   6.367955  58269.5      80.0  18.010955     58274.5
         80        21.89   6.367955  57657.5      20.0   3.615353     57677.5
         80        21.89   6.367955  57895.5      40.0  14.791641     57855.5
         80        21.89   6.367955  58081.5      40.0  -7.268786     58109.5
         80        21.89   6.367955  60188.5       5.0    2.46088     60183.5
         80        21.89   6.367955  57642.5       5.0   6.921395     57637.5
         80        21.89   6.367955  58301.5     250.0  44.415522     58269.5
         80        21.89   6.367955  58922.5      80.0  36.296252     58925.5
         80        21.89   6.367955  60228.5      40.0   2.548508     60208.5
         80        21.89   6.367955  58463.5       5.0   12.01508     58468.5
         80        21.89   6.367955  58400.5     110.0   23.05313     58349.5
         80        21.89   6.367955  59506.5     200.0  -8.489927     59493.5
         80        21.89   6.367955  57264.5      20.0   1.702533     57284.5
         80        21.89   6.367955  57939.5      20.0  29.721061     57924.5
         80        21.89   6.367955  58937.5     250.0  20.965864     58940.5
         80        21.89   6.367955  58962.5     150.0  47.565739     58979.5
         80        21.89   6.367955  58573.5     200.0  50.755002     58585.5
         80        21.89   6.367955  57459.5      20.0   3.221353     57439.5
         80        21.89   6.367955  59228.5      40.0  -2.826262     59200.5
         80        21.89   6.367955  57478.5      80.0  -4.110702     57398.5
         80        21.89   6.367955  59738.5     250.0  15.564635     59748.5
         80        21.89   6.367955  58493.5     250.0   7.487881     58527.5
         80        21.89   6.367955  57790.5     250.0  33.278615     57843.5
         80        21.89   6.367955  59680.5     250.0  45.383785     59672.5
         80        21.89   6.367955  60236.5     250.0   4.689195     60271.5
         80        21.89   6.367955  57234.5     200.0  -0.960249     57233.5
         80        21.89   6.367955  57419.5     110.0  -0.444195     57309.5
         80        21.89   6.367955  59679.5       5.0   7.219269     59674.5
         80        21.89   6.367955  59709.5      80.0  38.182665     59705.5
         80        21.89   6.367955  57480.5       5.0   1.156407     57475.5
         80        21.89   6.367955  60036.5     110.0   8.077032     60058.5
         80        21.89   6.367955  60072.5      40.0   4.851972     60046.5
         80        21.89   6.367955  58877.5     250.0  17.929687     58627.5
         80        21.89   6.367955  59012.5      20.0   4.393958     59032.5
         80        21.89   6.367955  58955.5     110.0  44.833114     58973.5
         80        21.89   6.367955  60128.5      40.0   8.906813     60119.5
         80        21.89   6.367955  59835.5      80.0  28.529579     59755.5
         80        21.89   6.367955  60266.5      80.0   2.423214     60294.5
         80        21.89   6.367955  59520.5     150.0  10.464801     59393.5
         80        21.89   6.367955  59799.5     250.0  33.373929     59710.5
         80        21.89   6.367955  58743.5     200.0  13.725898     58710.5
         80        21.89   6.367955  58326.5      80.0  38.474859     58279.5
         80        21.89   6.367955  58403.5     150.0   7.258834     58388.5
         80        21.89   6.367955  59859.5     110.0  14.467156     59783.5
         80        21.89   6.367955  58616.5      40.0     13.023     58634.5
         80        21.89   6.367955  59469.5     150.0  -4.047659     59449.5
         80        21.89   6.367955  60044.5     110.0  14.351852     60097.5
         80        21.89   6.367955  57479.5     200.0   1.079934     57603.5
         80        21.89   6.367955  59751.5      40.0    -3.9856     59791.5
         80        21.89   6.367955  59724.5      40.0  -1.668396     59753.5
         80        21.89   6.367955  59709.5      80.0  26.641928     59732.5
         80        21.89   6.367955  59853.5     150.0   2.910395     59833.5
         80        21.89   6.367955  57661.5     250.0  11.845897     57911.5
         80        21.89   6.367955  57943.5     150.0  63.805725     57918.5
         80        21.89   6.367955  58163.5       5.0 -10.042226     58158.5
         80        21.89   6.367955  58772.5     150.0  10.945485     58922.5
         80        21.89   6.367955  58645.5     150.0  22.268404     58605.5
         80        21.89   6.367955  57883.5      80.0  41.534202     57886.5
         80        21.89   6.367955  60088.5      20.0  -9.609631     60108.5
         80        21.89   6.367955  58773.5      20.0   6.560206     58793.5
         80        21.89   6.367955  57715.5      80.0  -6.870168     57660.5
         80        21.89   6.367955  58514.5     110.0  46.541997     58573.5
         80        21.89   6.367955  57947.5     200.0    41.0442     57909.5
         80        21.89   6.367955  58494.5      80.0  -6.647932     58510.5
         80        21.89   6.367955  59740.5      40.0  23.499208     59756.5
         80        21.89   6.367955  59897.5     250.0  14.598308     60098.5
         80        21.89   6.367955  57694.5     200.0  34.108661     57894.5
         80        21.89   6.367955  57721.5       5.0 -15.714529     57716.5
         80        21.89   6.367955  59043.5     150.0  11.692662     59030.5
         80        21.89   6.367955  57468.5       5.0   7.070353     57473.5
         80        21.89   6.367955  58211.5     150.0  15.889928     58253.5
         80        21.89   6.367955  59220.5      40.0  -6.788144     59180.5
         80        21.89   6.367955  59162.5      20.0 -11.827407     59143.5
         80        21.89   6.367955  58692.5     200.0  11.164807     58682.5
         80        21.89   6.367955  58764.5     150.0  -0.486949     58763.5
         80        21.89   6.367955  59257.5     200.0  41.015281     59318.5
         80        21.89   6.367955  58173.5     110.0    8.02294     58220.5
         80        21.89   6.367955  57887.5       5.0   8.945358     57882.5
         80        21.89   6.367955  59109.5     150.0  24.908584     59007.5
         80        21.89   6.367955  59668.5      20.0  -6.915145     59673.5
         80        21.89   6.367955  58959.5      20.0  -4.293392     58941.5
         80        21.89   6.367955  58097.5     250.0  -1.750174     58141.5
         80        21.89   6.367955  58157.5      80.0  -1.315341     58077.5
         80        21.89   6.367955  57960.5     150.0  22.364624     57919.5
         80        21.89   6.367955  57558.5      20.0  10.332143     57563.5
         80        21.89   6.367955  59467.5      40.0   5.427901     59437.5
         80        21.89   6.367955  57259.5      80.0  -3.076046     57233.5
         80        21.89   6.367955  57893.5      40.0   7.360192     57933.5
         80        21.89   6.367955  59912.5     250.0   2.630464     60000.5
         80        21.89   6.367955  58570.5     110.0  -4.008768     58542.5
         80        21.89   6.367955  59561.5      40.0   6.997216     59601.5
         80        21.89   6.367955  57410.5     250.0   6.195023     57388.5
         80        21.89   6.367955  60271.5      20.0   5.348092     60281.5
         80        21.89   6.367955  57792.5      40.0  26.574708     57831.5
         80        21.89   6.367955  59584.5     250.0  18.137158     59673.5
         80        21.89   6.367955  59022.5     150.0  21.144202     59023.5
         80        21.89   6.367955  58683.5       5.0  13.474308     58678.5
         80        21.89   6.367955  59194.5      80.0  11.600511     59114.5
         80        21.89   6.367955  59566.5       5.0 -14.547656     59561.5
         80        21.89   6.367955  58646.5     200.0   27.70031     58631.5
         80        21.89   6.367955  59329.5     110.0  53.445979     59349.5
         80        21.89   6.367955  59437.5     250.0  30.118346     59391.5
