 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         80         23.0   2.290868  59827.5     200.0    8.72739     59732.5
         80         23.0   2.290868  60040.5     110.0   4.430532     60012.5
         80         23.0   2.290868  57692.5      40.0   3.603098     57732.5
         80         23.0   2.290868  57612.5       5.0   2.038744     57617.5
         80         23.0   2.290868  58738.5     250.0  15.296336     58901.5
         80         23.0   2.290868  58753.5     200.0  22.624388     58586.5
         80         23.0   2.290868  57719.5     200.0  18.402687     57791.5
         80         23.0   2.290868  59663.5     250.0  23.476472     59676.5
         80         23.0   2.290868  58156.5      20.0  -7.093514     58136.5
         80         23.0   2.290868  59930.5     110.0   7.325371     59820.5
         80         23.0   2.290868  60106.5     200.0  14.261227     60058.5
         80         23.0   2.290868  58760.5     150.0   9.323401     58910.5
         80         23.0   2.290868  58521.5     150.0  29.551824     58571.5
         80         23.0   2.290868  59025.5      80.0  -11.43891     59105.5
         80         23.0   2.290868  60069.5     110.0   -7.41758     59959.5
         80         23.0   2.290868  59725.5     150.0  15.075096     59689.5
         80         23.0   2.290868  59568.5     110.0  17.847175     59646.5
         80         23.0   2.290868  58586.5       5.0  -5.259152     58581.5
         80         23.0   2.290868  59902.5      20.0   1.821689     59882.5
         80         23.0   2.290868  58745.5       5.0   -7.82836     58750.5
         80         23.0   2.290868  59376.5     150.0   15.15677     59369.5
         80         23.0   2.290868  60190.5       5.0     2.0505     60185.5
         80         23.0   2.290868  57312.5     250.0  -0.986122     57233.5
         80         23.0   2.290868  57448.5     250.0   7.908683     57698.5
         80         23.0   2.290868  58290.5      40.0  25.466246     58250.5
         80         23.0   2.290868  57637.5      20.0   1.212756     57657.5
         80         23.0   2.290868  59320.5     200.0     8.2798     59402.5
         80         23.0   2.290868  59851.5     250.0  11.575406     59780.5
         80         23.0   2.290868  57908.5     110.0  23.840776     57933.5
         80         23.0   2.290868  57437.5      80.0   5.532264     57411.5
         80         23.0   2.290868  59998.5       5.0  -3.109354     60003.5
         80         23.0   2.290868  58768.5      80.0  -0.068723     58727.5
         80         23.0   2.290868  59625.5      20.0 -14.097909     59605.5
         80         23.0   2.290868  57397.5      80.0   5.424667     57408.5
         80         23.0   2.290868  60020.5     200.0   7.067482     59820.5
         80         23.0   2.290868  59270.5      40.0   6.705278     59275.5
         80         23.0   2.290868  59862.5      20.0  -8.481345     59882.5
         80         23.0   2.290868  58221.5       5.0   3.666423     58226.5
         80         23.0   2.290868  58041.5      40.0  -4.534048     58052.5
         80         23.0   2.290868  59008.5     150.0   -4.09537     58980.5
         80         23.0   2.290868  57307.5      20.0   2.125036     57327.5
         80         23.0   2.290868  60070.5     200.0   6.139423     59870.5
         80         23.0   2.290868  57530.5     150.0   2.913049     57380.5
         80         23.0   2.290868  57733.5     110.0  20.851903     57843.5
         80         23.0   2.290868  60002.5     200.0   6.166432     60122.5
         80         23.0   2.290868  59261.5      40.0   6.446993     59275.5
         80         23.0   2.290868  60071.5     200.0   6.029388     59871.5
         80         23.0   2.290868  58660.5      20.0 -23.031067     58680.5
         80         23.0   2.290868  59405.5      40.0  19.826447     59365.5
         80         23.0   2.290868  59614.5      40.0  12.405739     59626.5
         80         23.0   2.290868  57500.5     150.0   3.917055     57613.5
         80         23.0   2.290868  57461.5      80.0   4.169355     57411.5
         80         23.0   2.290868  58524.5      40.0   2.633988     58506.5
         80         23.0   2.290868  59219.5     110.0    9.82911     59329.5
         80         23.0   2.290868  58976.5      40.0  -7.233311     58944.5
         80         23.0   2.290868  58506.5      20.0  -8.207137     58486.5
         80         23.0   2.290868  59224.5     250.0  10.533928     59350.5
         80         23.0   2.290868  58768.5     250.0  18.382566     58956.5
         80         23.0   2.290868  59248.5     150.0  26.217372     59337.5
         80         23.0   2.290868  59789.5     110.0  -6.451347     59881.5
         80         23.0   2.290868  58000.5      40.0   16.36768     57960.5
         80         23.0   2.290868  59447.5     150.0  23.557178     59355.5
         80         23.0   2.290868  57727.5     150.0  -7.292776     57651.5
         80         23.0   2.290868  58730.5     150.0   5.029533     58880.5
         80         23.0   2.290868  58949.5     200.0   7.039939     58802.5
         80         23.0   2.290868  59549.5     110.0  26.045642     59639.5
         80         23.0   2.290868  59449.5     110.0  23.054665     59355.5
         80         23.0   2.290868  57787.5     200.0  15.692089     57927.5
         80         23.0   2.290868  59127.5     110.0  18.366348     59017.5
         80         23.0   2.290868  59420.5      40.0  27.029983     59380.5
         80         23.0   2.290868  58699.5      80.0  24.282428     58626.5
         80         23.0   2.290868  57958.5     200.0   20.05918     57809.5
         80         23.0   2.290868  57397.5      20.0   4.748259     57417.5
         80         23.0   2.290868  58791.5     150.0  17.718201     58893.5
         80         23.0   2.290868  59307.5      40.0  -6.658011     59347.5
         80         23.0   2.290868  59421.5      20.0 -16.107193     59441.5
         80         23.0   2.290868  59708.5     110.0  15.585144     59680.5
         80         23.0   2.290868  58134.5       5.0  -8.267979     58129.5
         80         23.0   2.290868  59498.5     250.0  23.327411     59358.5
         80         23.0   2.290868  57551.5     250.0   3.775795     57746.5
         80         23.0   2.290868  59441.5     150.0  12.120112     59398.5
         80         23.0   2.290868  59343.5       5.0  21.674532     59348.5
         80         23.0   2.290868  57873.5      40.0 -28.215609     57833.5
         80         23.0   2.290868  57772.5       5.0   3.763318     57767.5
         80         23.0   2.290868  59747.5     250.0    1.85713     59793.5
         80         23.0   2.290868  57415.5     200.0   4.413096     57384.5
         80         23.0   2.290868  58617.5       5.0  -2.198271     58622.5
         80         23.0   2.290868  58404.5     200.0   1.873018     58385.5
         80         23.0   2.290868  57558.5     250.0   3.776368     57746.5
         80         23.0   2.290868  58933.5       5.0 -13.324425     58928.5
         80         23.0   2.290868  59724.5     150.0  15.050317     59687.5
         80         23.0   2.290868  58927.5      40.0  -2.821584     58887.5
         80         23.0   2.290868  58065.5      20.0  -9.217573     58047.5
         80         23.0   2.290868  58231.5      40.0  20.762699     58226.5
         80         23.0   2.290868  58759.5      80.0  20.460995     58679.5
         80         23.0   2.290868  57758.5     110.0   4.746165     57776.5
         80         23.0   2.290868  58568.5      80.0  28.985048     58582.5
         80         23.0   2.290868  59890.5     110.0    7.91426     59780.5
         80         23.0   2.290868  57815.5     110.0  25.404273     57837.5
         80         23.0   2.290868  59909.5      40.0   6.502266     59869.5
         80         23.0   2.290868  59345.5     110.0   8.688008     59405.5
         80         23.0   2.290868  59504.5     150.0  15.553026     59354.5
         80         23.0   2.290868  60021.5      80.0   4.188462     59950.5
         80         23.0   2.290868  58472.5      20.0  13.023945     58452.5
         80         23.0   2.290868  57258.5     200.0    5.80549     57458.5
         80         23.0   2.290868  59703.5     200.0  14.706357     59716.5
         80         23.0   2.290868  57505.5     150.0  -1.323847     57655.5
         80         23.0   2.290868  58395.5     250.0  -8.602937     58145.5
         80         23.0   2.290868  59351.5      40.0  -6.266025     59391.5
         80         23.0   2.290868  58646.5     250.0   36.43345     58604.5
         80         23.0   2.290868  57343.5      80.0   4.932731     57404.5
         80         23.0   2.290868  58449.5     250.0  -3.464794     58397.5
         80         23.0   2.290868  57272.5      20.0   0.677658     57253.5
         80         23.0   2.290868  59816.5     250.0  -5.293158     59910.5
         80         23.0   2.290868  58175.5      20.0  -8.193618     58155.5
         80         23.0   2.290868  58917.5     150.0    6.14713     58805.5
         80         23.0   2.290868  59816.5     150.0    0.58537     59821.5
         80         23.0   2.290868  58506.5     250.0  28.761587     58571.5
         80         23.0   2.290868  57912.5     110.0   9.188434     58022.5
         80         23.0   2.290868  58916.5       5.0 -10.464629     58911.5
         80         23.0   2.290868  59216.5     150.0   0.355318     59227.5
         80         23.0   2.290868  59704.5      80.0  21.569292     59695.5
         80         23.0   2.290868  59750.5     110.0  30.485356     59708.5
         80         23.0   2.290868  58521.5     200.0  21.129157     58588.5
         80         23.0   2.290868  57376.5     200.0   3.739651     57378.5
         80         23.0   2.290868  57299.5      40.0   3.049345     57339.5
         80         23.0   2.290868  60056.5      80.0   5.727035     60075.5
         80         23.0   2.290868  58953.5      40.0  -7.282638     58913.5
         80         23.0   2.290868  59204.5      80.0  18.490261     59284.5
         80         23.0   2.290868  59277.5      20.0  -3.262552     59257.5
         80         23.0   2.290868  57655.5     200.0  19.015761     57849.5
         80         23.0   2.290868  58256.5      80.0  27.394393     58240.5
         80         23.0   2.290868  59241.5      80.0  -7.126622     59195.5
         80         23.0   2.290868  59400.5     200.0  19.048289     59377.5
         80         23.0   2.290868  57699.5       5.0   1.005174     57704.5
