 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         40        21.89   6.367955  57692.5      20.0   0.116429     57708.5
         40        21.89   6.367955  58115.5      20.0   0.574403     58135.5
         40        21.89   6.367955  59371.5      40.0  27.112929     59376.5
         40        21.89   6.367955  58763.5     250.0  18.056597     59013.5
         40        21.89   6.367955  57605.5      40.0   0.769185     57565.5
         40        21.89   6.367955  60127.5      40.0  13.762225     60110.5
         40        21.89   6.367955  58884.5      40.0  21.186078     58879.5
         40        21.89   6.367955  59749.5      80.0  28.082886     59725.5
         40        21.89   6.367955  59400.5      20.0  -0.415941     59420.5
         40        21.89   6.367955  60241.5       5.0   0.409775     60246.5
         40        21.89   6.367955  57321.5      80.0   4.124399     57401.5
         40        21.89   6.367955  59079.5      40.0   17.94065     59039.5
         40        21.89   6.367955  58801.5     200.0  17.200913     59001.5
         40        21.89   6.367955  58457.5     200.0  19.589455     58362.5
         40        21.89   6.367955  58816.5      40.0  14.613158     58856.5
         40        21.89   6.367955  59382.5      80.0  21.476764     59354.5
         40        21.89   6.367955  58158.5      20.0   1.476898     58156.5
         40        21.89   6.367955  58557.5      40.0   7.987461     58556.5
         40        21.89   6.367955  58904.5      20.0   3.941472     58888.5
         40        21.89   6.367955  57928.5       5.0   7.822057     57933.5
         40        21.89   6.367955  59925.5     150.0   3.841208     59951.5
         40        21.89   6.367955  58487.5      80.0  25.506621     58560.5
         40        21.89   6.367955  60153.5     150.0  11.326119     60095.5
         40        21.89   6.367955  57974.5     200.0   3.065391     57996.5
         40        21.89   6.367955  60279.5       5.0   1.661072     60284.5
         40        21.89   6.367955  59061.5     150.0  24.930228     59007.5
         40        21.89   6.367955  57845.5     200.0  13.704328     57941.5
         40        21.89   6.367955  59626.5     200.0  31.565651     59642.5
         40        21.89   6.367955  59338.5       5.0    8.12743     59343.5
         40        21.89   6.367955  59412.5     250.0   8.817465     59367.5
         40        21.89   6.367955  59673.5     110.0  20.615686     59693.5
         40        21.89   6.367955  58025.5      80.0  22.086489     57956.5
         40        21.89   6.367955  58435.5     250.0  22.352926     58360.5
         40        21.89   6.367955  57842.5     150.0  17.801982     57867.5
         40        21.89   6.367955  59159.5      80.0  10.298652     59239.5
         40        21.89   6.367955  57440.5      40.0   4.219649     57478.5
         40        21.89   6.367955  59700.5     110.0   7.492297     59654.5
         40        21.89   6.367955  58556.5      80.0  30.568561     58586.5
         40        21.89   6.367955  59043.5      80.0   23.45899     59026.5
         40        21.89   6.367955  57965.5     110.0  45.568397     57931.5
         40        21.89   6.367955  58236.5     110.0   29.68967     58253.5
         40        21.89   6.367955  59457.5      80.0  10.718997     59406.5
         40        21.89   6.367955  57296.5      40.0   2.027772     57336.5
         40        21.89   6.367955  59975.5     110.0   6.444116     60012.5
         40        21.89   6.367955  58842.5       5.0   -1.69941     58847.5
         40        21.89   6.367955  59803.5     250.0   22.85346     59738.5
         40        21.89   6.367955  59660.5       5.0  15.542701     59665.5
         40        21.89   6.367955  59791.5     250.0    4.21366     59762.5
         40        21.89   6.367955  59293.5       5.0   -6.94091     59298.5
         40        21.89   6.367955  58143.5     150.0   8.375758     58293.5
         40        21.89   6.367955  59893.5     200.0  10.573903     60093.5
         40        21.89   6.367955  58805.5      20.0  -1.187413     58791.5
         40        21.89   6.367955  58886.5     110.0  14.880938     58857.5
         40        21.89   6.367955  59325.5     110.0  16.644294     59369.5
         40        21.89   6.367955  58245.5     150.0   12.00717     58281.5
         40        21.89   6.367955  58422.5       5.0  -1.422315     58427.5
         40        21.89   6.367955  57816.5      20.0   8.305824     57817.5
         40        21.89   6.367955  59689.5      20.0  20.623749     59690.5
         40        21.89   6.367955  59629.5     200.0  26.110627     59640.5
         40        21.89   6.367955  58993.5      20.0   5.714537     58982.5
         40        21.89   6.367955  59331.5       5.0 -16.719836     59336.5
         40        21.89   6.367955  58661.5       5.0   7.891033     58656.5
         40        21.89   6.367955  58807.5       5.0   5.192646     58812.5
         40        21.89   6.367955  59130.5     150.0   5.189541     59210.5
         40        21.89   6.367955  59691.5     200.0  28.194617     59638.5
         40        21.89   6.367955  57324.5     150.0   3.824395     57385.5
         40        21.89   6.367955  58756.5     250.0  12.862003     58862.5
         40        21.89   6.367955  58820.5     110.0  20.819486     58875.5
         40        21.89   6.367955  58246.5       5.0  -6.041814     58241.5
         40        21.89   6.367955  59844.5     110.0   16.15005     59797.5
         40        21.89   6.367955  58247.5     110.0   6.897067     58271.5
         40        21.89   6.367955  60274.5      40.0   1.761226     60280.5
         40        21.89   6.367955  59294.5     150.0  32.806056     59357.5
         40        21.89   6.367955  58147.5       5.0  -2.763583     58152.5
         40        21.89   6.367955  60223.5      80.0    9.32245     60148.5
         40        21.89   6.367955  58396.5     150.0   8.522352     58341.5
         40        21.89   6.367955  59595.5      80.0   10.65598     59633.5
         40        21.89   6.367955  58912.5      80.0  11.565188     58918.5
         40        21.89   6.367955  57999.5       5.0   4.609103     57994.5
         40        21.89   6.367955  60279.5     110.0   1.804536     60290.5
         40        21.89   6.367955  59650.5     150.0  20.238581     59682.5
         40        21.89   6.367955  57642.5       5.0   -0.72487     57647.5
         40        21.89   6.367955  57695.5      40.0   0.560389     57656.5
         40        21.89   6.367955  58477.5      20.0   5.344505     58497.5
         40        21.89   6.367955  59812.5      80.0   1.140456     59790.5
         40        21.89   6.367955  60074.5      20.0  11.043732     60094.5
         40        21.89   6.367955  58548.5      40.0   27.41283     58546.5
         40        21.89   6.367955  59119.5     250.0  20.111705     59036.5
         40        21.89   6.367955  59008.5     200.0  22.247578     58999.5
         40        21.89   6.367955  59536.5     150.0   0.505324     59545.5
         40        21.89   6.367955  57418.5     250.0   0.011223     57233.5
         40        21.89   6.367955  59123.5      80.0  10.449359     59043.5
         40        21.89   6.367955  59212.5       5.0   2.257968     59214.5
         40        21.89   6.367955  57582.5     150.0   4.573399     57732.5
         40        21.89   6.367955  57695.5      80.0   -0.64857     57685.5
         40        21.89   6.367955  58233.5      40.0   1.859076     58240.5
         40        21.89   6.367955  59611.5     150.0   6.402697     59642.5
         40        21.89   6.367955  59895.5     250.0  14.420348     59695.5
         40        21.89   6.367955  58472.5     150.0   4.707038     58524.5
         40        21.89   6.367955  60129.5     200.0  17.278114     60105.5
         40        21.89   6.367955  60026.5     250.0  11.421494     60100.5
         40        21.89   6.367955  58939.5       5.0  12.180169     58944.5
         40        21.89   6.367955  57974.5      20.0   6.831922     57986.5
         40        21.89   6.367955  58829.5     150.0  11.356994     58878.5
         40        21.89   6.367955  58956.5     110.0  22.735349     59004.5
         40        21.89   6.367955  58770.5     110.0   8.061256     58836.5
         40        21.89   6.367955  58063.5      40.0  -1.056882     58075.5
         40        21.89   6.367955  59732.5     110.0  22.963577     59744.5
         40        21.89   6.367955  58445.5     110.0   5.744238     58387.5
         40        21.89   6.367955  59585.5     200.0   9.001684     59636.5
         40        21.89   6.367955  59624.5     110.0  24.387023     59627.5
         40        21.89   6.367955  58519.5     200.0  29.482574     58580.5
         40        21.89   6.367955  59425.5      40.0  21.493968     59396.5
         40        21.89   6.367955  59943.5     110.0   7.504741     59967.5
         40        21.89   6.367955  59475.5     200.0   0.199828     59472.5
         40        21.89   6.367955  60189.5      20.0   7.515506     60169.5
         40        21.89   6.367955  58001.5     250.0  42.721331     57939.5
         40        21.89   6.367955  57887.5      40.0  30.293424     57866.5
         40        21.89   6.367955  57411.5      80.0   6.033355     57389.5
         40        21.89   6.367955  57545.5     200.0   2.680854     57443.5
         40        21.89   6.367955  59167.5     110.0   0.891287     59112.5
         40        21.89   6.367955  59175.5     110.0   0.290431     59178.5
         40        21.89   6.367955  57680.5      20.0   1.139685     57700.5
         40        21.89   6.367955  58835.5     150.0  11.558993     58878.5
         40        21.89   6.367955  59691.5      40.0  17.409047     59731.5
         40        21.89   6.367955  60069.5      20.0    4.37499     60065.5
         40        21.89   6.367955  58370.5      40.0  13.411862     58350.5
         40        21.89   6.367955  58286.5     200.0  15.452538     58313.5
         40        21.89   6.367955  57648.5     250.0   8.842467     57599.5
         40        21.89   6.367955  57757.5      20.0   0.544744     57737.5
         40        21.89   6.367955  60222.5     110.0   6.617697     60174.5
         40        21.89   6.367955  59445.5      20.0  -0.499763     59465.5
         40        21.89   6.367955  58367.5     200.0   17.35565     58311.5
         40        21.89   6.367955  58993.5       5.0    9.17169     58988.5
         40        21.89   6.367955  58206.5      40.0   4.284879     58197.5
         40        21.89   6.367955  60135.5     250.0   7.946718     60121.5
         40        21.89   6.367955  57341.5       5.0  -2.123198     57336.5
         40        21.89   6.367955  60108.5       5.0 -10.406866     60113.5
         40        21.89   6.367955  57762.5     250.0   3.679523     57793.5
         40        21.89   6.367955  57681.5     110.0    6.04481     57781.5
         40        21.89   6.367955  60283.5      20.0   2.241446     60283.5
         40        21.89   6.367955  57651.5     200.0   0.984877     57550.5
         40        21.89   6.367955  57264.5       5.0  -0.294488     57269.5
         40        21.89   6.367955  59259.5      80.0  15.963841     59324.5
         40        21.89   6.367955  58083.5     250.0   0.629977     58114.5
         40        21.89   6.367955  58012.5      40.0  24.554185     57972.5
         40        21.89   6.367955  58255.5     250.0  29.816407     58271.5
         40        21.89   6.367955  60135.5     110.0  12.248222     60106.5
         40        21.89   6.367955  57388.5     110.0  -0.003727     57278.5
         40        21.89   6.367955  59212.5      80.0   7.867358     59292.5
         40        21.89   6.367955  57473.5      80.0   6.775256     57420.5
         40        21.89   6.367955  57484.5     200.0   5.302506     57486.5
         40        21.89   6.367955  59545.5      80.0  21.747028     59625.5
         40        21.89   6.367955  59200.5     110.0  16.284021     59287.5
         40        21.89   6.367955  57990.5      20.0   4.283683     57993.5
         40        21.89   6.367955  59198.5     110.0  11.090296     59264.5
         40        21.89   6.367955  58157.5       5.0   0.062407     58162.5
         40        21.89   6.367955  59200.5      40.0   13.49722     59240.5
         40        21.89   6.367955  58545.5     150.0  15.594406     58583.5
         40        21.89   6.367955  58732.5      20.0  -3.553108     58752.5
         40        21.89   6.367955  59932.5     110.0   3.944049     59952.5
         40        21.89   6.367955  57237.5      80.0    1.08571     57317.5
         40        21.89   6.367955  60073.5     150.0  12.697301     60066.5
         40        21.89   6.367955  58206.5     250.0  24.193536     58253.5
         40        21.89   6.367955  58769.5      80.0   7.791123     58849.5
         40        21.89   6.367955  59618.5     200.0  24.732988     59627.5
         40        21.89   6.367955  60233.5      80.0   4.522859     60174.5
         40        21.89   6.367955  59741.5      80.0  18.057285     59749.5
         40        21.89   6.367955  58826.5     150.0   8.331255     58884.5
         40        21.89   6.367955  59449.5      40.0   11.54895     59409.5
         40        21.89   6.367955  58964.5      20.0  20.934266     58969.5
         40        21.89   6.367955  58532.5       5.0  13.019412     58537.5
         40        21.89   6.367955  58423.5      40.0   4.205838     58463.5
         40        21.89   6.367955  59513.5       5.0    1.51182     59518.5
         40        21.89   6.367955  59119.5      80.0   9.847948     59048.5
         40        21.89   6.367955  58772.5     250.0   2.758505     58710.5
         40        21.89   6.367955  59783.5       5.0  -7.356016     59788.5
         40        21.89   6.367955  58045.5     200.0   0.254326     58037.5
         40        21.89   6.367955  60156.5     200.0  11.647144     60095.5
         40        21.89   6.367955  59578.5      20.0   18.25576     59598.5
         40        21.89   6.367955  58978.5       5.0     2.1285     58980.5
         40        21.89   6.367955  58454.5     200.0   9.079479     58515.5
         40        21.89   6.367955  58351.5      20.0  21.489711     58355.5
         40        21.89   6.367955  57242.5     250.0   1.516521     57492.5
         40        21.89   6.367955  58812.5     150.0  19.185865     58877.5
         40        21.89   6.367955  58398.5     250.0   10.06206     58336.5
         40        21.89   6.367955  57842.5     110.0   5.483834     57894.5
         40        21.89   6.367955  58700.5     250.0    8.29981     58663.5
         40        21.89   6.367955  57322.5     110.0  -0.203911     57274.5
         40        21.89   6.367955  60217.5     150.0   3.721804     60293.5
         40        21.89   6.367955  58211.5      20.0   3.404073     58209.5
         40        21.89   6.367955  59920.5      20.0  -1.643348     59900.5
         40        21.89   6.367955  58444.5     150.0  20.152869     58525.5
         40        21.89   6.367955  57665.5     110.0   0.764444     57555.5
         40        21.89   6.367955  58515.5       5.0  -0.981419     58510.5
         40        21.89   6.367955  58502.5       5.0    1.88985     58497.5
         40        21.89   6.367955  58163.5      80.0   5.334299     58186.5
         40        21.89   6.367955  58082.5     150.0  -0.571094     58078.5
         40        21.89   6.367955  58998.5      20.0  14.649396     59010.5
         40        21.89   6.367955  60215.5      40.0   2.955705     60175.5
         40        21.89   6.367955  57376.5      40.0    1.39331     57356.5
         40        21.89   6.367955  59060.5     250.0   34.45756     59006.5
         40        21.89   6.367955  59581.5     110.0   28.23193     59629.5
