 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
        130        22.26   4.528976  60083.5      20.0   4.171374     60103.5
        130        22.26   4.528976  59624.5      80.0  20.092535     59677.5
        130        22.26   4.528976  59261.5     300.0  21.850391     59326.5
        130        22.26   4.528976  59923.5     110.0  19.998922     59813.5
        130        22.26   4.528976  59839.5     200.0   0.129193     60039.5
        130        22.26   4.528976  57609.5      20.0   6.300668     57629.5
        130        22.26   4.528976  58180.5      20.0 -23.322759     58164.5
        130        22.26   4.528976  60105.5      80.0  14.675099     60111.5
        130        22.26   4.528976  59544.5     250.0  10.523635     59745.5
        130        22.26   4.528976  59305.5      80.0  20.106598     59325.5
        130        22.26   4.528976  57623.5     110.0   -1.16335     57513.5
        130        22.26   4.528976  57553.5     200.0   15.04893     57753.5
        130        22.26   4.528976  57453.5      20.0 -10.943564     57473.5
        130        22.26   4.528976  59098.5     200.0  -9.263741     59004.5
        130        22.26   4.528976  57944.5      80.0  41.343258     57911.5
        130        22.26   4.528976  58267.5      80.0  31.263992     58347.5
        130        22.26   4.528976  58363.5      20.0  24.460217     58383.5
        130        22.26   4.528976  59669.5     300.0  13.250532     59678.5
        130        22.26   4.528976  57344.5      20.0  -0.253816     57324.5
        130        22.26   4.528976  59706.5      20.0  10.237152     59726.5
        130        22.26   4.528976  57986.5      20.0    5.30649     57966.5
        130        22.26   4.528976  58839.5      20.0   -2.66565     58819.5
        130        22.26   4.528976  59375.5     250.0  42.524666     59344.5
        130        22.26   4.528976  57875.5     250.0 -13.362114     57625.5
        130        22.26   4.528976  59303.5     200.0  17.023073     59343.5
        130        22.26   4.528976  57822.5     200.0 -14.407903     57622.5
        130        22.26   4.528976  58977.5     250.0   5.216463     58953.5
        130        22.26   4.528976  59773.5     250.0   0.619763     59851.5
        130        22.26   4.528976  59578.5      20.0   9.076727     59598.5
        130        22.26   4.528976  60231.5     250.0  14.346572     60068.5
        130        22.26   4.528976  57384.5     150.0   5.581797     57387.5
        130        22.26   4.528976  58002.5     250.0   7.516282     57864.5
        130        22.26   4.528976  59468.5     110.0  37.117684     59371.5
        130        22.26   4.528976  58606.5      20.0  31.110985     58587.5
        130        22.26   4.528976  60107.5      80.0  24.878471     60101.5
        130        22.26   4.528976  58153.5     150.0 -11.135482     58188.5
        130        22.26   4.528976  57965.5      80.0  33.934309     57889.5
        130        22.26   4.528976  59353.5     300.0  54.244953     59352.5
        130        22.26   4.528976  59927.5     250.0   7.487271     59715.5
        130        22.26   4.528976  59181.5     110.0   2.452301     59071.5
        130        22.26   4.528976  57947.5     250.0   37.53284     57940.5
        130        22.26   4.528976  58689.5      20.0  -0.684184     58709.5
        130        22.26   4.528976  58155.5     200.0   1.369189     58240.5
        130        22.26   4.528976  59616.5      80.0 -10.013253     59599.5
        130        22.26   4.528976  57826.5     150.0  57.076363     57899.5
        130        22.26   4.528976  59925.5     110.0  13.899732     59815.5
        130        22.26   4.528976  60034.5      20.0   0.668359     60014.5
        130        22.26   4.528976  59436.5      40.0  13.663058     59397.5
        130        22.26   4.528976  60094.5     250.0  14.419077     60126.5
        130        22.26   4.528976  58246.5     200.0  30.088631     58261.5
        130        22.26   4.528976  59805.5     250.0   0.240502     60055.5
        130        22.26   4.528976  57719.5     250.0  42.895731     57908.5
        130        22.26   4.528976  58775.5      20.0   7.208472     58755.5
        130        22.26   4.528976  58643.5      40.0   11.09081     58661.5
        130        22.26   4.528976  59730.5     110.0  24.271854     59696.5
        130        22.26   4.528976  57345.5     300.0   3.954326     57645.5
        130        22.26   4.528976  59151.5     200.0  -2.884879     59285.5
        130        22.26   4.528976  60273.5      40.0  11.226268     60233.5
        130        22.26   4.528976  58833.5      80.0  31.214164     58912.5
        130        22.26   4.528976  59802.5     300.0  -9.648302     59830.5
        130        22.26   4.528976  59284.5      20.0    4.75033     59293.5
        130        22.26   4.528976  58758.5     110.0  28.716332     58648.5
        130        22.26   4.528976  57804.5     250.0  53.859426     57897.5
        130        22.26   4.528976  58820.5      80.0   3.603371     58770.5
        130        22.26   4.528976  59130.5      40.0  23.718901     59170.5
        130        22.26   4.528976  59040.5     300.0  24.138596     58995.5
        130        22.26   4.528976  58596.5     150.0  17.596206     58564.5
        130        22.26   4.528976  59960.5     110.0 -13.523907     59957.5
        130        22.26   4.528976  57619.5     300.0   3.697876     57433.5
        130        22.26   4.528976  60247.5     300.0   2.995964     60225.5
        130        22.26   4.528976  59429.5     150.0  16.868721     59381.5
        130        22.26   4.528976  58737.5      20.0   12.05887     58756.5
        130        22.26   4.528976  60254.5     250.0   3.588847     60241.5
        130        22.26   4.528976  58256.5     150.0  -5.195845     58238.5
        130        22.26   4.528976  57876.5     110.0  33.843686     57838.5
        130        22.26   4.528976  59912.5      20.0   1.515115     59932.5
        130        22.26   4.528976  59926.5     150.0   6.974716     59776.5
        130        22.26   4.528976  59192.5     150.0   23.54864     59267.5
        130        22.26   4.528976  57471.5      40.0    6.31768     57455.5
        130        22.26   4.528976  58276.5     150.0  -0.295657     58254.5
        130        22.26   4.528976  57887.5     300.0   43.95134     57879.5
        130        22.26   4.528976  57603.5     200.0  -7.876072     57578.5
        130        22.26   4.528976  59239.5      80.0  27.849365     59285.5
        130        22.26   4.528976  57405.5     300.0   3.482158     57366.5
        130        22.26   4.528976  58497.5     150.0  39.660304     58561.5
        130        22.26   4.528976  60113.5     250.0  28.706773     60106.5
        130        22.26   4.528976  59858.5     200.0  10.849294     59739.5
        130        22.26   4.528976  58587.5     150.0  17.154498     58556.5
        130        22.26   4.528976  57359.5     200.0  -0.551021     57509.5
        130        22.26   4.528976  58169.5     300.0  -8.674393     58198.5
        130        22.26   4.528976  58415.5      80.0  -5.575438     58335.5
        130        22.26   4.528976  59539.5      40.0  25.118053     59499.5
        130        22.26   4.528976  57285.5     150.0  -2.531849     57233.5
        130        22.26   4.528976  57955.5     250.0  37.853911     57889.5
        130        22.26   4.528976  58993.5     200.0  49.026685     58978.5
        130        22.26   4.528976  59382.5      80.0  50.183326     59356.5
        130        22.26   4.528976  59113.5     110.0  24.649199     59003.5
        130        22.26   4.528976  59397.5     110.0  17.370467     59388.5
        130        22.26   4.528976  57769.5     300.0  22.188181     57915.5
        130        22.26   4.528976  58611.5     110.0  49.209028     58596.5
        130        22.26   4.528976  58866.5      80.0  19.906688     58946.5
        130        22.26   4.528976  57381.5      80.0   6.373193     57461.5
        130        22.26   4.528976  60058.5     250.0  24.933688     60047.5
        130        22.26   4.528976  60169.5      40.0   14.48546     60129.5
        130        22.26   4.528976  59768.5     200.0  22.309471     59718.5
        130        22.26   4.528976  58149.5     200.0   21.29569     57949.5
        130        22.26   4.528976  58174.5     250.0  31.405143     58222.5
        130        22.26   4.528976  57305.5     250.0   3.631944     57360.5
        130        22.26   4.528976  59866.5     250.0   9.262637     59715.5
        130        22.26   4.528976  60009.5     300.0    9.39096     59992.5
        130        22.26   4.528976  57906.5     200.0  47.484018     57896.5
        130        22.26   4.528976  59478.5     250.0  27.247931     59347.5
        130        22.26   4.528976  58530.5     300.0  -9.421651     58665.5
        130        22.26   4.528976  57288.5      40.0  -3.148399     57248.5
        130        22.26   4.528976  60219.5     150.0  18.493344     60069.5
        130        22.26   4.528976  59383.5      80.0   35.18712     59418.5
        130        22.26   4.528976  57487.5     110.0  -6.631492     57377.5
        130        22.26   4.528976  58856.5     300.0  31.196615     58593.5
        130        22.26   4.528976  58793.5     150.0  18.895247     58943.5
        130        22.26   4.528976  57459.5     150.0   4.301318     57358.5
        130        22.26   4.528976  58303.5     300.0   0.272751     58264.5
        130        22.26   4.528976  57247.5     300.0   3.135144     57353.5
        130        22.26   4.528976  58156.5     200.0   1.860871     57956.5
        130        22.26   4.528976  60145.5      40.0   8.444836     60152.5
        130        22.26   4.528976  59306.5     110.0  26.865628     59346.5
        130        22.26   4.528976  58992.5     200.0  11.887208     59030.5
        130        22.26   4.528976  57264.5     300.0    0.62912     57233.5
        130        22.26   4.528976  57698.5     250.0  -8.987511     57585.5
        130        22.26   4.528976  59321.5     300.0  27.882696     59340.5
        130        22.26   4.528976  58520.5      20.0 -31.535729     58500.5
        130        22.26   4.528976  58035.5     150.0  21.478503     58185.5
        130        22.26   4.528976  58185.5      80.0 -11.687879     58198.5
        130        22.26   4.528976  59855.5      80.0 -15.517015     59895.5
        130        22.26   4.528976  58354.5     200.0  44.847993     58319.5
        130        22.26   4.528976  58365.5      40.0  22.496167     58405.5
        130        22.26   4.528976  57538.5     110.0  10.548178     57592.5
        130        22.26   4.528976  57492.5      20.0  -10.15405     57512.5
        130        22.26   4.528976  58164.5      40.0  -2.541016     58204.5
        130        22.26   4.528976  58994.5     300.0  24.452815     58999.5
        130        22.26   4.528976  57801.5      40.0 -17.473342     57761.5
        130        22.26   4.528976  57924.5     110.0   4.391252     57965.5
        130        22.26   4.528976  58032.5     300.0  28.479185     58311.5
        130        22.26   4.528976  57880.5      80.0 -34.707207     57960.5
        130        22.26   4.528976  57462.5     300.0  14.729355     57762.5
        130        22.26   4.528976  59328.5      80.0  19.509504     59355.5
        130        22.26   4.528976  57991.5      20.0  19.533325     57984.5
        130        22.26   4.528976  57325.5      20.0   2.859865     57345.5
        130        22.26   4.528976  57779.5     150.0  27.798952     57842.5
        130        22.26   4.528976  57570.5      80.0   5.590186     57650.5
        130        22.26   4.528976  57597.5      80.0  -12.78755     57517.5
        130        22.26   4.528976  58112.5      80.0  36.875926     58032.5
        130        22.26   4.528976  57361.5      20.0  -4.425705     57381.5
        130        22.26   4.528976  57970.5     200.0  12.020515     57885.5
        130        22.26   4.528976  57400.5     200.0   7.588306     57421.5
        130        22.26   4.528976  57867.5      80.0  15.777628     57833.5
        130        22.26   4.528976  58449.5     250.0 -19.341232     58699.5
        130        22.26   4.528976  59067.5     300.0  32.954649     59024.5
        130        22.26   4.528976  59097.5     300.0  -1.802386     58797.5
        130        22.26   4.528976  57272.5      20.0  -2.560375     57252.5
        130        22.26   4.528976  58957.5      80.0   34.25546     59005.5
        130        22.26   4.528976  59959.5      40.0  -0.502134     59999.5
        130        22.26   4.528976  59434.5      20.0  -3.976914     59454.5
        130        22.26   4.528976  57830.5      80.0  29.182904     57910.5
        130        22.26   4.528976  59077.5     200.0   5.141844     59084.5
