sigma_kern  peak_appmag  peak_flux sigma_sim
        25        23.00       2.29        20
        25        23.00       2.29        40
        25        23.00       2.29        80
        25        23.00       2.29       120
        25        22.63       3.22         2
        25        22.63       3.22         5
        25        22.63       3.22        20
        25        22.63       3.22        40
        25        22.63       3.22        80
        25        22.63       3.22       120
        25        22.26       4.52         2
        25        22.26       4.52         5
        25        22.26       4.52        20
        25        22.26       4.52        40
        25        22.26       4.52        80
        25        22.26       4.52       120
        25        21.89       6.34         2
        25        21.89       6.34         5
        25        21.89       6.34        20
        25        21.89       6.34        40
        25        21.89       6.34        80
        25        21.89       6.34       120
        25        21.53       8.90         2
        25        21.53       8.90         5
        25        21.53       8.90        20
        25        21.53       8.90        40
        25        21.53       8.90        80
        25        21.53       8.90       120
        25        21.16      12.50         2
        25        21.16      12.50         5
        25        21.16      12.50        20
        25        21.16      12.50        40
        25        21.16      12.50        80
        25        21.16      12.50       120
        25        20.79      17.55         2
        25        20.79      17.55         5
        25        20.79      17.55        20
        25        20.79      17.55        40
        25        20.79      17.55        80
        25        20.79      17.55       120
        25        20.42      24.64         2
        25        20.42      24.64         5
        25        20.42      24.64        20
        25        20.42      24.64        40
        25        20.42      24.64        80
        25        20.42      24.64       120
        25        20.05      34.59         2
        25        20.05      34.59         5
        25        20.05      34.59        20
        25        20.05      34.59        40
        25        20.05      34.59        80
        25        20.05      34.59       120
        25        19.68      48.56         2
        25        19.68      48.56         5
        25        19.68      48.56        20
        25        19.68      48.56        40
        25        19.68      48.56        80
        25        19.68      48.56       120
        25        19.32      68.18         2
        25        19.32      68.18         5
        25        19.32      68.18        20
        25        19.32      68.18        40
        25        19.32      68.18        80
        25        19.32      68.18       120
        25        18.95      95.73         2
        25        18.95      95.73         5
        25        18.95      95.73        20
        25        18.95      95.73        40
        25        18.95      95.73        80
        25        18.95      95.73       120
        25        18.58     134.41         2
        25        18.58     134.41         5
        25        18.58     134.41        20
        25        18.58     134.41        40
        25        18.58     134.41        80
        25        18.58     134.41       120
        25        18.21     188.71         2
        25        18.21     188.71         5
        25        18.21     188.71        20
        25        18.21     188.71        40
        25        18.21     188.71        80
        25        18.21     188.71       120
        25        17.84     264.95         2
        25        17.84     264.95         5
        25        17.84     264.95        20
        25        17.84     264.95        40
        25        17.84     264.95        80
        25        17.84     264.95       120
        25        17.47     371.99         2
        25        17.47     371.99         5
        25        17.47     371.99        20
        25        17.47     371.99        40
        25        17.47     371.99        80
        25        17.47     371.99       120
        25        17.11     522.27         2
        25        17.11     522.27         5
        25        17.11     522.27        20
        25        17.11     522.27        40
        25        17.11     522.27        80
        25        17.11     522.27       120
        25        16.74     733.27         2
        25        16.74     733.27         5
        25        16.74     733.27        20
        25        16.74     733.27        40
        25        16.74     733.27        80
        25        16.74     733.27       120
        25        16.37    1029.51         2
        25        16.37    1029.51         5
        25        16.37    1029.51        20
        25        16.37    1029.51        40
        25        16.37    1029.51        80
        25        16.37    1029.51       120
        25        16.00    1445.44         2
        25        16.00    1445.44         5
        25        16.00    1445.44        20
        25        16.00    1445.44        40
        25        16.00    1445.44        80
        25        16.00    1445.44       120
        40        23.00       2.29         5
        40        23.00       2.29        20
        40        23.00       2.29        40
        40        23.00       2.29        80
        40        23.00       2.29       110
        40        23.00       2.29       150
        40        23.00       2.29       200
        40        23.00       2.29       250
        40        22.63       3.22         5
        40        22.63       3.22        20
        40        22.63       3.22        40
        40        22.63       3.22        80
        40        22.63       3.22       110
        40        22.63       3.22       150
        40        22.63       3.22       200
        40        22.63       3.22       250
        40        22.26       4.52         5
        40        22.26       4.52        20
        40        22.26       4.52        40
        40        22.26       4.52        80
        40        22.26       4.52       110
        40        22.26       4.52       150
        40        22.26       4.52       200
        40        22.26       4.52       250
        40        21.89       6.34         5
        40        21.89       6.34        20
        40        21.89       6.34        40
        40        21.89       6.34        80
        40        21.89       6.34       110
        40        21.89       6.34       150
        40        21.89       6.34       200
        40        21.89       6.34       250
        40        21.53       8.90         5
        40        21.53       8.90        20
        40        21.53       8.90        40
        40        21.53       8.90        80
        40        21.53       8.90       110
        40        21.53       8.90       150
        40        21.53       8.90       200
        40        21.53       8.90       250
        40        21.16      12.50         5
        40        21.16      12.50        20
        40        21.16      12.50        40
        40        21.16      12.50        80
        40        21.16      12.50       110
        40        21.16      12.50       150
        40        21.16      12.50       200
        40        21.16      12.50       250
        40        20.79      17.55         5
        40        20.79      17.55        20
        40        20.79      17.55        40
        40        20.79      17.55        80
        40        20.79      17.55       110
        40        20.79      17.55       150
        40        20.79      17.55       200
        40        20.79      17.55       250
        40        20.42      24.64         5
        40        20.42      24.64        20
        40        20.42      24.64        40
        40        20.42      24.64        80
        40        20.42      24.64       110
        40        20.42      24.64       150
        40        20.42      24.64       200
        40        20.42      24.64       250
        40        20.05      34.59         5
        40        20.05      34.59        20
        40        20.05      34.59        40
        40        20.05      34.59        80
        40        20.05      34.59       110
        40        20.05      34.59       150
        40        20.05      34.59       200
        40        20.05      34.59       250
        40        19.68      48.56         5
        40        19.68      48.56        20
