sigma_kern  peak_appmag  peak_flux sigma_sim
       300        20.42      24.64        40
       300        20.42      24.64        80
       300        20.42      24.64       110
       300        20.42      24.64       150
       300        20.42      24.64       200
       300        20.42      24.64       250
       300        20.42      24.64       300
       300        20.05      34.59        20
       300        20.05      34.59        40
       300        20.05      34.59        80
       300        20.05      34.59       110
       300        20.05      34.59       150
       300        20.05      34.59       200
       300        20.05      34.59       250
       300        20.05      34.59       300
       300        19.68      48.56        20
       300        19.68      48.56        40
       300        19.68      48.56        80
       300        19.68      48.56       110
       300        19.68      48.56       150
       300        19.68      48.56       200
       300        19.68      48.56       250
       300        19.68      48.56       300
       300        19.32      68.18        20
       300        19.32      68.18        40
       300        19.32      68.18        80
       300        19.32      68.18       110
       300        19.32      68.18       150
       300        19.32      68.18       200
       300        19.32      68.18       250
       300        19.32      68.18       300
       300        18.95      95.73        20
       300        18.95      95.73        40
       300        18.95      95.73        80
       300        18.95      95.73       110
       300        18.95      95.73       150
       300        18.95      95.73       200
       300        18.95      95.73       250
       300        18.95      95.73       300
       300        18.58     134.41        20
       300        18.58     134.41        40
       300        18.58     134.41        80
       300        18.58     134.41       110
       300        18.58     134.41       150
       300        18.58     134.41       200
       300        18.58     134.41       250
       300        18.58     134.41       300
       300        18.21     188.71        20
       300        18.21     188.71        40
       300        18.21     188.71        80
       300        18.21     188.71       110
       300        18.21     188.71       150
       300        18.21     188.71       200
       300        18.21     188.71       250
       300        18.21     188.71       300
       300        17.84     264.95        20
       300        17.84     264.95        40
       300        17.84     264.95        80
       300        17.84     264.95       110
       300        17.84     264.95       150
       300        17.84     264.95       200
       300        17.84     264.95       250
       300        17.84     264.95       300
       300        17.47     371.99        20
       300        17.47     371.99        40
       300        17.47     371.99        80
       300        17.47     371.99       110
       300        17.47     371.99       150
       300        17.47     371.99       200
       300        17.47     371.99       250
       300        17.47     371.99       300
       300        17.11     522.27        20
       300        17.11     522.27        40
       300        17.11     522.27        80
       300        17.11     522.27       110
       300        17.11     522.27       150
       300        17.11     522.27       200
       300        17.11     522.27       250
       300        17.11     522.27       300
       300        16.74     733.27        20
       300        16.74     733.27        40
       300        16.74     733.27        80
       300        16.74     733.27       110
       300        16.74     733.27       150
       300        16.74     733.27       200
       300        16.74     733.27       250
       300        16.74     733.27       300
       300        16.37    1029.51        20
       300        16.37    1029.51        40
       300        16.37    1029.51        80
       300        16.37    1029.51       110
       300        16.37    1029.51       150
       300        16.37    1029.51       200
       300        16.37    1029.51       250
       300        16.37    1029.51       300
       300        16.00    1445.44        20
       300        16.00    1445.44        40
       300        16.00    1445.44        80
       300        16.00    1445.44       110
       300        16.00    1445.44       150
       300        16.00    1445.44       200
       300        16.00    1445.44       250
       300        16.00    1445.44       300
