 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         80        22.26   4.528976  59724.5     110.0  -1.207922     59745.5
         80        22.26   4.528976  58700.5     110.0   4.123995     58724.5
         80        22.26   4.528976  57717.5     200.0  -3.046689     57577.5
         80        22.26   4.528976  57385.5     250.0   8.793004     57578.5
         80        22.26   4.528976  60100.5       5.0   2.160284     60095.5
         80        22.26   4.528976  59756.5     150.0  20.750597     59754.5
         80        22.26   4.528976  59373.5       5.0   22.54605     59368.5
         80        22.26   4.528976  57773.5      20.0  18.537702     57790.5
         80        22.26   4.528976  59797.5      40.0  10.344449     59757.5
         80        22.26   4.528976  59200.5      20.0  13.263206     59220.5
         80        22.26   4.528976  58731.5     200.0  17.075521     58639.5
         80        22.26   4.528976  59770.5      80.0  34.811881     59719.5
         80        22.26   4.528976  57586.5     110.0   5.517367     57696.5
         80        22.26   4.528976  58756.5      20.0   -1.79306     58737.5
         80        22.26   4.528976  57648.5     200.0  -6.653535     57639.5
         80        22.26   4.528976  60168.5     250.0  23.606971     60113.5
         80        22.26   4.528976  60058.5      20.0  16.384718     60038.5
         80        22.26   4.528976  57268.5     110.0  -0.312009     57235.5
         80        22.26   4.528976  58444.5     200.0  26.158999     58558.5
         80        22.26   4.528976  59048.5     150.0   3.447023     59045.5
         80        22.26   4.528976  58496.5     250.0  32.735732     58563.5
         80        22.26   4.528976  58731.5      80.0   -2.37017     58747.5
         80        22.26   4.528976  59973.5      80.0  14.612513     60053.5
         80        22.26   4.528976  59920.5     150.0   4.128864     59770.5
         80        22.26   4.528976  58854.5     250.0  13.268492     58913.5
         80        22.26   4.528976  57303.5      40.0   0.901714     57343.5
         80        22.26   4.528976  59509.5      40.0   4.121757     59549.5
         80        22.26   4.528976  57579.5      40.0  -1.429866     57619.5
         80        22.26   4.528976  59528.5      40.0   0.749339     59488.5
         80        22.26   4.528976  59962.5      40.0   2.311727     60002.5
         80        22.26   4.528976  59957.5      40.0  -2.780577     59982.5
         80        22.26   4.528976  57878.5      20.0   2.836103     57858.5
