 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_6.06  pct_detec_9.68  pct_detec_12.27  pct_detec_16.27  pct_detec_21.76  pct_detec_28.31  pct_detec_36.81  pct_detec_47.14
          5        18.95      95.73          5       93.306750             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41          2       79.084605             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41          5       95.583596             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.58     134.41        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71          2       82.647482             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71          5       96.156036             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.21     188.71        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95          2       84.641834             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95          5       98.345643             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.84     264.95        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99          2       86.049927             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99          5       98.351804             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.47     371.99        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27          2       88.314344             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27          5       98.903635             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        17.11     522.27        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27          2       88.354214             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27          5       99.035735             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.74     733.27        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51          2       89.613809             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51          5       99.356349             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.37    1029.51        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44          2       90.478905             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44          5       99.334105             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         20      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         40      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44         80      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        16.00    1445.44        120      100.000000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29          2             NaN        0.866551              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29          5             NaN        1.311662              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         20             NaN        6.763151              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         40             NaN       10.832383              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29         80             NaN       17.360521              NaN              NaN              NaN              NaN              NaN              NaN
         15        23.00       2.29        120             NaN       19.018583              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22          2             NaN        0.857143              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22          5             NaN        1.911935              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         20             NaN        8.011696              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         40             NaN       14.178023              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22         80             NaN       22.205968              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.63       3.22        120             NaN       26.110174              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52          2             NaN        1.173365              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52          5             NaN        3.128523              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         20             NaN       14.684711              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         40             NaN       24.157956              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52         80             NaN       33.752860              NaN              NaN              NaN              NaN              NaN              NaN
         15        22.26       4.52        120             NaN       38.281250              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34          2             NaN        1.350946              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34          5             NaN        4.420993              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         20             NaN       24.028777              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         40             NaN       36.827354              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34         80             NaN       47.133578              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.89       6.34        120             NaN       52.540913              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90          2             NaN        1.844380              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90          5             NaN        6.787984              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         20             NaN       37.349051              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         40             NaN       54.573427              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90         80             NaN       68.249856              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.53       8.90        120             NaN       74.673481              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50          2             NaN        4.078212              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50          5             NaN       13.232294              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         20             NaN       57.210124              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         40             NaN       77.043577              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         80             NaN       89.763330              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50        120             NaN       93.611033              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55          2             NaN        6.605399              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55          5             NaN       24.738979              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         20             NaN       80.789786              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         40             NaN       93.698710              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         80             NaN       98.595506              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55        120             NaN       99.459459              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64          2             NaN        9.712126              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64          5             NaN       39.089881              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         20             NaN       93.516062              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         40             NaN       99.495940              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59          2             NaN       18.677264              NaN              NaN              NaN              NaN              NaN              NaN
