 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
         80        22.63   3.221069  57469.5      20.0   0.981954     57449.5
         80        22.63   3.221069  59940.5      40.0   0.290251     59980.5
         80        22.63   3.221069  58564.5     250.0  11.302524     58550.5
         80        22.63   3.221069  58739.5       5.0   2.555238     58744.5
         80        22.63   3.221069  58663.5     200.0  -0.947843     58714.5
         80        22.63   3.221069  57858.5      40.0  -38.71145     57818.5
         80        22.63   3.221069  60188.5      40.0   0.554893     60148.5
         80        22.63   3.221069  58010.5     110.0  -0.383629     58016.5
         80        22.63   3.221069  58712.5      20.0  10.801526     58692.5
         80        22.63   3.221069  58781.5     110.0  -5.526256     58787.5
         80        22.63   3.221069  57431.5      80.0   -3.40734     57511.5
         80        22.63   3.221069  58270.5      40.0  28.058291     58243.5
         80        22.63   3.221069  59779.5      40.0  12.314792     59768.5
         80        22.63   3.221069  59901.5       5.0  -3.440896     59906.5
         80        22.63   3.221069  57338.5      20.0  -2.386654     57318.5
         80        22.63   3.221069  57483.5       5.0   -1.92084     57478.5
         80        22.63   3.221069  60251.5       5.0   0.867771     60246.5
         80        22.63   3.221069  58325.5      80.0  32.890617     58311.5
         80        22.63   3.221069  58999.5     250.0   3.920348     58795.5
         80        22.63   3.221069  57499.5      40.0   1.753303     57527.5
         80        22.63   3.221069  57368.5      80.0  -1.329926     57288.5
         80        22.63   3.221069  58345.5     250.0  -1.525533     58338.5
         80        22.63   3.221069  57970.5      20.0 -19.039881     57990.5
         80        22.63   3.221069  58057.5      80.0   9.911737     58137.5
         80        22.63   3.221069  58152.5     150.0  -4.859246     58124.5
         80        22.63   3.221069  58362.5      80.0  -0.379884     58283.5
         80        22.63   3.221069  57828.5     250.0  45.842722     57901.5
         80        22.63   3.221069  58239.5       5.0 -14.075561     58234.5
         80        22.63   3.221069  59037.5       5.0 -13.436634     59042.5
         80        22.63   3.221069  57316.5     250.0   3.663336     57397.5
         80        22.63   3.221069  58884.5      20.0    1.00328     58864.5
         80        22.63   3.221069  58072.5      40.0  -8.929266     58057.5
         80        22.63   3.221069  58450.5      20.0 -16.680121     58430.5
         80        22.63   3.221069  57521.5      40.0  -2.732418     57561.5
         80        22.63   3.221069  58978.5     110.0   2.252906     58868.5
         80        22.63   3.221069  57429.5     200.0  -0.018714     57620.5
         80        22.63   3.221069  58065.5      80.0  -5.611689     58126.5
         80        22.63   3.221069  59318.5     200.0   6.496678     59391.5
         80        22.63   3.221069  58826.5      20.0  13.172544     58846.5
         80        22.63   3.221069  59421.5     200.0   1.840646     59415.5
         80        22.63   3.221069  59968.5     110.0   5.072662     60013.5
         80        22.63   3.221069  57682.5      80.0   8.616093     57602.5
         80        22.63   3.221069  58966.5      80.0   3.954348     59013.5
         80        22.63   3.221069  59144.5     200.0  19.602633     58996.5
         80        22.63   3.221069  59600.5     150.0  -6.673104     59549.5
         80        22.63   3.221069  57685.5     250.0   0.388509     57627.5
         80        22.63   3.221069  60191.5     200.0   8.323572     60134.5
         80        22.63   3.221069  58808.5      20.0   4.881623     58788.5
         80        22.63   3.221069  58794.5     110.0  -5.655325     58796.5
         80        22.63   3.221069  57377.5       5.0   4.010658     57382.5
         80        22.63   3.221069  59230.5      40.0  20.244852     59270.5
         80        22.63   3.221069  59874.5       5.0  -7.970963     59879.5
         80        22.63   3.221069  57990.5      20.0   4.821982     58010.5
         80        22.63   3.221069  59524.5      80.0  21.100254     59604.5
         80        22.63   3.221069  59075.5     150.0  21.466535     58975.5
         80        22.63   3.221069  59313.5      80.0   28.67452     59319.5
         80        22.63   3.221069  57509.5     250.0    9.17281     57759.5
         80        22.63   3.221069  60235.5      20.0   0.821684     60215.5
         80        22.63   3.221069  58878.5     200.0   0.270198     58786.5
         80        22.63   3.221069  58381.5     250.0   6.095942     58338.5
         80        22.63   3.221069  59837.5       5.0   -2.65943     59842.5
         80        22.63   3.221069  58775.5     200.0  21.202637     58629.5
         80        22.63   3.221069  59269.5      40.0  11.141899     59309.5
         80        22.63   3.221069  58029.5     200.0  -1.225175     58027.5
         80        22.63   3.221069  57457.5      80.0  10.348777     57537.5
         80        22.63   3.221069  57672.5      20.0   3.145471     57652.5
         80        22.63   3.221069  60110.5      40.0  18.745862     60113.5
         80        22.63   3.221069  60002.5     150.0    8.41285     60087.5
         80        22.63   3.221069  58017.5     200.0   21.74408     57844.5
         80        22.63   3.221069  60263.5      40.0   6.686697     60223.5
         80        22.63   3.221069  59504.5      80.0   2.187731     59452.5
         80        22.63   3.221069  57647.5      40.0   3.610472     57628.5
         80        22.63   3.221069  58140.5      80.0   1.651746     58166.5
         80        22.63   3.221069  59254.5     110.0  10.307356     59342.5
         80        22.63   3.221069  57889.5       5.0  12.241088     57894.5
         80        22.63   3.221069  59658.5     150.0   1.303576     59508.5
         80        22.63   3.221069  57497.5       5.0    0.54078     57502.5
         80        22.63   3.221069  59989.5     150.0  10.778501     59839.5
         80        22.63   3.221069  59544.5      20.0   2.626631     59564.5
         80        22.63   3.221069  58516.5     110.0  -0.173136     58521.5
         80        22.63   3.221069  58081.5     110.0  -6.492235     58109.5
         80        22.63   3.221069  58136.5     200.0  10.438215     57936.5
         80        22.63   3.221069  57385.5     150.0   2.909931     57404.5
         80        22.63   3.221069  57425.5       5.0   0.033269     57430.5
         80        22.63   3.221069  59541.5     110.0  27.252059     59637.5
         80        22.63   3.221069  57401.5     200.0  -0.258181     57235.5
         80        22.63   3.221069  57283.5      20.0   1.888911     57303.5
         80        22.63   3.221069  59008.5     110.0   0.054978     58997.5
