 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
        200        22.26   4.528976  58092.5     110.0  -2.661686     57982.5
        200        22.26   4.528976  60261.5     200.0   2.601238     60294.5
        200        22.26   4.528976  58406.5      20.0  35.362448     58386.5
        200        22.26   4.528976  57359.5     250.0  -4.601799     57233.5
        200        22.26   4.528976  59957.5      40.0   6.796846     59997.5
        200        22.26   4.528976  59988.5      80.0  15.104266     60068.5
        200        22.26   4.528976  57272.5      80.0   0.671982     57233.5
        200        22.26   4.528976  59724.5     110.0  23.029524     59834.5
        200        22.26   4.528976  58206.5     250.0  42.551625     58448.5
        200        22.26   4.528976  59078.5     150.0  45.576817     59174.5
        200        22.26   4.528976  59372.5     200.0  28.853739     59402.5
        200        22.26   4.528976  59340.5      80.0  -24.77813     59260.5
        200        22.26   4.528976  58587.5      40.0   0.392494     58582.5
        200        22.26   4.528976  58639.5      20.0  42.676129     58619.5
        200        22.26   4.528976  57978.5      20.0    7.35507     57958.5
        200        22.26   4.528976  57905.5      20.0  26.655449     57885.5
        200        22.26   4.528976  59661.5      20.0 -31.167352     59681.5
        200        22.26   4.528976  57557.5      80.0  -5.031605     57477.5
        200        22.26   4.528976  57534.5     300.0   -3.93174     57422.5
        200        22.26   4.528976  57438.5      40.0   9.198309     57478.5
        200        22.26   4.528976  57845.5     110.0 -10.957266     57735.5
        200        22.26   4.528976  57502.5     200.0  15.431203     57702.5
        200        22.26   4.528976  60146.5     200.0  27.413817     60102.5
        200        22.26   4.528976  58950.5     150.0  55.866069     58934.5
        200        22.26   4.528976  57735.5     150.0  53.704771     57885.5
        200        22.26   4.528976  58480.5      40.0 -16.103201     58520.5
        200        22.26   4.528976  58853.5      40.0  36.683321     58872.5
        200        22.26   4.528976  60226.5      40.0   3.475715     60186.5
        200        22.26   4.528976  58746.5     150.0   5.695457     58896.5
        200        22.26   4.528976  58318.5     110.0 -23.162933     58259.5
        200        22.26   4.528976  59597.5     250.0  -1.039923     59478.5
        200        22.26   4.528976  58278.5     200.0  10.256573     58310.5
        200        22.26   4.528976  59312.5      20.0  -1.063427     59292.5
        200        22.26   4.528976  58293.5     250.0  44.257131     58334.5
        200        22.26   4.528976  60201.5      40.0    0.76151     60167.5
        200        22.26   4.528976  59952.5     250.0  -4.528984     60202.5
        200        22.26   4.528976  59747.5     200.0  49.497285     59695.5
        200        22.26   4.528976  58813.5      20.0 -11.215889     58793.5
        200        22.26   4.528976  59893.5      80.0 -19.424687     59973.5
        200        22.26   4.528976  58780.5     300.0  -8.309449     58670.5
        200        22.26   4.528976  59439.5     150.0   7.500724     59589.5
        200        22.26   4.528976  58154.5      20.0  22.579119     58174.5
        200        22.26   4.528976  58639.5     250.0  48.821832     58678.5
        200        22.26   4.528976  59280.5     150.0    0.62588     59430.5
        200        22.26   4.528976  57689.5     110.0  20.367157     57799.5
        200        22.26   4.528976  59190.5     250.0    7.18561     59359.5
        200        22.26   4.528976  57312.5     250.0   4.050603     57385.5
        200        22.26   4.528976  59119.5      40.0   -0.85439     59079.5
        200        22.26   4.528976  59008.5     250.0  58.061973     59050.5
        200        22.26   4.528976  58882.5     300.0   7.778622     58913.5
        200        22.26   4.528976  58855.5     110.0   28.52576     58745.5
        200        22.26   4.528976  58279.5     200.0  10.264742     58310.5
        200        22.26   4.528976  58099.5     150.0  24.573094     58135.5
        200        22.26   4.528976  59185.5     200.0  27.502599     59385.5
        200        22.26   4.528976  60062.5      40.0  16.930013     60102.5
        200        22.26   4.528976  58351.5     200.0  35.003624     58282.5
        200        22.26   4.528976  57486.5     250.0   7.710206     57736.5
        200        22.26   4.528976  59741.5      40.0 -30.346431     59781.5
        200        22.26   4.528976  57722.5     250.0  22.676963     57972.5
        200        22.26   4.528976  58443.5     250.0  -31.68948     58693.5
