 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
        200         23.0   2.290868  59373.5     250.0  -7.052064     59623.5
        200         23.0   2.290868  58040.5     150.0 -11.617849     58190.5
        200         23.0   2.290868  58165.5     300.0  40.037305     58297.5
        200         23.0   2.290868  58580.5      80.0  34.578238     58660.5
        200         23.0   2.290868  59674.5      80.0  10.517112     59754.5
        200         23.0   2.290868  58489.5      40.0 -45.658807     58449.5
        200         23.0   2.290868  59113.5      20.0  -3.298846     59095.5
        200         23.0   2.290868  57542.5      20.0   9.093367     57562.5
        200         23.0   2.290868  59829.5     150.0  38.792862     59693.5
        200         23.0   2.290868  59153.5     200.0 -26.495329     58953.5
        200         23.0   2.290868  58336.5     300.0  53.949773     58036.5
        200         23.0   2.290868  58717.5     250.0  35.805297     58467.5
        200         23.0   2.290868  59628.5      40.0  18.930029     59588.5
        200         23.0   2.290868  57561.5      20.0   5.299256     57581.5
        200         23.0   2.290868  58540.5     200.0 -22.804319     58740.5
        200         23.0   2.290868  58269.5      20.0  -4.714643     58249.5
        200         23.0   2.290868  57310.5      40.0  -5.768083     57270.5
        200         23.0   2.290868  58457.5      40.0 -45.807373     58417.5
        200         23.0   2.290868  58673.5      20.0 -33.923497     58693.5
        200         23.0   2.290868  57970.5      80.0   2.435016     57890.5
        200         23.0   2.290868  59733.5      20.0  37.000358     59713.5
        200         23.0   2.290868  59702.5      80.0  -3.695204     59782.5
        200         23.0   2.290868  59761.5     200.0  -4.513014     59961.5
        200         23.0   2.290868  58056.5     200.0  11.200197     57856.5
        200         23.0   2.290868  58181.5     200.0  15.896038     57981.5
        200         23.0   2.290868  58992.5     300.0   1.022334     59255.5
        200         23.0   2.290868  60220.5     250.0   2.678967     60290.5
        200         23.0   2.290868  60247.5      20.0   8.235024     60227.5
        200         23.0   2.290868  57533.5     300.0  23.835973     57833.5
        200         23.0   2.290868  59765.5     300.0  18.622778     60025.5
        200         23.0   2.290868  57674.5     200.0  49.023736     57874.5
